index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1,1099,32,12,15,2,1039,29,6,15,2,845,18,3,8,1,691,10,0,4,1,623,8,0,3,1,560,7,0,3,0,509,5,0,2,0,459,4,0,2,0,413,3,0,2,0,351,1,0,1,0,272,0,0,0,0,97,0,0,0,0,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,4,1063,44,10,31,4,1050,43,8,31,2,984,39,7,31,2,925,36,7,31,2,843,31,5,29,1,704,22,5,28,1,347,7,1,19,0,145,3,0,17,0,159.8118586362,163.1002011069,27832.7016683442,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,160.4071382839,181.2191829111,208.9068623993,220.1226192269,230.3111332464,239.4945882293,249.7689935321,270.4098203018,303.5550211304,11724.9505991587,15527.5855453292,20512.6808815481,23353.8221181381,25691.2947047236,27637.646344706,29824.0344046515,34197.865940992,43341.8804597121
2,3,2172,23,125,44,0,1957,19,98,41,0,1731,12,76,20,0,1499,9,57,12,0,1341,8,50,7,0,1233,6,44,6,0,1162,5,38,5,0,1087,2,34,5,0,1014,1,30,4,0,920,1,21,3,0,790,0,15,2,0,424,0,4,0,0,2034,21,206,86,17,2034,21,206,86,17,2034,21,206,86,17,2033,21,206,85,16,2028,21,202,85,16,2011,21,197,83,16,1970,19,185,82,16,1928,16,174,77,16,1862,16,166,76,16,1777,15,138,68,13,1501,9,87,46,10,1156,5,43,28,7,125.8144128837,124.179465783,18874.0273788805,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,103.8768576966,119.6887257711,138.9913257098,147.5977217244,157.9126097591,170.3293269115,186.1364001557,217.0080400694,263.2836418465,5081.6660540187,6627.752455961,9239.3185945791,10256.6065929895,11737.1050370397,13598.559237489,16107.2988276089,21890.6245425983,31666.1272853154
3,2,1903,1611,120,310,1,883,1408,55,307,1,746,1185,38,245,0,616,958,23,186,0,529,813,16,151,0,475,688,12,130,0,417,574,8,111,0,359,485,6,98,0,295,378,5,84,0,240,280,5,64,0,172,141,4,45,0,29,18,0,14,0,751,2250,75,857,12,751,2250,75,857,12,751,2250,75,857,12,751,2249,74,856,12,743,2245,73,854,11,713,2228,67,847,11,622,2164,64,835,9,501,2086,60,821,9,399,1972,59,795,8,277,1796,53,768,5,85,1260,39,639,0,23,798,26,506,0,131.4803861275,133.9479726973,20945.4873144745,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,90.9460154385,128.9858974765,149.9656569513,163.2903829652,176.1760888274,191.2994220375,221.8488215878,242.0511154066,283.106398823,3886.5994148849,7141.4939905052,10701.9441734647,12496.5508466765,14476.873297287,16916.4121738356,23546.874793343,27645.722957711,36937.8006445103
4,4,4676,148,633,260,10,3314,69,350,237,10,2777,50,235,161,9,2270,33,160,101,5,2020,23,124,75,5,1783,17,93,52,4,1596,13,64,41,2,1438,12,45,22,1,1272,10,34,15,1,1076,6,18,5,1,830,3,9,3,0,307,0,0,0,0,3690,155,345,1282,255,3690,155,345,1282,255,3690,155,345,1282,255,3688,155,343,1282,254,3663,155,339,1279,252,3592,153,315,1262,244,3390,140,273,1220,228,3124,123,239,1167,212,2823,112,207,1110,196,2361,102,163,1002,179,1207,58,76,636,124,474,30,34,343,68,111.786953674,114.4687319492,16617.7483731599,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,78.9290443004,95.7712577319,109.8255449567,132.2874059443,146.3098640424,161.6956515776,177.1491133711,208.4730425713,249.8645111075,2989.5603488319,4328.0399224953,5698.0346863726,8125.2679146941,9913.8103674286,11876.9784075558,14250.6897990548,19237.9086289373,28969.4017148968
5,2,347,65,31,86,1,292,60,9,84,1,243,39,7,40,1,204,29,6,21,1,174,23,3,11,1,155,18,2,8,1,139,16,2,7,1,129,12,2,4,1,116,9,2,3,1,102,7,1,3,1,72,2,1,2,0,25,0,0,0,0,294,84,10,138,4,294,84,10,138,4,294,84,10,138,4,294,84,10,137,3,294,83,10,136,3,284,83,10,135,3,262,79,10,132,3,240,75,9,121,1,202,72,9,114,0,158,67,8,100,0,65,42,5,46,0,17,23,2,17,0,149.8016336094,147.2781753868,33467.5117554945,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,57.8629898402,87.494595795,139.0654294901,162.7797110934,179.6859955897,202.1695169061,230.3586656273,261.3906155991,364.4083045006,1559.0771943815,3714.9633039195,9296.0268697377,12564.3706197722,15203.1411801465,19854.2027038585,25534.180172907,32414.0921689083,56669.8136021992
6,2,406,231,4,21,5,258,224,0,21,5,214,196,0,14,2,163,162,0,7,2,140,140,0,6,0,122,130,0,3,0,107,114,0,3,0,88,104,0,2,0,77,89,0,2,0,63,63,0,2,0,38,40,0,2,0,9,9,0,0,0,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,259,351,0,42,12,248,345,0,40,11,211,329,0,34,11,185,302,0,33,10,147,281,0,32,8,108,251,0,27,6,39,165,0,14,4,14,107,0,9,1,187.7658481154,191.4712831199,49325.8293128186,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,136.2266471807,162.49407867,178.5375061647,205.2550466525,227.4637935995,243.8724424289,264.114699227,316.8645063842,544.9263226503,8647.7079118851,11926.1204673846,15075.9878785766,18930.9426380995,24334.5235821739,28303.6701720674,33244.9302865363,48414.0828444606,137810.918924307
7,4,674,11,651,190,2,377,2,357,183,2,326,2,275,115,1,276,1,195,68,1,232,1,153,45,1,206,1,114,37,1,186,1,96,30,1,171,0,75,22,1,154,0,50,17,1,122,0,30,9,1,95,0,13,3,1,42,0,1,0,0,401,4,425,672,26,401,4,425,672,26,401,4,425,672,26,398,4,422,672,26,386,4,408,666,26,352,4,387,663,24,295,3,352,656,24,247,3,312,638,21,194,3,273,614,17,138,1,208,573,15,47,0,108,429,7,9,0,62,265,2,109.0779449005,103.037859644,19248.1094798837,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,58.583631002,72.670385661,83.3272199901,92.0088243618,102.434818293,117.7199095535,147.8449731747,178.7000446755,340.6129387462,1631.140260208,2537.0371087018,3265.5273604099,4009.4413283875,4871.2870365574,6330.1200376013,10130.5081688786,14847.1561012563,52918.0631169944
8,3,1080,207,274,313,4,755,96,206,298,4,597,67,153,198,3,455,37,103,115,2,363,24,90,79,1,314,18,76,54,1,268,16,66,39,1,225,10,56,32,1,181,8,43,25,1,142,3,29,13,1,97,1,16,5,1,18,0,4,1,0,784,148,388,520,38,784,148,388,520,38,784,148,388,520,38,784,148,388,519,38,766,143,385,506,37,725,130,369,488,35,675,110,349,446,30,614,97,317,418,26,552,77,287,370,24,453,56,249,301,20,196,21,165,139,12,47,5,91,57,7,121.7077382178,124.0762864084,24164.9257344726,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,82.1847732538,96.2990076833,107.0717747954,118.1067858667,141.0063714756,150.4821651032,165.6294183582,185.9978084339,314.0480018805,3248.1422861723,4333.2767413295,5415.7694603623,6453.5083816162,9394.503630783,10636.0683538482,12555.3640744735,16091.6940705994,43500.4630149845
9,4,1802,731,1126,4042,4,318,205,266,3416,4,246,138,141,2807,2,172,84,62,2090,2,142,53,35,1714,2,121,35,23,1393,1,104,29,16,1144,1,94,19,8,939,1,83,13,7,726,1,63,7,3,540,0,41,1,1,310,0,13,1,0,36,0,255,136,67,6796,451,255,136,67,6796,451,255,136,67,6796,451,253,135,67,6781,449,247,133,65,6734,444,226,128,64,6594,420,194,119,59,6266,378,169,108,54,5924,326,145,89,54,5477,281,106,71,47,4776,214,38,27,28,2628,91,11,8,19,1057,37,155.2731009003,149.3151558472,54716.8063468075,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,53.3855298662,62.6010778554,72.7740465566,83.2788984455,94.0129498475,105.2176722791,138.377516111,435.2572267493,737.0974155668,1357.6278181736,1890.492669439,2549.2622405846,3310.206772746,4223.0228468002,5216.6481837592,9047.3737116153,77335.76496853,260418.127957372
10,4,2432,201,1148,214,4,1253,61,962,207,4,993,41,784,146,4,779,26,616,87,2,653,16,513,63,1,585,11,442,42,1,515,8,383,29,0,443,3,332,23,0,366,1,274,15,0,311,1,217,12,0,211,0,142,7,0,62,0,35,0,0,1288,80,2037,579,15,1288,80,2037,579,15,1288,80,2037,578,15,1288,79,2037,578,15,1282,78,2029,568,15,1245,74,2014,556,13,1182,62,1986,521,13,1102,50,1954,496,12,1018,39,1898,442,10,870,25,1806,375,6,476,6,1490,193,1,233,2,1198,88,0,153.1839561913,149.8711084331,34892.1655136498,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,86.0809869558,100.0950820795,112.6634580097,137.3743320822,152.7336900229,171.74366529,227.4006390698,310.705323392,501.758236124,3463.9241019847,4666.1296817142,5884.2053143629,8941.6503513371,10893.8452513871,13715.8026694146,23778.2248689763,43323.63270303,105886.351919734
