x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
31884_29361,ASCUS,0.403533,ASCUS,0.9999826,65.105049,332.243805,135.443787,414.357208
31884_29361,ASCUS,0.067959,ASCUS,0.9900411,1.000000,191.927887,75.222992,299.049286
30060_46385,ASCUS,0.136188,ASCUS,0.9999795,392.946716,54.336597,467.697998,128.122238
27020_17809,ASCUS,0.953587,ASCUS,0.967171,333.240112,295.370972,495.085083,419.470581
27020_17809,ASCUS,0.121601,ASCUS,0.9996258,165.661484,67.010735,291.964630,168.674133
27020_17809,ASCUS,0.071024,ASCUS,0.9980965,430.780609,441.265991,490.624786,498.594299
38572_33617,ASCUS,0.065654,ASCUS,0.9983444,8.389153,41.931320,81.461983,109.158005
15468_29361,ASCUS,0.315561,ASCUS,0.8921721,236.442764,92.289612,298.706482,157.053238
18508_22065,ASCUS,0.495463,ASCUS,0.99999666,296.939148,259.115112,366.445435,329.367737
18508_22065,ASCUS,0.469984,ASCUS,0.9999937,353.242767,221.074738,443.339264,286.640411
18508_22065,ASCUS,0.419314,ASCUS,0.8758423,5.863136,274.306885,83.552155,344.007690
18508_22065,ASCUS,0.255530,ASCUS,0.9999974,224.778152,54.248463,312.435547,127.964844
18508_22065,ASCUS,0.205451,ASCUS,0.999944,376.181061,172.210693,449.072601,240.864716
6956_36657,ASCUS,0.010332,HSIL,0.9773531,355.039429,208.388168,471.484497,297.828583
14860_10513,ASCUS,0.895146,ASCUS,0.9232026,168.296295,254.362625,259.620636,347.926147
28844_5041,ASCUS,0.486041,ASCUS,0.9991999,232.293518,348.845978,322.483032,415.142731
6956_25713,HSIL,0.086809,HSIL,0.7523721,5.986889,290.933655,69.234451,358.686157
11212_6865,ASCUS,0.879600,ASCUS,0.9534998,314.314270,340.385864,479.696167,483.816895
11212_6865,ASCUS,0.102875,ASCUS,0.9901613,471.386597,302.789703,596.079224,475.009308
45260_37265,ASCUS,0.017778,ASCUS,0.99977535,343.013855,489.266083,401.242615,527.339417
10604_37265,ASCUS,0.118809,ASCUS,0.99998736,482.041534,308.492798,599.187561,423.038757
16076_6257,ASCUS,0.830537,ASCUS,0.8077749,232.120621,393.849762,487.629639,593.911804
31884_31793,ASCUS,0.666995,ASCUS,0.99992657,500.783234,494.322937,594.605591,584.067322
31276_5041,ASCUS,0.056952,ASCUS,0.9937848,185.902451,265.965302,291.502106,431.189545
22764_34833,ASCUS,0.980681,ASCUS,0.99704033,179.818695,8.339828,263.579956,77.492989
22764_34833,ASCUS,0.527335,ASCUS,0.99959105,328.934601,420.127441,452.436432,533.402222
36748_16593,HSIL,0.759485,HSIL,1.0,340.368591,188.600342,410.188477,272.098541
36748_16593,HSIL,0.129749,HSIL,0.9985128,407.608307,455.076782,452.417511,512.539673
24588_45169,ASCUS,0.118742,ASCUS,0.9968052,455.493591,195.137009,514.700012,261.874634
18508_31793,ASCUS,0.082217,ASCUS,0.9999902,148.101486,392.688477,215.467453,476.940369
9388_26321,ASCUS,0.773051,ASCUS,0.9439936,82.529121,3.531895,196.580353,115.179581
11820_22673,ASCUS,0.085223,ASCUS,0.81065696,149.738403,489.909454,278.748657,608.000000
32492_27537,ASCUS,0.972614,ASCUS,0.99999535,366.616486,488.077515,462.731781,575.379517
8172_28753,ASCUS,0.314825,ASCUS,0.9999603,37.207172,432.241364,133.706787,520.416687
18508_37265,ASCUS,0.075085,ASCUS,0.9919418,257.845245,4.786140,393.487518,163.984161
7564_12337,ASCUS,0.053949,ASCUS,0.99297816,334.775726,215.499542,456.266388,321.281647
21548_27537,ASCUS,0.314150,ASCUS,0.9948953,264.403137,500.920715,385.379028,608.000000
8172_36657,ASCUS,0.084502,ASCUS,0.99517256,153.949890,345.082825,351.972595,480.241943
39788_23889,HSIL,0.148885,HSIL,0.9999987,125.937592,294.958160,190.937439,342.442841
20332_23281,HSIL,0.990538,HSIL,0.99999976,386.577606,326.566284,484.454376,393.414612
39788_25105,ASCUS,0.021845,ASCUS,0.9884958,581.218445,36.898224,608.000000,101.331024
33100_33009,ASCUS,0.991063,ASCUS,0.99706346,58.646538,439.874329,192.354065,544.559387
46476_26321,ASCUS,0.830317,ASCUS,0.76499814,340.620331,363.623047,469.119476,496.511597
44044_38481,ASCUS,0.347758,ASCUS,0.9996673,479.308655,444.006958,604.402893,576.362671
44044_38481,ASCUS,0.993968,ASCUS,0.8518053,102.780449,205.304382,228.140472,314.486084
31276_12337,ASCUS,0.977336,ASCUS,0.9585776,215.558304,88.021294,369.035767,241.174957
5740_16593,ASCUS,0.403924,ASCUS,0.9999993,74.801056,527.505188,155.877777,606.317566
29452_48817,ASCUS,0.313488,ASCUS,0.9847666,404.179810,243.911636,565.884399,388.817017
29452_48817,ASCUS,0.203965,ASCUS,0.99737394,517.671753,471.129425,582.212769,543.975281
6348_19633,ASCUS,0.235588,ASCUS,0.99984455,52.424553,56.649078,119.277626,111.257339
41612_14161,ASCUS,0.331629,ASCUS,0.5730036,151.035645,276.061371,291.937683,386.294708
24588_6257,ASCUS,0.094120,ASCUS,0.98087585,505.185699,271.895294,608.000000,413.894562
25196_29969,ASCUS,0.092490,ASCUS,0.9999591,322.555023,495.133698,409.105316,571.065552
25804_10513,ASCUS,0.073277,ASCUS,0.99999547,215.751404,468.438385,294.095245,548.882141
36140_29361,ASCUS,0.005482,HSIL,0.9699837,445.600952,110.542374,505.860535,204.895706
36140_29361,ASCH,0.023219,HSIL,0.9986135,58.824890,143.976196,408.644745,608.000000
17292_30577,ASCUS,0.014870,HSIL,0.99999857,1.161476,239.896835,36.343254,313.809937
20940_31185,HSIL,0.063769,HSIL,0.5897267,431.051361,160.214340,487.592377,221.109726
27020_11729,ASCUS,0.166228,ASCH,0.9391494,329.564758,28.282860,415.152466,141.973511
27020_11729,ASCUS,0.023286,ASCH,0.9796668,290.838348,1.000000,391.943146,54.327309
31884_18417,HSIL,0.057540,HSIL,0.70165175,162.034836,207.288315,199.588760,264.992950
19116_15377,ASCUS,0.070113,ASCUS,0.9990759,443.863464,393.354675,592.669128,543.107605
21548_9905,ASCUS,0.009411,ASCH,0.6700296,261.380585,406.071106,323.422211,468.625549
23372_14769,ASCUS,0.969133,ASCUS,1.0,253.164825,92.561317,328.677277,177.725983
