x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
7457_29770,ASCUS,0.046319,LSIL,0.9999999,156.558777,1.000000,270.021881,107.052841
34209_35242,HSIL,0.062268,HSIL,0.99998546,468.621796,62.330475,517.336975,108.889938
18401_17002,ASCH,0.006215,HSIL,0.9990656,91.011612,363.491760,378.403198,551.434814
36033_38890,HSIL,0.219581,HSIL,0.99803454,109.452637,17.503189,202.761414,184.337860
36033_38890,HSIL,0.054680,HSIL,0.9932127,115.654205,88.684830,182.326447,175.994675
15969_35850,ASCUS,0.006631,HSIL,0.9998721,203.523315,189.938309,284.804016,348.323303
6849_32202,ASCUS,0.745333,ASCUS,0.7650009,81.166046,18.969460,194.077606,231.562439
33601_26730,ASCH,0.005030,HSIL,0.9259661,48.692848,508.781860,75.619514,541.037720
29953_32810,HSIL,0.192339,HSIL,0.9999976,143.883057,71.925247,282.469299,162.336716
40897_14570,LSIL,0.895185,LSIL,0.9922631,144.298676,80.142426,296.127686,266.424377
41505_32810,HSIL,0.228292,HSIL,0.9908572,288.545715,24.370007,325.456970,61.311459
11105_26122,ASCH,0.009397,HSIL,0.9997271,510.610107,519.734863,550.106567,575.568604
11105_26122,HSIL,0.158131,HSIL,0.9935848,510.610107,519.734863,550.106567,575.568604
52449_21258,ASCUS,0.268043,ASCUS,0.5984911,321.036987,102.090515,422.612549,260.116730
44545_37066,HSIL,0.155323,HSIL,0.9977981,57.206009,114.328110,94.860443,148.292740
10497_20042,LSIL,0.030424,HSIL,0.92913663,181.710358,31.771469,224.541901,105.987747
10497_20042,ASCH,0.048290,HSIL,0.966639,99.077484,464.252991,149.796860,524.100525
10497_20042,HSIL,0.332145,HSIL,0.993548,417.926117,146.217575,456.708710,185.315414
10497_20042,HSIL,0.324181,HSIL,0.9998753,462.804077,87.817345,503.732239,131.717346
25697_20042,HSIL,0.053861,HSIL,0.98686373,7.095974,3.159416,39.732685,40.971302
51841_14570,ASCUS,0.173716,ASCUS,0.97106004,192.803223,508.281799,313.255615,608.000000
36641_47402,ASCUS,0.023659,HSIL,0.66626,28.012024,15.881958,223.141846,155.832733
46977_25514,ASCUS,0.013246,HSIL,0.9999933,237.998688,136.543198,302.493378,194.134079
46977_25514,ASCH,0.005999,HSIL,0.99817646,191.238525,347.540710,410.779114,461.335449
46977_25514,HSIL,0.423544,HSIL,0.8458536,191.238525,347.540710,410.779114,461.335449
50017_23690,LSIL,0.141622,LSIL,0.9567905,242.315170,1.000000,448.113708,212.807098
30561_22474,ASCUS,0.138756,ASCUS,0.9934416,382.788208,434.275757,474.948730,569.277954
30561_22474,LSIL,0.341088,LSIL,0.8523431,382.788208,434.275757,474.948730,569.277954
53057_32202,ASCUS,0.461452,ASCUS,0.96852666,141.972122,466.275177,283.761414,552.399841
42721_31594,ASCUS,0.343873,ASCUS,0.44846496,148.856079,233.189972,227.244720,291.251068
29953_43754,ASCUS,0.005503,HSIL,0.91815895,201.579819,440.414886,290.091583,495.535004
23873_54698,HSIL,0.453078,HSIL,0.99999654,503.150482,253.806946,562.779846,331.640137
23873_54698,HSIL,0.400884,HSIL,0.99880946,439.010773,353.250488,482.048676,412.129822
23873_54698,HSIL,0.266358,HSIL,0.9847149,515.353943,251.421356,554.245667,288.645782
23873_54698,HSIL,0.139656,HSIL,0.9999553,506.740509,279.194092,547.131653,336.235229
19009_27338,ASCUS,0.027136,HSIL,0.9999987,281.019012,311.383118,385.542023,572.750916
19009_27338,HSIL,0.148113,HSIL,0.9770824,347.518494,176.586731,461.454773,266.896393
25697_42538,ASCUS,0.188540,ASCUS,0.9301664,426.591919,70.694717,529.038452,133.666779
49409_27338,LSIL,0.054604,LSIL,0.9999944,451.657227,337.908997,597.466187,503.899231
17793_21866,ASCUS,0.933544,ASCUS,0.9533522,273.566132,285.183075,378.107941,414.970612
30561_42538,LSIL,0.892154,LSIL,1.0,243.312103,109.845589,356.251801,300.018311
14145_43754,LSIL,0.035188,HSIL,0.9999474,193.930054,138.561417,367.342834,393.518311
15969_27946,ASCUS,0.749382,ASCUS,0.9631341,302.400940,342.718475,444.516907,454.309357
15969_27946,ASCH,0.016075,HSIL,0.9999751,361.600952,49.995754,414.851440,122.730347
46369_48618,HSIL,0.067987,HSIL,0.9785931,33.994278,57.923187,183.933426,223.332611
46369_44362,HSIL,0.110678,HSIL,0.99797934,145.257339,497.984833,264.102570,599.101807
46369_44362,HSIL,0.068195,HSIL,0.9999064,94.189774,492.169342,157.612152,522.989990
53665_21258,ASCUS,0.176790,ASCUS,0.81753075,2.118374,338.557312,36.297058,408.558594
45153_32202,ASCUS,0.026349,ASCUS,0.47793767,364.980408,517.825134,407.818665,568.139465
28129_51658,HSIL,0.079232,HSIL,0.9886924,54.905190,196.700073,114.541115,246.964355
6849_21866,ASCUS,0.019633,LSIL,0.9345728,430.165527,413.564850,492.149048,478.571991
5633_42538,LSIL,0.946481,LSIL,0.99766773,324.981445,3.030289,517.151978,167.585587
23873_27946,HSIL,0.705473,HSIL,1.0,68.059593,82.825195,214.219421,164.452148
23873_27946,HSIL,0.131343,HSIL,0.9990754,151.974548,21.329351,195.222473,64.854050
41505_52266,HSIL,0.077672,HSIL,0.9738913,497.895630,519.949341,532.475220,548.403442
29345_29770,ASCUS,0.057002,ASCUS,0.8998604,350.782043,385.930176,490.067017,489.196350
