x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
19724_20280,ASCUS,0.917791,ASCUS,1.0,537.222839,478.822815,603.901672,573.066833
27020_3256,ASCUS,0.999245,ASCUS,0.99515545,306.118652,331.435974,488.709229,459.161804
47692_23320,ASCUS,0.209899,ASCUS,0.998002,297.099701,46.303909,413.545258,187.215912
17292_23320,ASCUS,0.630820,ASCUS,0.9999075,180.480789,507.852631,243.868301,604.946167
45868_25752,HSIL,0.072539,HSIL,0.9998399,303.888794,312.875336,345.791016,352.284821
31276_22712,ASCUS,0.490190,ASCUS,0.99988866,314.876160,69.232208,384.737610,143.858978
23372_46424,ASCUS,0.114591,ASCUS,0.81941235,331.365265,445.940948,462.342621,572.948425
23372_46424,ASCUS,0.006795,HSIL,0.95102453,2.736515,20.993309,72.463211,87.637550
22156_5688,ASCUS,0.671426,ASCUS,0.999951,63.290703,283.922516,217.059937,415.233551
22156_5688,ASCUS,0.467109,ASCUS,0.71094596,351.535828,141.460907,489.745117,333.705688
42220_15416,ASCUS,0.745257,ASCUS,0.99812645,341.477631,115.074638,484.244049,215.586670
22156_20888,ASCUS,0.860901,ASCUS,0.99942183,7.711243,519.319824,99.441849,608.000000
22156_20888,ASCUS,0.295797,ASCUS,0.99997056,346.295013,426.601624,427.691437,508.538452
25804_49464,ASCUS,0.061941,ASCUS,0.9779443,402.908051,39.669941,521.076721,130.428177
34924_39128,HSIL,0.216223,HSIL,0.9999671,511.462555,556.574158,567.686584,603.627869
14860_23320,ASCUS,0.667169,ASCUS,0.9993186,205.196701,103.832619,316.189362,258.835846
25804_24536,ASCUS,0.307472,ASCUS,0.99999845,12.553291,356.272400,79.622185,442.450317
20940_9944,HSIL,0.120724,HSIL,0.9975501,141.584534,368.827728,188.039032,423.609833
9996_19064,ASCUS,0.011800,HSIL,0.6770118,13.101814,225.731644,137.916199,492.444214
24588_25752,HSIL,0.062644,HSIL,0.99992347,97.587708,479.791229,147.852493,520.679932
8780_28792,ASCUS,0.997687,ASCUS,0.99999344,507.405334,372.271729,605.765564,520.460693
8780_28792,ASCUS,0.842833,ASCUS,0.67480886,411.903137,147.491287,606.374329,311.405273
41004_16632,ASCUS,0.304094,ASCUS,0.6421317,446.546509,377.998474,529.033447,476.446106
47084_19672,ASCUS,0.120307,ASCUS,0.81538075,15.069794,469.172180,138.042282,577.664856
41004_30008,ASCUS,0.999124,ASCUS,0.9995067,7.876755,10.751328,110.053207,141.618546
28236_21496,ASCUS,0.834723,ASCUS,0.9999784,321.312866,388.546936,456.741821,550.430725
33708_15416,ASCUS,0.270953,ASCUS,0.9999658,212.824585,191.140808,342.137695,299.440765
19116_11160,ASCUS,0.919965,ASCUS,0.9964193,205.033875,447.839325,304.083984,519.287964
29452_4472,ASCUS,0.272012,ASCUS,0.87948877,50.035118,396.452301,163.327118,497.576324
46476_37304,ASCUS,0.952646,ASCUS,0.99928635,334.450775,137.610199,428.893158,271.655182
37964_22712,ASCUS,0.533850,ASCUS,0.9973978,496.232452,13.298668,599.899292,173.820038
22764_9944,ASCUS,0.922944,ASCUS,0.99947053,331.393127,69.279297,431.326660,198.553711
31884_48856,ASCUS,0.662117,ASCUS,0.5488247,121.390495,413.753204,303.653473,557.027344
30060_31224,ASCUS,0.548376,ASCUS,0.9999418,259.417572,124.932388,375.180389,267.966492
9388_36696,ASCUS,0.975192,ASCUS,0.90234774,172.608719,412.926270,269.014679,558.262451
23372_9944,ASCUS,0.141273,ASCUS,0.99221027,1.000000,214.181122,57.610600,309.796539
39788_24536,ASCUS,0.639238,ASCUS,0.99769515,348.166931,93.129990,509.803162,238.572586
39180_40952,ASCUS,0.078702,ASCUS,0.95243174,113.339691,25.436371,249.979340,131.823975
39180_40952,ASCUS,0.008228,HSIL,0.9999901,26.152008,43.457211,111.649155,125.302185
29452_22104,ASCUS,0.323923,ASCUS,0.99806553,365.438477,283.777069,525.641418,383.810333
30668_16632,ASCUS,0.250998,ASCUS,0.99999344,1.464245,125.144562,75.313843,253.072479
13036_14200,ASCUS,0.103729,ASCUS,0.98907626,455.120026,164.172821,546.149902,263.749969
30060_11160,HSIL,0.451977,HSIL,0.98308796,324.596558,335.214630,374.054810,397.177155
28844_17240,ASCUS,0.066841,ASCUS,0.27067873,1.000000,27.595131,26.748531,127.527199
14860_39128,ASCUS,0.962149,ASCUS,0.99268556,435.549988,318.561371,599.539856,476.756683
14860_39128,HSIL,0.098720,HSIL,0.90321517,516.331238,68.801025,565.886047,147.445816
13036_30008,ASCUS,0.971924,ASCUS,1.0,110.076340,378.331970,347.511414,542.271301
37356_18456,ASCUS,0.923891,ASCUS,0.99995184,213.871033,257.379517,294.873718,363.488831
4524_23320,ASCUS,0.064652,ASCUS,0.6776892,262.845459,1.000000,418.843933,41.524605
23372_37304,ASCUS,0.033341,ASCUS,0.9999925,369.627655,3.381952,457.563873,53.511963
23372_37304,ASCUS,0.982903,HSIL,0.9723502,335.645569,489.011230,439.747986,593.304810
30060_6904,HSIL,0.153229,HSIL,0.7997912,39.361465,374.191406,86.014626,409.164307
22156_46424,ASCUS,0.526626,ASCUS,0.50811315,334.501892,37.919209,408.371826,117.172546
20332_48248,ASCUS,0.952897,ASCUS,0.99926764,276.231171,356.516357,421.910553,450.908997
25196_22104,ASCUS,0.555723,ASCUS,0.8225932,12.677414,454.165314,156.359161,565.644897
39788_15416,HSIL,0.148525,HSIL,0.9787512,307.238770,278.769531,423.562927,371.617920
37356_15416,HSIL,0.101557,HSIL,0.9999944,420.611969,492.965729,487.474457,558.826843
34924_18456,ASCUS,0.858303,ASCUS,0.9679709,108.500809,40.026733,285.323608,160.939468
9996_30616,ASCUS,0.859104,ASCUS,0.9999411,304.468964,142.219193,424.595001,234.309921
9996_30616,ASCUS,0.515334,ASCUS,0.96322143,341.018433,115.032028,484.588501,198.698349
13036_29400,ASCUS,0.463039,ASCUS,0.99019545,212.130920,378.409241,288.920654,451.564148
13036_29400,ASCUS,0.133280,ASCUS,0.97648585,43.030754,311.150787,222.699005,482.756927
40396_34872,HSIL,0.394335,HSIL,0.8379779,308.962158,87.823067,358.746338,132.407471
40396_34872,HSIL,0.236525,HSIL,0.994292,174.059021,408.332764,252.493927,481.533813
40396_34872,HSIL,0.128667,HSIL,0.9999826,215.703033,293.832825,323.478485,419.555481
31276_34872,ASCUS,0.380652,ASCUS,0.9969681,42.270210,57.867462,110.927849,127.678757
39788_22104,ASCUS,0.064548,ASCUS,0.9999547,215.113708,6.001381,278.569733,99.984047
16684_10552,ASCUS,0.382117,ASCUS,0.9999373,260.955444,147.640503,358.340698,250.431641
22764_26968,ASCUS,0.942255,ASCUS,0.9991887,184.019028,276.016846,291.223022,403.136719
22764_26968,ASCUS,0.067991,ASCUS,0.99998343,451.341583,169.491760,565.594849,318.319519
46476_14808,ASCUS,0.581664,ASCUS,0.7496486,284.165314,124.186569,382.188629,192.596542
46476_14808,LSIL,0.014656,HSIL,0.9999763,284.165314,124.186569,382.188629,192.596542
30668_4472,ASCUS,0.995299,ASCUS,0.99996173,436.091736,65.137344,534.064453,153.294907
23980_7512,ASCUS,0.021424,HSIL,0.9988451,554.159363,261.680023,595.658020,323.417206
8780_33048,LSIL,0.005974,ASCH,0.9946654,478.433716,498.851746,540.560425,586.011169
31884_5080,ASCUS,0.614439,ASCUS,0.9449805,226.207840,167.640564,358.648926,354.162354
28844_37912,ASCUS,0.225139,ASCUS,0.9920363,341.621704,289.938263,533.216553,422.843719
16076_43992,ASCUS,0.187841,ASCUS,0.99671125,116.625893,170.875153,275.526031,350.264191
44652_42776,ASCUS,0.083588,ASCUS,0.99818003,9.516735,453.969971,95.385132,527.812012
17900_25752,ASCUS,0.067753,ASCUS,0.9954596,1.000000,82.273254,235.981720,167.840866
