x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
3817_31883,HSIL,0.869032,HSIL,0.9999889,466.546570,375.641510,600.874451,467.921661
27529_34923,HSIL,0.133653,HSIL,0.9452401,353.757996,547.410034,423.600586,594.215576
34825_47083,HSIL,0.341971,SCC,0.5012899,140.598022,189.793365,266.701813,282.237640
34825_47083,HSIL,0.020323,SCC,0.57402664,16.254747,210.475906,42.048309,233.322983
29961_35531,HSIL,0.047341,HSIL,0.65534735,105.288666,542.191528,131.741653,574.504517
7465_38571,HSIL,0.617642,HSIL,0.9980976,235.734146,66.439247,283.286163,115.654350
22057_45259,HSIL,0.235478,HSIL,0.9939522,373.637390,323.506134,432.467529,375.243866
31177_31883,LSIL,0.008599,LSIL,0.9996908,85.246613,414.412415,145.168549,490.824646
31177_31883,LSIL,0.116352,LSIL,0.99903154,129.924744,410.008026,184.279205,479.512482
31177_31883,ASCH,0.097804,HSIL,0.96353436,78.322594,415.114746,142.463165,490.121704
31177_31883,ASCH,0.007563,HSIL,0.9985576,129.198944,408.353851,185.866821,470.868622
23273_40395,SCC,0.113192,SCC,0.8048624,532.190613,466.752502,578.983826,516.362671
8681_13035,HSIL,0.007097,SCC,0.58273256,214.201080,154.317413,355.642609,334.605713
29961_13643,HSIL,0.152334,SCC,0.88004386,297.957184,273.658020,338.904510,315.200928
5033_30059,HSIL,0.061011,HSIL,0.9207126,437.456604,172.582672,497.777832,220.454590
25705_25195,HSIL,0.054734,HSIL,0.77681476,490.113495,414.595978,531.083618,459.157501
9289_30667,ASCUS,0.028221,LSIL,0.9999982,208.483902,124.233345,359.405212,207.657104
9289_30667,LSIL,0.951862,HSIL,0.7549474,199.101898,123.652084,357.994843,209.003983
9289_30059,ASCUS,0.340456,ASCUS,0.9953751,42.473675,45.397034,156.037598,155.434845
48201_23979,ASCUS,0.025495,LSIL,0.9888306,342.411926,342.034058,538.258850,571.973694
29961_22155,LSIL,0.730899,LSIL,1.0,265.161865,14.317532,385.513733,138.164185
40905_34923,HSIL,0.842993,HSIL,0.79684573,5.236567,7.649397,51.163391,63.240295
41513_19115,HSIL,0.023090,SCC,0.99987614,244.970596,315.894592,290.991272,355.094055
37257_20939,HSIL,0.058177,HSIL,0.9940408,426.609619,203.556320,476.731628,238.699234
45769_37963,HSIL,0.194785,HSIL,0.996775,413.774902,438.125336,447.007141,481.759857
42121_34315,HSIL,0.034342,SCC,0.9150415,598.806763,78.317474,607.985229,154.909973
38473_30667,HSIL,0.182760,HSIL,0.5545314,369.037842,531.084351,421.055542,580.074341
9897_34315,ASCUS,0.014051,HSIL,0.7868375,140.961349,294.187561,417.596008,483.785828
28137_11211,HSIL,0.009004,SCC,0.6578116,1.446143,10.801178,9.495817,63.143700
25097_30059,HSIL,0.201706,HSIL,0.37293318,4.732586,2.026926,100.716599,24.281534
31177_11819,HSIL,0.059830,HSIL,0.7470684,472.193970,314.222687,516.282166,346.805267
31177_11819,HSIL,0.109869,HSIL,0.7393365,449.583038,344.561523,488.049835,405.014404
31177_11819,HSIL,0.080108,HSIL,0.5790111,231.690796,568.742676,286.899048,606.364502
31177_11819,SCC,0.511599,SCC,0.83091146,472.193970,314.222687,516.282166,346.805267
32393_31275,HSIL,0.009135,SCC,0.8866513,455.178955,82.856323,492.800842,123.270081
12329_36747,HSIL,0.139564,HSIL,0.9999931,64.696869,93.950775,127.366074,170.834045
6857_31275,ASCUS,0.008331,SCC,0.8284646,379.921448,413.007629,510.596985,523.255615
41513_12427,HSIL,0.097053,HSIL,0.9599531,127.110710,333.284241,175.204697,379.778442
7465_34315,LSIL,0.052881,LSIL,0.9999932,1.000000,110.880020,608.000000,557.280273
43945_23979,HSIL,0.668655,HSIL,0.9306093,39.316875,284.206207,78.088272,321.764557
31785_23979,HSIL,0.193408,HSIL,0.9951184,554.179321,226.409958,587.799194,267.675873
28745_14859,HSIL,0.048037,HSIL,0.9900287,41.599960,507.892670,68.649521,538.896790
