x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
28029_34430,ASCUS,0.015029,LSIL,0.991384,443.633392,94.991432,605.840149,249.707733
28029_34430,LSIL,0.690620,HSIL,0.954797,438.437225,91.798347,596.530884,238.715027
9181_37470,HSIL,0.180307,HSIL,0.999999,334.375916,39.410591,397.762512,100.403526
9181_37470,HSIL,0.064199,HSIL,0.996612,190.979614,272.026703,334.496826,481.273346
17693_44766,HSIL,0.090683,HSIL,0.999591,426.548828,302.086670,528.865662,412.514221
7357_19230,ASCUS,0.007392,ASCUS,0.868636,280.023712,193.683243,386.075470,311.304047
7357_19230,ASCUS,0.078907,LSIL,0.998821,523.552124,385.268768,605.840820,455.589264
36541_22270,ASCUS,0.060725,ASCUS,0.88371,95.081367,299.003113,159.460480,370.014038
22557_13150,ASCUS,0.289363,ASCUS,0.61845,413.553131,63.755188,527.211426,312.135559
31069_27134,LSIL,0.417280,LSIL,0.943491,362.490753,173.328491,576.456299,387.124390
51133_29566,LSIL,0.580226,LSIL,0.98476,413.375610,15.888535,556.533813,104.474556
15261_16798,HSIL,0.227969,HSIL,0.999995,306.181427,246.489136,358.803680,322.608276
37757_33214,ASCUS,0.005152,HSIL,0.999824,30.756470,2.638813,138.757278,88.427963
32285_24094,LSIL,0.007236,HSIL,0.798295,38.395226,308.829712,180.479126,467.076721
17693_40510,HSIL,0.805844,HSIL,1.0,283.543579,402.067657,383.598572,489.187225
37757_33822,HSIL,0.722504,HSIL,0.999882,306.975739,271.160187,392.717987,377.655304
43837_37470,ASCUS,0.019476,ASCH,0.5323,69.923676,116.608368,591.780640,608.000000
43837_37470,ASCH,0.407851,HSIL,0.56592,69.923676,116.608368,591.780640,608.000000
26205_36862,ASCUS,0.024037,LSIL,0.856253,133.542587,43.418335,212.747635,222.420746
24381_12542,LSIL,0.941209,LSIL,0.751892,10.124199,162.809677,174.844879,298.316833
24381_12542,LSIL,0.011063,HSIL,0.99847,24.134987,213.173325,97.288460,290.710907
12829_10718,ASCUS,0.008479,HSIL,0.999692,171.333054,411.651794,270.411438,573.082703
12829_10718,ASCUS,0.005719,HSIL,0.999986,58.435902,381.749329,175.709839,494.933472
12829_10718,LSIL,0.016517,HSIL,0.989792,171.333054,411.651794,270.411438,573.082703
31677_47806,HSIL,0.354143,HSIL,0.99995,135.215851,158.721512,211.946106,202.828964
31677_47806,HSIL,0.268234,HSIL,0.999968,131.981842,124.452026,261.336151,205.674133
52957_19230,HSIL,0.090235,HSIL,0.907381,459.619751,72.892578,506.525574,113.552643
32893_30174,ASCUS,0.044763,LSIL,0.997796,392.044403,500.630066,498.845795,564.397644
19517_34430,HSIL,0.410287,HSIL,0.85298,381.805420,51.092979,525.051941,151.683472
24381_10110,LSIL,0.070540,LSIL,0.645765,274.582947,292.298340,394.307922,424.370361
24381_10110,ASCH,0.006171,HSIL,0.619197,44.802898,497.636871,155.895065,599.409668
49917_38078,ASCH,0.006586,HSIL,0.999818,250.510361,88.974236,322.510254,163.208954
