x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
23980_30718,ASCUS,0.055719,ASCUS,0.81107265,507.512939,362.891327,594.845337,462.590424
10604_44094,ASCUS,0.008179,ASCUS,0.9835011,1.000000,121.349533,608.000000,494.142029
43436_24638,ASCUS,0.351001,ASCUS,0.82530737,7.403442,223.326141,115.194977,285.792633
22764_38622,ASCUS,0.011179,ASCUS,0.92290413,239.598816,423.635498,409.595154,561.815125
31276_8830,ASCUS,0.142556,ASCUS,0.49983793,77.756561,170.061401,186.980316,304.333160
16076_17950,ASCUS,0.296999,ASCUS,0.99970824,524.016785,378.286377,608.000000,477.758423
15468_21598,ASCUS,0.016207,ASCUS,0.9974196,1.000000,123.741272,536.612732,608.000000
44044_20990,ASCUS,0.324256,ASCUS,0.9975866,20.936939,51.641861,87.937134,120.440445
46476_19166,ASCUS,0.219015,ASCUS,0.99650997,482.423218,183.783447,599.683105,322.527802
46476_19166,ASCUS,0.194005,ASCUS,0.9793713,301.262085,194.414536,380.350647,281.529266
25804_15518,ASCUS,0.992684,ASCUS,0.945672,211.005585,285.065948,308.156036,460.931061
31884_9438,ASCUS,0.915998,ASCUS,0.9996635,236.235901,139.663223,346.769104,225.334732
47692_35582,ASCUS,0.570868,ASCUS,0.9845195,337.959320,213.642426,437.190155,355.391693
29452_40446,ASCUS,0.164971,ASCUS,0.97471833,272.071991,13.120598,395.467010,111.525627
44652_35582,ASCUS,0.833284,ASCUS,0.97282016,317.358398,129.039413,415.363770,218.386368
20332_26462,ASCUS,0.922953,ASCUS,0.6540053,312.567169,301.548615,435.691132,378.204132
21548_15518,ASCUS,0.568918,ASCUS,0.91568154,462.863403,425.937744,556.914612,560.343445
26412_38014,ASCUS,0.124726,ASCUS,0.98628587,144.087006,285.418274,219.465607,413.974060
22156_28894,ASCUS,0.911620,ASCUS,0.7825032,116.973251,336.563385,197.817886,459.407318
5132_38622,ASCUS,0.939594,ASCUS,0.94262207,421.123535,379.547272,489.702820,480.111847
37356_38014,ASCUS,0.893443,ASCUS,0.9999783,347.001984,315.408630,443.036102,376.638306
29452_19774,ASCUS,0.383456,ASCUS,0.86076564,240.499054,415.212738,347.319061,555.903992
29452_19774,LSIL,0.121397,LSIL,0.6163665,237.848251,425.528870,349.111053,558.430115
48908_28894,ASCUS,0.051883,ASCUS,0.9983127,371.689514,180.450150,454.355713,309.507324
48908_28894,ASCUS,0.005884,LSIL,0.959374,365.085144,328.825073,541.379639,465.602295
48908_28894,LSIL,0.288724,LSIL,0.9893785,122.517403,365.321716,239.783478,507.983582
50124_33758,ASCUS,0.800897,ASCUS,0.99125004,423.518677,292.225220,514.254211,405.716309
9388_30110,ASCUS,0.971320,ASCUS,0.9930276,217.182251,273.852325,377.175964,511.634308
13036_33758,ASCUS,0.860126,ASCUS,0.9807042,501.052826,306.393616,597.745483,439.130859
18508_41054,ASCUS,0.528285,ASCUS,0.9979115,159.567139,435.330811,251.551666,551.667725
32492_32542,ASCUS,0.798550,ASCUS,0.9970583,380.906891,142.463852,508.352753,269.006287
47084_33758,ASCUS,0.631450,ASCUS,0.99834394,356.731873,463.953613,451.876099,586.628662
35532_37406,ASCUS,0.063787,ASCUS,0.80441356,42.744137,71.694702,141.777130,211.446564
27628_48958,ASCUS,0.143689,ASCUS,0.49861708,92.413467,54.017281,187.638351,180.790436
33708_5790,ASCUS,0.471181,ASCUS,0.84033304,356.248962,295.182373,490.700623,524.044678
18508_8222,ASCUS,0.006717,ASCUS,0.99237835,467.461151,51.220516,598.325256,166.721619
18508_8222,ASCUS,0.140986,ASCUS,0.9462361,436.966461,236.319885,608.000000,396.829712
9996_27678,ASCUS,0.496285,ASCUS,0.7479528,392.756683,11.839012,561.862427,142.548981
10604_33150,ASCUS,0.210296,ASCUS,0.9989203,150.923584,373.538147,292.158264,450.932556
42220_12478,ASCUS,0.473437,ASCUS,0.9989569,359.555908,269.412659,497.446411,429.208679
30668_34974,ASCUS,0.056502,ASCUS,0.91916335,112.338745,181.666351,219.372375,309.381744
16076_22814,ASCUS,0.007627,LSIL,0.9907306,364.008728,11.999855,462.008667,75.117348
38572_7614,ASCUS,0.028882,SCC,0.9941203,271.158447,459.569702,396.296387,575.947021
29452_20382,ASCUS,0.081569,ASCUS,0.9755347,479.124298,201.663651,572.874878,291.346985
37356_33758,ASCUS,0.110157,ASCUS,0.9709253,112.841644,206.082947,281.737610,347.293457
5740_25854,ASCUS,0.199190,ASCUS,0.99956197,485.162720,375.143646,596.048218,498.227264
43436_25246,ASCUS,0.911941,ASCUS,0.6865315,140.351364,150.333221,251.070877,292.144043
14860_44094,ASCUS,0.066524,ASCUS,0.9973839,96.130486,316.336121,198.957611,412.237183
31884_8830,ASCUS,0.481878,ASCUS,0.9934409,10.028618,157.560013,229.085846,403.450928
46476_28894,ASCUS,0.072980,ASCUS,0.8574602,328.082367,1.000000,483.716888,217.184814
46476_28894,ASCUS,0.524679,ASCUS,0.9981665,87.634674,55.558975,227.929962,211.138382
30060_24030,ASCUS,0.124916,ASCUS,0.93523103,17.666679,81.925064,122.077858,215.755264
16076_37406,ASCUS,0.210596,ASCUS,0.88279724,384.792236,150.545563,488.788086,274.484039
39788_7614,ASCUS,0.061835,ASCUS,0.91539377,94.400757,219.012360,402.535492,374.508942
37964_17342,ASCUS,0.005584,ASCUS,0.99986124,37.078545,254.786087,164.407166,378.702759
6348_25854,ASCUS,0.024276,ASCH,0.9956701,195.086777,17.005753,606.949280,333.616333
13036_32542,ASCUS,0.052815,ASCUS,0.56649613,194.743103,346.539703,295.817047,478.970917
23372_27678,ASCUS,0.856954,ASCUS,0.8124474,143.232727,442.369293,252.335266,530.465027
47692_23422,ASCUS,0.883899,ASCUS,0.7517183,350.677551,101.254608,489.918701,214.836060
35532_30110,ASCH,0.096741,ASCH,0.9997719,404.507874,256.393860,502.484192,394.203491
50124_34974,ASCUS,0.005604,SCC,0.94741946,77.621925,464.521851,205.181702,584.650024
