index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean
0,0,1427,393,5,25,2,1023,775,0,50,4,525,492,0,33,0,211,263,0,11,0,65,137,0,6,0,161.434549,157.1555229,30181.64068
1,0,815,296,377,651,1,447,323,5,1354,11,192,196,1,1159,3,65,118,0,933,0,21,65,0,659,0,111.0371596,110.5544538,16027.5516
2,0,29,24,0,1,0,14,36,0,2,2,6,26,0,1,2,2,15,0,1,1,2,13,0,1,1,189.5839219,223.9583638,44321.56841
3,0,1660,1411,26,128,0,200,2713,1,311,0,113,2540,1,298,0,62,2230,1,283,0,36,1878,0,265,0,153.0597076,154.175209,28846.58821
4,0,1469,437,85,177,1,1020,701,2,438,8,575,483,1,339,5,244,278,1,245,4,84,165,1,167,2,124.6139277,124.1754751,19315.77039
5,0,2630,543,47,65,1,1835,1184,1,251,15,1018,727,1,199,7,405,391,1,145,5,103,192,0,95,2,116.1455735,117.1873185,15173.63983
6,0,3515,952,13,40,5,2113,2214,0,166,32,1189,1600,0,123,13,543,975,0,88,3,226,561,0,52,1,128.1166217,126.4401461,18216.28818
7,0,1042,329,98,209,5,637,533,4,457,52,327,338,1,292,29,124,184,0,150,18,34,97,0,63,12,118.5371633,117.1329824,16821.05785
8,0,2584,608,43,59,0,2037,1068,3,184,2,1244,584,1,137,0,536,296,0,84,0,181,157,0,45,0,129.7726684,132.4233635,18760.77865
9,0,785,327,17,123,4,480,550,0,220,6,300,347,0,175,4,109,194,0,126,4,31,118,0,77,0,161.1125685,162.1785417,32423.90761
10,0,400,358,0,13,0,159,592,0,18,2,77,442,0,16,2,20,304,0,14,2,7,204,0,8,1,178.64217,179.2005116,37419.47195
11,0,1248,455,215,328,1,806,615,37,777,12,409,415,10,620,8,159,246,2,455,5,54,147,0,273,5,144.479976,145.677098,28594.91757
12,0,760,355,518,795,3,329,394,16,1680,12,163,295,3,1520,8,66,184,1,1307,5,20,120,0,1068,3,137.7272338,133.5367652,28386.01324
