class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1099,32,12,15,2,1067,44,13,31,5,704,22,5,28,1,347,7,1,19,0,145,3,0,17,0,159.8118586362069,163.10020110689655,27832.701668344227,98.56874370000003,121.59074140000001,137.35115640000004,149.33308100000005,159.42956550000002,169.0500854,177.9814576,190.232645,208.4908020000001,98.56874370000003,121.59074140000001,137.35115640000004,149.33308100000005,159.42956550000002,169.0500854,177.9814576,190.232645,208.4908020000001,160.40713828393893,181.21918291110296,208.90686239934786,220.12261922689805,230.31113324638835,239.49458822926835,249.76899353212846,270.4098203017807,303.5550211304213,11724.950599158657,15527.585545329177,20512.680881548076,23353.822118138116,25691.29470472363,27637.646344706023,29824.03440465146,34197.86594099196,43341.88045971215
3,2172,23,125,44,0,2034,21,206,86,17,1777,15,138,68,13,1501,9,87,46,10,1156,5,43,28,7,125.81441288367175,124.17946578299492,18874.027378880535,66.38880629999996,80.9518312,91.33089319999998,100.562408,110.38587950000004,119.1812744,131.7061752,151.939566,189.84521730000037,66.38880629999996,80.9518312,91.33089319999998,100.562408,110.38587950000004,119.1812744,131.7061752,151.939566,189.84521730000037,103.87685769664671,119.68872577109599,138.99132570984543,147.59772172437783,157.91260975913076,170.3293269115157,186.13640015569436,217.0080400693843,263.2836418464569,5081.6660540186585,6627.752455960954,9239.318594579046,10256.606592989467,11737.105037039677,13598.559237489038,16107.298827608862,21890.624542598307,31666.127285315393
2,1903,1611,120,310,1,751,2250,75,857,12,277,1796,53,768,5,85,1260,39,639,0,23,798,26,506,0,131.48038612750318,133.9479726973384,20945.487314474452,60.73013719999993,79.884893,96.62862519999996,108.27478380000001,120.40101600000003,132.93644440000003,151.97101360000002,170.93007219999998,199.471733,60.73013719999993,79.884893,96.62862519999996,108.27478380000001,120.40101600000003,132.93644440000003,151.97101360000002,170.93007219999998,199.471733,90.94601543854549,128.985897476515,149.96565695129271,163.29038296522805,176.17608882738963,191.2994220375001,221.8488215878141,242.05111540662708,283.10639882304076,3886.5994148848467,7141.49399050517,10701.94417346474,12496.550846676539,14476.87329728695,16916.412173835637,23546.874793343024,27645.722957711037,36937.80064451026
4,4676,148,633,260,10,3690,155,345,1282,255,2361,102,163,1002,179,1207,58,76,636,124,474,30,34,343,68,111.78695367400036,114.46873194918807,16617.748373159902,49.78843420000001,62.3772524,73.67652580000002,84.36199919999999,96.09930500000002,108.3848754,122.69190680000001,144.00899560000002,181.14855980000004,49.78843420000001,62.3772524,73.67652580000002,84.36199919999999,96.09930500000002,108.3848754,122.69190680000001,144.00899560000002,181.14855980000004,78.92904430038652,95.77125773186538,109.82554495669322,132.28740594429246,146.30986404243635,161.695651577585,177.149113371057,208.47304257131196,249.86451110749124,2989.5603488318557,4328.039922495284,5698.034686372561,8125.267914694129,9913.810367428548,11876.978407555798,14250.689799054846,19237.90862893733,28969.40171489685
2,347,65,31,86,1,294,84,10,138,4,158,67,8,100,0,65,42,5,46,0,17,23,2,17,0,149.80163360943396,147.27817538679244,33467.511755494495,40.49325540000001,59.81241439999998,93.02460360000002,108.89033800000001,123.38493749999995,140.5796846,165.6724176,188.88723100000004,269.28315610000004,40.49325540000001,59.81241439999998,93.02460360000002,108.89033800000001,123.38493749999995,140.5796846,165.6724176,188.88723100000004,269.28315610000004,57.86298984018218,87.49459579504841,139.065429490104,162.77971109341956,179.68599558969504,202.169516906136,230.35866562728222,261.39061559908055,364.4083045005514,1559.0771943814561,3714.9633039195287,9296.026869737654,12564.370619772177,15203.14118014649,19854.202703858497,25534.18017290703,32414.0921689083,56669.813602199174
2,406,231,4,21,5,261,351,0,43,12,108,251,0,27,6,39,165,0,14,4,14,107,0,9,1,187.76584811544225,191.47128311994004,49325.82931281859,77.5651062,101.39610600000003,118.23133600000003,135.95492720000001,154.57009899999997,172.142856,191.6569088,216.75597559999997,385.4974027999999,77.5651062,101.39610600000003,118.23133600000003,135.95492720000001,154.57009899999997,172.142856,191.6569088,216.75597559999997,385.4974027999999,136.2266471807408,162.49407866996802,178.53750616471498,205.2550466525028,227.4637935994803,243.8724424289294,264.11469922699297,316.86450638417085,544.9263226503288,8647.70791188505,11926.120467384564,15075.987878576563,18930.94263809953,24334.52358217394,28303.670172067403,33244.930286536284,48414.08284446064,137810.91892430748
4,674,11,651,190,2,401,4,425,672,26,138,1,208,573,15,47,0,108,429,7,9,0,62,265,2,109.07794490052353,103.03785964397905,19248.109479883733,38.981683699999984,47.0854938,54.19699689999993,61.31672359999995,70.40182500000009,82.975049,100.17185729999999,126.34139440000008,249.5642451,38.981683699999984,47.0854938,54.19699689999993,61.31672359999995,70.40182500000009,82.975049,100.17185729999999,126.34139440000008,249.5642451,58.58363100196373,72.67038566104691,83.32721999011326,92.00882436180983,102.43481829303798,117.71990955351876,147.84497317471633,178.70004467551558,340.6129387462275,1631.1402602080107,2537.0371087017725,3265.5273604099298,4009.441328387518,4871.287036557386,6330.120037601252,10130.508168878643,14847.156101256256,52918.063116994446
3,1080,207,274,313,4,784,148,388,520,38,453,56,249,301,20,196,21,165,139,12,47,5,91,57,7,121.7077382177849,124.07628640841321,24164.925734472567,51.414764099999985,62.17343739999997,72.6903355,82.02703919999998,93.0390015,104.47842199999998,115.98617579999998,137.72827459999996,197.0291215,51.414764099999985,62.17343739999997,72.6903355,82.02703919999998,93.0390015,104.47842199999998,115.98617579999998,137.72827459999996,197.0291215,82.18477325379224,96.29900768332664,107.07177479543496,118.10678586668058,141.00637147561167,150.4821651031524,165.62941835818245,185.99780843388277,314.04800188048176,3248.1422861722904,4333.27674132953,5415.769460362319,6453.508381616231,9394.503630782954,10636.068353848192,12555.3640744735,16091.694070599377,43500.46301498453
4,1802,731,1126,4042,4,255,136,67,6796,451,106,71,47,4776,214,38,27,28,2628,91,11,8,19,1057,37,155.2731009003245,149.31515584724204,54716.80634680747,35.95886680000001,42.876476999999966,49.41047379999999,56.04486720000003,64.021851,74.60313740000002,94.66007079999994,297.19190060000085,542.3232790000001,35.95886680000001,42.876476999999966,49.41047379999999,56.04486720000003,64.021851,74.60313740000002,94.66007079999994,297.19190060000085,542.3232790000001,53.38552986617222,62.60107785539226,72.77404655655036,83.27889844550478,94.01294984747803,105.21767227914376,138.37751611100936,435.25722674927357,737.0974155667627,1357.627818173543,1890.4926694389774,2549.262240584541,3310.2067727459753,4223.022846800161,5216.648183759183,9047.373711615308,77335.76496852997,260418.12795737194
4,2432,201,1148,214,4,1288,80,2037,579,15,870,25,1806,375,6,476,6,1490,193,1,233,2,1198,88,0,153.18395619129782,149.87110843310828,34892.165513649765,54.557482800000024,66.80710419999998,78.26395600000002,90.58193359999997,104.62075900000002,121.83483879999996,149.290527,198.4603394,341.9111690000001,54.557482800000024,66.80710419999998,78.26395600000002,90.58193359999997,104.62075900000002,121.83483879999996,149.290527,198.4603394,341.9111690000001,86.08098695576992,100.09508207946581,112.66345800965836,137.37433208224155,152.7336900228665,171.7436652900311,227.40063906978565,310.7053233920248,501.7582361239589,3463.9241019847123,4666.129681714237,5884.205314362887,8941.650351337075,10893.845251387113,13715.80266941456,23778.224868976286,43323.63270303003,105886.35191973443
