x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
55287_30174,HSIL,0.069818,HSIL,1.0,12.298059,543.329712,59.267563,589.787109
15159_50846,HSIL,0.146856,HSIL,1.0,174.318863,121.750076,232.175339,207.420029
32183_14974,ASCUS,0.013944,HSIL,1.0,368.829315,104.722389,519.577148,179.276215
7255_25918,ASCUS,0.010597,HSIL,1.0,144.163849,162.392853,282.063599,263.833191
17591_21054,ASCH,0.531907,HSIL,1.0,419.326965,101.322708,458.864075,166.943100
18199_22878,HSIL,0.248113,HSIL,1.0,36.249397,448.050842,84.992378,492.094666
20023_49022,ASCH,0.035978,HSIL,1.0,122.628296,394.666412,171.685333,449.890594
51031_33214,HSIL,0.064515,HSIL,1.0,3.115536,420.300781,50.109264,470.690796
5431_38686,ASCUS,0.393633,HSIL,1.0,493.934143,508.545502,604.721252,592.421692
30967_46590,ASCUS,0.008556,HSIL,1.0,453.926727,119.354774,565.299194,210.737885
19415_50238,ASCH,0.081222,HSIL,1.0,483.805511,22.929195,547.674683,96.863876
25495_49630,ASCUS,0.030489,HSIL,1.0,441.197144,240.418793,510.103149,297.730438
40087_31998,HSIL,0.059794,HSIL,1.0,228.466278,54.879372,277.944000,83.164757
51639_33822,HSIL,0.169856,HSIL,1.0,42.969227,372.392883,92.171555,438.023865
37655_46590,HSIL,0.113881,HSIL,1.0,2.968104,254.053955,26.700596,299.544006
38263_49022,ASCH,0.008510,HSIL,1.0,3.478035,145.500320,41.060184,188.195328
29751_8286,ASCUS,0.017330,HSIL,1.0,186.931244,401.156158,253.539520,454.799408
29751_45982,ASCUS,0.021414,HSIL,1.0,40.925217,326.640411,193.264679,421.493439
31575_13758,HSIL,0.083548,HSIL,1.0,400.652771,444.279541,438.387512,508.258911
4823_24702,HSIL,0.433842,HSIL,1.0,137.509491,296.700806,191.393341,337.472534
23063_27134,LSIL,0.029143,HSIL,1.0,174.763489,408.012482,287.406036,496.836029
43735_29566,HSIL,0.077154,HSIL,1.0,307.163849,464.770050,375.798615,537.274902
46775_36254,HSIL,0.132610,HSIL,1.0,226.560837,300.588318,277.403625,491.596619
22455_51454,ASCH,0.070496,HSIL,1.0,127.402534,360.483459,202.005310,413.398071
24279_39294,ASCH,0.009723,HSIL,1.0,70.586449,370.497955,180.413025,424.249420
37047_41726,ASCH,0.019762,HSIL,1.0,490.286530,397.111145,559.605469,449.931335
13943_47806,ASCH,0.211280,HSIL,1.0,92.337067,211.869949,171.735260,278.239227
38263_16190,ASCUS,0.029086,HSIL,1.0,120.072327,242.393280,179.753113,327.649200
13335_23486,ASCUS,0.010351,HSIL,1.0,1.000000,1.000000,608.000000,554.323730
43735_30174,ASCH,0.019571,HSIL,1.0,301.751343,389.667145,380.126831,451.189606
49207_25310,ASCUS,0.006677,HSIL,1.0,89.937836,155.678833,192.561340,287.102844
48599_29566,HSIL,0.114028,HSIL,1.0,491.196869,159.785645,538.665100,205.773193
27927_8286,HSIL,0.071681,HSIL,1.0,473.857910,552.404236,530.277039,604.530090
43127_45374,ASCUS,0.023738,HSIL,1.0,326.800537,256.356903,432.422424,390.959015
15767_44766,ASCH,0.015120,HSIL,1.0,45.689053,2.878277,108.816452,37.570137
39479_5246,ASCUS,0.005210,HSIL,1.0,488.134430,444.000946,593.203735,560.584229
40695_13150,HSIL,0.091569,HSIL,1.0,473.750488,296.201782,516.662354,341.662476
40695_41118,ASCH,0.009967,HSIL,1.0,66.242508,435.496002,116.411850,481.493378
37655_24702,LSIL,0.018953,HSIL,1.0,430.392914,76.495285,510.818817,255.884781
49207_28350,ASCH,0.078633,HSIL,1.0,450.641235,266.435760,521.714050,337.996124
21847_30174,HSIL,0.216002,HSIL,1.0,138.096710,458.421844,208.814514,527.403137
21847_30174,HSIL,0.069445,HSIL,1.0,134.157394,462.640961,183.181137,509.977692
29751_33822,ASCUS,0.007978,HSIL,1.0,364.856964,445.590759,476.853363,525.518372
17591_50238,HSIL,0.050626,HSIL,1.0,213.416229,252.817932,263.600128,302.652832
52247_24702,ASCUS,0.008232,HSIL,1.0,19.861698,6.167474,55.494793,37.061283
29751_39902,HSIL,0.078048,HSIL,1.0,596.828186,534.761047,608.000000,595.989075
21847_34430,HSIL,0.078218,HSIL,1.0,42.451191,225.872223,126.473587,296.233734
8471_14366,ASCUS,0.007204,HSIL,1.0,363.007721,291.790649,398.278778,359.065857
32791_44766,ASCH,0.019358,HSIL,1.0,38.846313,105.779480,99.277237,288.037659
32791_35646,ASCH,0.043605,HSIL,1.0,169.340820,436.813812,205.161224,473.818451
44343_32606,HSIL,0.063100,HSIL,1.0,330.440765,585.838257,384.126740,608.000000
14551_19230,ASCH,0.075977,HSIL,1.0,108.064316,22.705355,146.670975,70.624954
13335_47806,ASCH,0.238760,HSIL,1.0,115.855515,61.609303,168.872055,127.166794
13335_47806,HSIL,0.925113,HSIL,1.0,24.679573,518.206665,93.868958,561.853760
15159_43550,ASCH,0.006371,HSIL,1.0,153.513214,382.708740,209.607239,439.340942
33399_41118,ASCUS,0.007513,HSIL,1.0,57.962784,275.895752,222.381271,438.145630
9079_14974,ASCUS,0.012857,HSIL,1.0,232.775955,507.171631,353.051270,604.791382
39479_29566,HSIL,0.076226,HSIL,1.0,506.556610,200.484467,542.427063,243.632843
40695_40510,ASCH,0.008368,HSIL,1.0,128.627670,220.994781,173.051590,264.848389
54679_19838,HSIL,0.381675,HSIL,1.0,250.665115,15.122925,335.075714,186.527283
24279_7070,HSIL,0.122822,HSIL,1.0,275.372955,35.020180,327.203949,86.279793
15767_29566,HSIL,0.166447,HSIL,1.0,383.984924,351.427399,424.799316,396.582794
5431_39902,ASCUS,0.064028,HSIL,1.0,48.865982,305.438965,201.496475,456.586426
13943_17406,ASCH,0.023271,HSIL,1.0,438.076019,430.354584,469.106293,462.653229
31575_45982,HSIL,0.090539,HSIL,1.0,2.885061,102.787552,41.932449,163.790237
7863_11934,ASCH,0.024351,HSIL,1.0,170.257156,358.559143,244.062668,417.339600
48599_44158,LSIL,0.052658,HSIL,1.0,11.677887,1.000000,600.261597,608.000000
13335_22270,HSIL,0.450336,HSIL,1.0,104.875298,467.492004,143.931458,518.185364
40695_29566,ASCUS,0.009253,HSIL,1.0,5.100815,249.290649,116.244125,402.399292
16983_52670,HSIL,0.272804,HSIL,1.0,500.064270,33.780914,553.124573,87.443359
40087_49022,ASCUS,0.011813,HSIL,1.0,123.408356,20.690643,206.726257,149.304977
38263_38078,ASCH,0.021531,HSIL,1.0,276.167969,149.493896,313.126526,212.628174
40087_29566,ASCUS,0.027219,HSIL,1.0,1.000000,358.296478,92.250015,452.694061
19415_34430,ASCH,0.015705,HSIL,1.0,435.913147,222.343887,499.057068,271.118042
23671_6462,HSIL,0.127846,HSIL,1.0,446.128296,491.346527,505.973511,543.065979
