x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
31276_36356,ASCUS,0.008499,HSIL,1.0,97.219589,144.753662,263.635437,281.205109
29452_36964,ASCH,0.006499,HSIL,1.0,452.739899,504.809174,497.216034,560.599487
41612_38180,ASCUS,0.021991,HSIL,1.0,170.533752,22.212143,242.332977,161.742981
48908_12644,HSIL,0.988114,HSIL,1.0,178.321899,192.908020,296.502502,393.123901
9996_49124,HSIL,0.489796,HSIL,1.0,428.269928,529.776428,494.135773,571.427917
29452_33924,ASCUS,0.024306,HSIL,1.0,160.393005,117.575058,265.492737,212.636337
24588_25412,ASCUS,0.009245,HSIL,1.0,285.409912,222.500122,505.211060,469.319702
28844_22372,ASCUS,0.033832,HSIL,1.0,1.000000,225.143585,247.919586,432.229095
48908_37572,ASCUS,0.008039,HSIL,1.0,351.554260,24.990410,490.756165,209.925842
48908_32100,ASCUS,0.010159,HSIL,1.0,174.433502,86.889908,286.205444,227.147537
36140_18116,ASCUS,0.006406,HSIL,1.0,7.063557,88.166611,115.403870,226.110184
46476_36964,ASCUS,0.031453,HSIL,1.0,41.466621,287.540375,178.200958,376.708160
13036_25412,HSIL,0.051341,HSIL,1.0,220.786392,152.489746,268.936646,189.485657
12428_35140,ASCUS,0.028345,HSIL,1.0,414.651581,498.339233,471.448456,582.191162
36748_24804,HSIL,0.936160,HSIL,1.0,469.751678,343.477570,566.895874,468.841827
37356_32100,ASCUS,0.022057,HSIL,1.0,325.351440,12.672417,438.029419,141.846832
