x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
25581_53637,HSIL,0.663922,HSIL,1.0,495.821869,152.983002,535.751160,211.445282
25581_53637,HSIL,0.130193,HSIL,1.0,383.214691,414.196228,491.910858,525.204285
32269_14725,ASCH,0.022596,HSIL,1.0,514.946289,204.485413,600.297974,348.768433
10989_53637,LSIL,0.007909,HSIL,1.0,176.302734,30.638184,389.327942,401.482727
17069_51205,HSIL,0.096132,HSIL,1.0,438.952820,267.475220,515.417786,318.331604
16461_38437,LSIL,0.027630,HSIL,1.0,14.466156,407.621613,76.812592,546.056824
8557_29317,ASCH,0.009134,HSIL,1.0,283.168793,175.727814,462.202484,330.206024
34093_28709,ASCUS,0.006949,HSIL,1.0,146.827118,193.062943,229.195404,264.392792
34093_28709,ASCUS,0.006169,HSIL,1.0,2.756393,102.557190,72.826286,181.129059
4301_28709,LSIL,0.005342,HSIL,0.90201783,187.298431,6.185955,286.941742,131.226089
7949_38437,ASCH,0.035918,HSIL,1.0,101.560028,84.672127,362.434662,287.177612
7949_38437,ASCH,0.010003,HSIL,1.0,1.000000,54.971512,556.494019,356.600342
32877_61541,ASCH,0.012157,HSIL,1.0,178.841125,47.986912,309.722382,120.086365
65101_20805,HSIL,0.320339,HSIL,1.0,539.109009,98.936729,589.275024,153.905029
10989_36613,HSIL,0.059460,HSIL,1.0,487.178894,274.003113,576.960388,345.580994
22541_46341,HSIL,0.097127,HSIL,1.0,324.068512,158.213226,441.908905,233.916992
15853_46341,ASCH,0.212338,HSIL,1.0,79.669388,180.455292,152.438797,230.601776
6125_32965,ASCH,0.010803,HSIL,1.0,571.145264,173.462494,608.000000,222.136230
24365_48165,HSIL,0.927480,HSIL,1.0,316.000305,174.525146,430.931213,286.144714
35917_34181,LSIL,0.045376,HSIL,1.0,20.793274,120.693604,131.317276,289.383972
4909_23845,ASCH,0.006192,HSIL,1.0,464.103363,63.484436,608.000000,369.217224
31053_11077,HSIL,0.127218,HSIL,1.0,140.073700,455.045776,206.026093,528.619263
14637_26885,HSIL,0.070723,HSIL,1.0,35.335083,441.912354,90.100349,498.290771
20109_57893,ASCUS,0.005111,HSIL,1.0,468.725067,220.108200,552.481567,269.690033
7949_48165,HSIL,0.084366,HSIL,1.0,248.791443,285.101227,320.615479,330.816437
24365_11685,HSIL,0.414644,HSIL,1.0,431.041290,207.700897,521.786926,331.151703
6125_43909,HSIL,0.825006,HSIL,1.0,170.304382,357.178833,421.807190,559.310913
