x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
47384_49124,HSIL,0.872652,HSIL,1.0,298.066559,121.660934,380.825409,175.447464
47384_49124,HSIL,0.074007,HSIL,1.0,418.791809,4.169149,484.885681,40.423149
30360_51556,HSIL,0.190666,HSIL,1.0,554.917053,313.258728,608.000000,381.812439
49208_15076,HSIL,0.914518,HSIL,1.0,127.740158,513.084106,200.787918,602.704224
49208_15076,HSIL,0.284205,HSIL,1.0,362.995819,90.888779,448.929596,143.622238
12120_32100,HSIL,0.331040,HSIL,1.0,147.990158,333.490662,210.654953,475.751282
12120_32100,HSIL,0.147676,HSIL,1.0,165.838806,514.708984,241.387878,586.116577
38872_8996,HSIL,0.155789,HSIL,1.0,518.453674,446.110413,608.000000,572.623108
20632_19940,HSIL,0.911505,HSIL,1.0,212.851440,204.413010,311.030334,302.506470
50424_44260,ASCH,0.007585,HSIL,1.0,359.545807,401.734497,415.063141,455.626892
25496_29060,HSIL,0.264432,HSIL,1.0,176.406342,493.497711,231.893311,556.251282
25496_29060,HSIL,0.083244,HSIL,1.0,229.104065,371.925415,306.563538,436.086731
25496_29060,HSIL,0.051292,HSIL,1.0,296.579468,500.034332,355.486938,551.524902
29144_16900,HSIL,0.692941,HSIL,1.0,245.831375,526.123108,356.845154,605.719910
29144_16900,HSIL,0.193931,HSIL,1.0,188.356033,71.973541,285.086853,129.195465
29144_16900,HSIL,0.089878,HSIL,1.0,205.981781,157.418884,285.288086,271.152557
29144_16900,HSIL,0.062204,HSIL,1.0,223.564941,161.012711,283.916687,219.383926
15160_46692,HSIL,0.154732,HSIL,1.0,165.638382,172.074112,324.448303,271.547943
25496_20548,HSIL,0.973665,HSIL,1.0,104.535828,69.074127,504.848450,480.603424
25496_20548,HSIL,0.084237,HSIL,1.0,493.685638,133.909225,572.916199,193.206589
49208_31492,LSIL,0.013569,HSIL,1.0,103.910217,284.546448,193.840302,396.843140
49208_31492,HSIL,0.165320,HSIL,1.0,103.910217,284.546448,193.840302,396.843140
27928_32100,HSIL,0.714720,HSIL,1.0,424.993652,176.595108,545.055725,296.437073
27928_32100,HSIL,0.251912,HSIL,1.0,98.828552,346.900879,199.374512,446.336731
27928_32100,HSIL,0.140172,HSIL,1.0,482.247314,466.255798,599.626709,583.644592
27928_32100,HSIL,0.056778,HSIL,1.0,97.842194,321.095490,207.731262,561.883057
43736_18724,HSIL,0.898881,HSIL,1.0,210.141144,299.632874,380.694550,549.615479
43736_18724,HSIL,0.093000,HSIL,1.0,343.466766,152.982666,503.527924,376.387390
43736_18724,HSIL,0.072992,HSIL,1.0,312.565125,480.252136,367.008606,553.629211
24280_22980,ASCUS,0.009480,HSIL,1.0,234.471878,307.366272,287.491516,374.476868
4216_27844,LSIL,0.034453,HSIL,1.0,1.000000,15.968109,608.000000,600.307495
27928_30884,LSIL,0.005215,HSIL,1.0,12.681213,37.029099,606.866821,512.761536
29752_11428,LSIL,0.927470,HSIL,1.0,144.359314,324.761993,291.525787,608.000000
17592_33316,HSIL,0.958250,HSIL,1.0,42.169556,428.304321,176.637238,605.590698
17592_33316,HSIL,0.739307,HSIL,1.0,360.405518,1.000000,433.853882,75.306221
17592_33316,HSIL,0.116643,HSIL,1.0,10.393696,46.459000,81.201904,120.510437
12728_24196,HSIL,0.064927,HSIL,1.0,346.655701,68.504196,396.371887,164.876740
41912_16292,ASCH,0.005667,HSIL,1.0,512.095947,424.921051,601.982056,526.584045
53464_19940,ASCH,0.063827,HSIL,1.0,343.667480,232.752258,475.104431,456.151428
7256_17508,LSIL,0.008100,HSIL,1.0,1.000000,1.000000,608.000000,608.000000
25496_15076,HSIL,0.229612,HSIL,1.0,164.834564,183.003052,243.321350,257.042816
10296_21764,HSIL,0.347115,HSIL,1.0,2.425152,242.154022,41.620827,328.621185
10296_21764,HSIL,0.155931,HSIL,1.0,80.461349,240.344833,173.000320,345.644531
51032_18116,HSIL,0.666696,HSIL,1.0,44.611691,222.994095,142.317017,346.020752
30360_13252,HSIL,0.650147,HSIL,1.0,444.946198,19.387878,522.516296,84.493126
9080_24804,HSIL,0.960146,HSIL,1.0,469.573853,125.304794,608.000000,202.264908
9080_24804,HSIL,0.666951,HSIL,1.0,185.647583,380.996277,343.018250,599.723633
9080_24804,HSIL,0.180571,HSIL,1.0,204.688248,509.311493,282.708435,589.986267
11512_31492,LSIL,0.006097,HSIL,1.0,1.000000,1.000000,608.000000,583.070312
43736_47300,HSIL,0.330699,HSIL,1.0,89.383339,1.000000,240.024048,89.584808
43736_47300,HSIL,0.178960,HSIL,1.0,104.409454,108.902573,162.833069,186.594955
43736_47300,HSIL,0.057475,HSIL,1.0,160.607834,48.430618,202.555679,91.310059
26712_33316,HSIL,0.547067,HSIL,1.0,458.409027,107.660782,530.439392,160.506454
26712_33316,HSIL,0.078253,HSIL,1.0,454.793091,270.834534,548.459839,316.222229
34008_32708,HSIL,0.897635,HSIL,1.0,46.016953,37.703644,189.579117,196.716156
26104_49732,HSIL,0.712384,HSIL,1.0,355.297455,252.155365,409.737946,319.991302
26104_49732,HSIL,0.141298,HSIL,1.0,165.585175,269.303101,277.268982,379.904358
26104_49732,HSIL,0.130295,HSIL,1.0,223.809067,265.467041,280.774933,320.475342
26104_49732,HSIL,0.107251,HSIL,1.0,172.295456,310.841705,222.367416,370.851532
18808_10820,HSIL,0.508467,HSIL,1.0,88.684830,305.021790,147.422928,363.011475
44952_28452,ASCH,0.007425,HSIL,1.0,124.425064,434.225800,238.557999,564.872803
44952_28452,HSIL,0.898694,HSIL,1.0,11.870461,54.145859,173.128204,196.365585
23064_15076,LSIL,0.025277,HSIL,1.0,480.999176,8.801033,601.750244,98.051872
26712_39396,HSIL,0.863289,HSIL,1.0,106.174461,8.336575,238.847504,99.695816
26712_39396,HSIL,0.856987,HSIL,1.0,464.758514,186.596252,554.103882,288.278717
5432_28452,HSIL,0.050862,HSIL,1.0,389.345398,583.221313,454.833923,608.000000
27928_44868,ASCUS,0.009666,HSIL,1.0,521.870056,494.141785,592.325989,571.813171
27928_44868,HSIL,0.068639,HSIL,1.0,521.870056,494.141785,592.325989,571.813171
30360_18724,LSIL,0.026734,HSIL,1.0,62.307171,325.189209,126.141983,401.450134
20632_23588,HSIL,0.963211,HSIL,1.0,365.715515,140.015945,458.873169,235.909012
24888_20548,HSIL,0.217138,HSIL,1.0,467.994781,288.498993,513.955688,328.487579
25496_39396,HSIL,0.300261,HSIL,1.0,224.194031,191.753418,393.549377,346.786804
25496_39396,HSIL,0.108973,HSIL,1.0,327.278717,185.776321,373.316071,240.297623
35224_19940,HSIL,0.075954,HSIL,1.0,418.379181,545.851257,519.081055,597.112976
51640_24804,ASCUS,0.011315,HSIL,1.0,177.356064,205.042557,236.424210,288.396179
51640_24804,HSIL,0.177682,HSIL,1.0,182.532700,430.307037,227.838272,509.074371
51640_27236,ASCUS,0.011229,HSIL,1.0,463.373718,360.832947,569.453186,448.914368
24888_51556,HSIL,0.083426,HSIL,1.0,376.309692,397.870422,481.866821,459.546814
9688_36964,HSIL,0.421832,HSIL,1.0,412.886108,334.593018,508.721924,507.687012
9688_36964,HSIL,0.214432,HSIL,1.0,413.309021,320.963928,475.253235,408.789856
32184_32100,LSIL,0.009902,HSIL,1.0,1.000000,1.000000,608.000000,608.000000
13336_25412,HSIL,0.207953,HSIL,1.0,426.809967,40.492500,493.738434,128.130280
27928_22980,HSIL,0.867718,HSIL,1.0,125.980789,14.468063,464.840759,134.077820
21240_33924,HSIL,0.939164,HSIL,1.0,173.934219,267.197052,253.889084,319.076996
21240_33924,HSIL,0.122355,HSIL,1.0,573.330078,96.475342,605.379517,234.153168
29144_4132,HSIL,0.088702,HSIL,1.0,368.123260,561.254639,422.274750,605.817871
49208_37572,HSIL,0.641022,HSIL,1.0,193.949982,72.597610,251.497589,128.784256
49208_37572,HSIL,0.378380,HSIL,1.0,296.255554,324.014038,416.937805,438.733704
49208_37572,HSIL,0.328744,HSIL,1.0,4.205082,237.456116,71.188797,317.871582
49208_37572,HSIL,0.099347,HSIL,1.0,83.573181,73.776146,149.034225,143.399445
51640_33316,ASCUS,0.012636,HSIL,1.0,435.588379,199.615433,517.501221,255.827927
23064_36356,HSIL,0.311595,HSIL,1.0,362.289612,264.958282,511.907104,353.753021
47992_40612,HSIL,0.605057,HSIL,1.0,297.825958,252.425690,365.640106,316.223969
7864_34532,HSIL,0.953036,HSIL,1.0,427.799042,266.473114,497.106171,353.823334
13944_38180,ASCH,0.009321,HSIL,1.0,66.340508,73.268288,155.771271,143.887939
21848_12644,HSIL,0.466500,HSIL,1.0,269.987915,426.055664,329.245300,492.818787
21848_12644,HSIL,0.106392,HSIL,1.0,264.155487,7.571299,324.042572,52.266632
30968_43044,HSIL,0.968132,HSIL,1.0,225.735397,236.470474,309.748993,314.879822
30968_43044,HSIL,0.701613,HSIL,1.0,3.943705,238.338257,58.155144,298.437927
47992_39396,HSIL,0.151143,HSIL,1.0,27.078693,1.000000,95.670395,42.038162
47992_39396,HSIL,0.050850,HSIL,1.0,301.215820,67.273087,364.890991,132.574783
8472_35748,ASCUS,0.005713,HSIL,1.0,323.512390,15.321493,420.800110,77.546783
8472_35748,HSIL,0.546467,HSIL,1.0,391.115173,395.304565,448.104858,451.626953
22456_49732,LSIL,0.007482,HSIL,1.0,310.267761,119.327873,421.057861,242.613922
6648_18724,ASCH,0.005272,HSIL,1.0,7.759369,1.000000,608.000000,608.000000
48600_39396,ASCUS,0.005002,HSIL,1.0,232.947617,427.914307,308.182648,544.299622
32792_52772,HSIL,0.695902,HSIL,1.0,442.595459,159.344818,598.202881,398.429840
32792_52772,HSIL,0.176902,HSIL,1.0,409.634674,306.686584,446.506317,377.094482
32792_52772,HSIL,0.095812,HSIL,1.0,4.454632,261.116364,38.443878,341.228973
32792_52772,HSIL,0.059255,HSIL,1.0,413.443878,300.303894,459.174591,413.718567
28536_32708,HSIL,0.439724,HSIL,1.0,102.365280,224.987244,178.697342,345.173950
28536_32708,HSIL,0.375844,HSIL,1.0,183.197937,416.589050,259.938904,476.162354
28536_32708,HSIL,0.313204,HSIL,1.0,102.985657,233.968536,162.793762,289.674225
28536_32708,HSIL,0.136518,HSIL,1.0,111.837395,282.164490,171.090118,350.447449
47384_42436,HSIL,0.232701,HSIL,1.0,400.067963,517.655518,472.474945,579.664795
47384_42436,HSIL,0.130868,HSIL,1.0,270.881409,57.548943,346.732178,129.503693
47384_42436,HSIL,0.091862,HSIL,1.0,257.447418,53.266327,345.027496,211.287323
47384_42436,HSIL,0.065719,HSIL,1.0,400.773499,42.238895,489.224060,109.864899
43736_43044,HSIL,0.693420,HSIL,1.0,549.111694,112.769730,608.000000,153.672806
43736_43044,HSIL,0.896488,HSIL,1.0,81.504036,127.728798,166.227753,186.807159
43736_43044,HSIL,0.459926,HSIL,1.0,170.396301,86.537498,241.491882,129.206924
43736_43044,HSIL,0.239955,HSIL,1.0,219.835297,115.934883,271.865509,166.637833
43736_43044,HSIL,0.193477,HSIL,1.0,181.755371,71.021286,292.442169,179.810028
43736_43044,HSIL,0.172774,HSIL,1.0,221.810150,270.420471,268.344666,316.020142
43736_43044,HSIL,0.109658,HSIL,1.0,334.607819,66.839378,378.600800,104.612984
43736_43044,HSIL,0.098832,HSIL,1.0,445.068695,14.245750,541.425720,123.397270
43736_43044,HSIL,0.061697,HSIL,1.0,343.320129,130.033768,404.938721,172.349136
43736_43044,HSIL,0.055072,HSIL,1.0,327.160278,65.215332,404.111694,184.638306
34008_44868,HSIL,0.063587,HSIL,1.0,208.904053,17.236069,263.434662,90.659378
47384_15076,HSIL,0.432436,HSIL,1.0,294.641266,30.031502,355.905304,89.661964
47384_15076,HSIL,0.096224,HSIL,1.0,238.069489,2.349072,301.769684,54.648666
47384_15076,HSIL,0.089297,HSIL,1.0,209.581635,483.095215,263.574188,535.648621
13944_12036,LSIL,0.031865,HSIL,1.0,1.000000,53.705872,608.000000,608.000000
14552_23588,HSIL,0.192841,HSIL,1.0,478.533722,394.121216,587.090332,481.568054
54072_29668,ASCUS,0.028762,HSIL,1.0,3.076250,289.538208,53.362640,377.170837
38264_16292,ASCUS,0.014461,HSIL,1.0,71.113983,535.000610,147.093994,596.640259
38264_16292,HSIL,0.655531,HSIL,1.0,193.829468,175.141891,250.486115,218.130234
26712_24804,HSIL,0.997119,HSIL,0.9999989,1.000000,125.394623,343.493622,608.000000
8472_15076,HSIL,0.371459,HSIL,1.0,401.510254,108.303223,488.173096,220.726654
8472_15076,HSIL,0.232008,HSIL,1.0,514.732544,98.641647,567.023438,169.384109
8472_15076,HSIL,0.121883,HSIL,1.0,230.840668,478.154266,293.889374,539.526550
21848_35748,HSIL,0.047080,HSIL,1.0,317.578186,281.789337,379.766113,355.199188
35832_43044,HSIL,0.641887,HSIL,1.0,172.918396,327.649414,217.417847,386.992432
35832_43044,HSIL,0.100050,HSIL,1.0,222.289688,304.988342,268.159363,348.509888
19416_14468,ASCH,0.005712,HSIL,1.0,13.966114,483.634674,92.487717,564.209839
30360_53380,HSIL,0.111062,HSIL,1.0,455.349213,205.653244,578.621399,331.611389
34008_8996,HSIL,0.295004,HSIL,1.0,241.627136,168.712921,310.262512,227.627014
34008_8996,HSIL,0.152690,HSIL,1.0,255.921722,414.808319,330.700897,490.016144
34008_8996,HSIL,0.088529,HSIL,1.0,203.555298,527.348083,284.730621,601.925964
21240_7172,HSIL,0.561089,HSIL,1.0,62.556244,456.114136,122.075912,512.826965
21240_7172,HSIL,0.331289,HSIL,1.0,325.881226,557.804199,419.069214,603.844971
32184_36964,HSIL,0.205301,HSIL,1.0,389.698181,88.553169,433.482544,193.346802
13336_39396,HSIL,0.111438,HSIL,1.0,479.467499,279.206940,525.110779,321.593231
13336_39396,HSIL,0.997566,HSIL,1.0,194.605026,1.000000,403.350281,245.027374
13336_39396,HSIL,0.050635,HSIL,1.0,492.925995,363.292999,555.143250,417.265656
40088_49732,ASCUS,0.006935,HSIL,1.0,202.373810,4.236923,305.735321,114.927094
35224_41220,HSIL,0.300048,HSIL,1.0,138.320862,429.591492,207.582458,475.202454
35224_41220,HSIL,0.218376,HSIL,1.0,383.742584,161.951080,421.677094,204.001068
44344_17508,HSIL,0.994695,HSIL,1.0,470.410217,107.673866,546.574341,175.544983
44344_17508,HSIL,0.716269,HSIL,1.0,81.940506,47.103920,135.870834,103.218742
44344_17508,HSIL,0.565542,HSIL,1.0,502.330627,145.325470,595.513733,203.945953
44344_17508,HSIL,0.078408,HSIL,1.0,490.185303,98.035034,608.000000,203.350677
21240_50948,HSIL,0.316453,HSIL,1.0,1.000000,338.663086,158.886841,575.626831
30360_4740,HSIL,0.698134,HSIL,1.0,4.206467,274.881287,131.715714,324.297119
30360_4740,HSIL,0.075578,HSIL,1.0,170.168076,212.712570,238.055954,276.066589
30360_4740,HSIL,0.052459,HSIL,1.0,485.309143,1.000000,532.482300,24.894190
15768_25412,HSIL,0.567517,HSIL,1.0,247.348633,169.205765,403.048767,336.614746
15768_25412,HSIL,0.212299,HSIL,1.0,245.787796,164.703751,355.855164,277.790283
15768_25412,HSIL,0.103696,HSIL,1.0,333.700165,248.644196,396.818329,306.076813
15768_25412,HSIL,0.075688,HSIL,1.0,253.405914,295.093872,313.402496,357.034668
15768_25412,HSIL,0.069636,HSIL,1.0,327.247009,244.131897,450.098450,326.714600
12728_19940,HSIL,0.652313,HSIL,1.0,374.799072,57.972363,422.414795,161.187332
15160_25412,HSIL,0.702967,HSIL,1.0,351.004333,554.418030,412.226318,608.000000
15160_25412,HSIL,0.468292,HSIL,1.0,387.894653,494.377991,486.371155,604.204407
15160_25412,HSIL,0.269876,HSIL,1.0,494.793030,543.059326,544.011902,601.176147
15160_25412,HSIL,0.227827,HSIL,1.0,395.437531,532.087463,462.702118,596.900452
15160_25412,HSIL,0.225758,HSIL,1.0,11.257317,393.167786,127.021034,495.310913
15160_25412,HSIL,0.153346,HSIL,1.0,140.320969,350.277710,270.313293,427.822021
15160_25412,HSIL,0.140367,HSIL,1.0,142.813705,254.565262,283.154968,411.823486
43736_20548,HSIL,0.178787,HSIL,1.0,168.978226,251.480743,273.775513,397.525360
43736_20548,HSIL,0.083053,HSIL,1.0,495.637482,1.000000,553.746948,36.208252
42520_19940,HSIL,0.598309,HSIL,1.0,473.005615,211.994949,546.109253,296.023041
42520_19940,HSIL,0.173414,HSIL,1.0,503.290405,256.516113,546.510498,297.468933
42520_19940,HSIL,0.123648,HSIL,1.0,488.454193,216.064102,543.688538,256.754547
30968_51556,HSIL,0.127033,HSIL,1.0,495.698914,171.275436,570.297058,222.325577
37656_37572,HSIL,0.977859,HSIL,1.0,10.725552,30.060848,79.143387,104.789642
