x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
22962_10005,ASCH,0.154101,HSIL,1.0,146.787155,424.715118,233.581589,547.165283
22962_10005,HSIL,0.110968,HSIL,1.0,471.988037,577.133179,509.794495,601.077148
22962_10005,HSIL,0.319707,HSIL,1.0,470.572266,533.744019,512.635559,594.774170
22962_10005,HSIL,0.052182,HSIL,1.0,83.437691,221.668167,115.178062,269.777130
22962_10005,HSIL,0.700816,HSIL,1.0,526.930420,228.342178,587.149048,274.723450
22962_10005,HSIL,0.274974,HSIL,1.0,41.001545,227.146484,81.215652,260.446228
12626_39189,ASCUS,0.008393,HSIL,1.0,424.817627,570.668518,478.131348,608.000000
12626_39189,ASCH,0.024868,HSIL,1.0,424.817627,570.668518,478.131348,608.000000
12626_39189,HSIL,0.644100,HSIL,1.0,282.611206,52.637054,415.811279,165.768738
17490_26421,ASCH,0.005651,HSIL,1.0,188.983673,505.312744,238.469818,539.861694
17490_26421,HSIL,0.111697,HSIL,1.0,24.896816,418.616089,78.296219,469.114868
17490_26421,HSIL,0.114377,HSIL,1.0,167.399048,180.893433,226.744049,248.808960
22962_47701,HSIL,0.068982,HSIL,1.0,362.658905,387.782715,430.605682,425.616943
7762_23989,ASCH,0.016129,HSIL,1.0,352.599854,80.351463,412.455750,149.629883
21138_17909,ASCH,0.028981,HSIL,1.0,228.822510,494.575378,265.473907,539.022766
21138_17909,ASCH,0.029501,HSIL,1.0,179.994568,512.514038,231.839264,565.204834
2898_23989,LSIL,0.181285,HSIL,1.0,32.453842,45.930054,451.528625,312.846069
53362_17301,HSIL,0.271445,HSIL,1.0,210.538696,355.882019,328.662781,501.611084
53362_17301,HSIL,0.113666,HSIL,1.0,354.288422,293.235138,567.666260,453.312958
53362_17301,HSIL,0.054655,HSIL,1.0,158.131042,94.091667,199.655243,144.062515
41810_24597,HSIL,0.168050,HSIL,1.0,70.194733,296.658661,276.045380,450.224823
41810_24597,HSIL,0.166809,HSIL,1.0,403.029816,129.192947,454.945587,172.994522
41810_24597,HSIL,0.066116,HSIL,1.0,452.109131,255.360840,502.405945,301.936401
21746_4533,ASCH,0.088803,HSIL,1.0,403.598083,32.578819,470.592712,90.849182
22962_8181,ASCH,0.195806,HSIL,1.0,164.346664,60.998367,280.081390,188.482742
22962_8181,HSIL,0.302503,HSIL,1.0,269.571228,555.056702,331.528442,605.905212
22962_8181,HSIL,0.261965,HSIL,1.0,174.013458,63.477203,281.964905,185.900589
22962_8181,HSIL,0.085828,HSIL,1.0,247.254578,65.685349,275.873047,93.015884
22962_8181,HSIL,0.068396,HSIL,1.0,252.178314,83.296753,281.962616,120.508957
21138_34933,ASCH,0.016645,HSIL,1.0,304.133209,208.382172,607.868286,608.000000
21138_34933,HSIL,0.094187,HSIL,1.0,14.667744,516.511475,75.689545,568.227539
21138_34933,HSIL,0.071909,HSIL,1.0,6.580029,236.217148,66.270874,284.092438
9586_30069,HSIL,0.742085,HSIL,1.0,4.687393,152.485107,181.358810,339.490082
9586_30069,HSIL,0.241494,HSIL,1.0,457.004059,357.011627,511.941010,423.777557
9586_30069,HSIL,0.149358,HSIL,1.0,294.704620,49.909126,355.164154,100.266914
21746_19733,HSIL,0.224342,HSIL,1.0,152.460632,98.088287,273.735840,231.729279
21746_19733,HSIL,0.107043,HSIL,1.0,367.156494,4.568487,412.707947,24.565134
21746_19733,HSIL,0.062679,HSIL,1.0,214.727615,180.433197,257.030487,227.531464
53362_13653,ASCUS,0.012916,HSIL,1.0,198.007477,480.395630,273.329163,552.146729
32690_16693,HSIL,0.074974,HSIL,1.0,77.364624,495.167999,110.986481,553.550110
32690_16693,HSIL,0.050018,HSIL,1.0,79.359604,488.226501,136.763397,564.264343
46674_19733,HSIL,0.742157,HSIL,1.0,33.304340,239.831818,75.221710,294.867401
46674_19733,HSIL,0.499728,HSIL,1.0,81.933296,250.497665,122.235603,286.689270
46674_19733,HSIL,0.313631,HSIL,1.0,102.723984,303.480957,144.423248,334.507996
46674_19733,HSIL,0.118080,HSIL,1.0,168.957565,378.115570,225.822281,450.577362
46674_19733,HSIL,0.102125,HSIL,1.0,112.679535,422.060364,155.383118,472.374084
49714_10005,HSIL,0.055909,HSIL,1.0,99.101738,444.917786,262.889160,588.991028
26002_10613,ASCH,0.005795,HSIL,1.0,178.526550,317.588379,213.750641,366.242188
26002_10613,ASCH,0.092961,HSIL,1.0,168.383408,551.229492,212.714676,596.813721
26002_10613,ASCH,0.011064,HSIL,1.0,209.000549,570.215088,265.169281,606.318359
4114_37973,HSIL,0.144441,HSIL,1.0,277.957977,281.428101,339.143341,351.953430
40594_15477,HSIL,0.304445,HSIL,1.0,169.757523,532.238464,220.518417,586.202087
40594_15477,HSIL,0.224528,HSIL,1.0,40.503559,48.826733,99.007477,101.364899
40594_15477,HSIL,0.090161,HSIL,1.0,538.833557,543.985596,570.357483,586.542236
27218_41621,LSIL,0.006498,HSIL,1.0,238.472992,571.459778,396.328522,607.659485
27218_41621,HSIL,0.080135,HSIL,1.0,345.045197,13.641207,419.224030,75.570724
41202_29461,HSIL,0.234263,HSIL,1.0,13.543583,301.784698,61.301533,363.642365
41202_29461,HSIL,0.171814,HSIL,1.0,484.602936,460.229431,537.619019,495.510498
41202_29461,HSIL,0.123279,HSIL,1.0,450.572815,426.553497,503.990295,463.220978
41202_29461,HSIL,0.087427,HSIL,1.0,423.913910,399.763153,485.137421,440.823517
15666_45877,HSIL,0.618417,HSIL,1.0,148.280777,131.542389,278.297424,310.270111
15666_45877,HSIL,0.394753,HSIL,1.0,356.819519,469.469208,407.787781,516.613464
15666_45877,HSIL,0.083699,HSIL,1.0,259.345734,253.530334,307.966827,331.365112
15666_45877,HSIL,0.082826,HSIL,1.0,384.628387,533.873291,427.564606,597.480835
15666_45877,HSIL,0.052428,HSIL,1.0,472.610016,169.023956,510.998505,213.281494
27218_46485,HSIL,0.398779,HSIL,1.0,362.803009,231.261948,495.406097,402.833557
27218_46485,HSIL,0.203879,HSIL,1.0,193.606384,226.340530,296.945618,325.884705
27218_46485,HSIL,0.185912,HSIL,1.0,372.132416,216.361786,436.033356,260.713013
27218_46485,HSIL,0.070486,HSIL,1.0,455.353973,318.684631,497.684479,361.172241
50322_26421,ASCUS,0.008106,HSIL,1.0,158.660049,8.359032,283.479279,50.479832
12018_33717,ASCH,0.558748,HSIL,1.0,90.360588,156.206573,343.443878,378.865936
12018_33717,HSIL,0.312814,HSIL,1.0,266.629852,544.648926,320.601715,599.357666
