x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
48640_17024,ASCH,0.072159,ASCH,1.0,58.094147,237.372208,344.965881,608.000000
40128_7904,ASCUS,0.045247,ASCH,1.0,66.958008,1.000000,596.293823,594.984497
23712_16416,ASCUS,0.026637,ASCH,1.0,1.000000,1.000000,608.000000,175.443909
51680_16416,ASCH,0.067041,ASCH,1.0,16.171799,1.000000,401.699219,522.972107
44992_50464,LSIL,0.075507,ASCH,1.0,36.230011,42.529892,608.000000,440.849243
52288_18240,ASCUS,0.015095,ASCH,1.0,1.000000,169.678009,437.423584,435.286591
41952_42560,ASCUS,0.013024,ASCH,1.0,1.000000,62.048126,608.000000,372.109894
41952_42560,ASCUS,0.016014,ASCH,1.0,1.000000,1.000000,608.000000,519.292969
37696_36480,ASCH,0.068075,ASCH,1.0,8.989456,62.680786,198.722519,403.778778
50464_49248,ASCH,0.076237,ASCH,1.0,279.016846,1.000000,540.480896,348.137421
29184_54112,ASCUS,0.007999,ASCH,1.0,1.000000,1.000000,608.000000,243.916519
