x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
31277_45207,HSIL,0.101203,HSIL,1.0,91.694366,134.622131,140.882812,174.729095
32493_48247,HSIL,0.137849,HSIL,1.0,527.224915,483.693573,570.939636,520.001709
36749_34871,HSIL,0.204545,HSIL,1.0,68.997856,501.399872,97.478905,549.246704
44653_11767,HSIL,0.147679,HSIL,1.0,194.483429,335.476990,327.243256,441.974182
37965_30615,ASCUS,0.042032,HSIL,1.0,134.252991,154.599380,291.324219,320.798157
45261_40951,ASCUS,0.012580,HSIL,1.0,55.555450,21.213928,153.382233,257.600372
14253_18455,LSIL,0.006801,HSIL,1.0,72.348976,237.953735,193.467499,380.135193
28237_39127,ASCUS,0.006294,HSIL,1.0,165.065109,278.439819,371.109680,387.083618
45261_28183,HSIL,0.063074,HSIL,1.0,148.576385,536.007629,182.219788,564.859192
30669_29399,ASCUS,0.014006,HSIL,1.0,441.681763,170.728241,491.636475,223.824402
36141_14199,ASCUS,0.012647,HSIL,1.0,295.969299,228.003387,450.881226,389.907806
24589_20887,ASCUS,0.005909,HSIL,1.0,154.225555,444.503387,351.286469,541.738342
50125_21495,ASCUS,0.007269,HSIL,1.0,278.668701,378.518707,403.366943,512.587158
37357_19671,ASCUS,0.005668,HSIL,1.0,204.312454,416.195679,334.612122,521.284485
47693_33655,HSIL,0.055122,HSIL,1.0,285.273193,480.646027,319.911560,524.010925
16685_8119,HSIL,0.100805,HSIL,1.0,314.812622,161.553802,400.066284,203.694336
48909_20887,LSIL,0.027163,HSIL,1.0,33.023392,89.474495,168.426666,274.453247
27021_43991,LSIL,0.005033,HSIL,1.0,93.844147,250.842270,167.620056,318.852600
25197_11767,HSIL,0.297477,HSIL,1.0,410.115723,3.175018,559.961975,151.903214
33709_31223,ASCUS,0.007369,HSIL,1.0,15.516037,233.127350,164.933517,452.790253
36141_20887,ASCUS,0.035312,HSIL,1.0,42.605141,318.559113,92.620323,396.210297
22765_8119,ASCUS,0.015350,HSIL,1.0,210.734863,157.342773,297.231628,255.065033
19725_3863,HSIL,0.066670,HSIL,1.0,586.783447,83.119240,604.522461,117.684273
9997_23319,ASCH,0.008277,HSIL,1.0,122.474236,142.408905,155.356750,175.174194
39789_33655,ASCUS,0.032646,HSIL,1.0,279.972015,402.245117,433.617767,502.336304
45261_13591,ASCH,0.645548,HSIL,1.0,1.000000,145.894318,372.122009,413.717010
42829_31223,LSIL,0.167614,HSIL,1.0,380.188599,10.020203,492.890564,129.335648
48909_33047,HSIL,0.827522,HSIL,1.0,556.778137,337.326965,588.307190,380.174316
20333_17847,HSIL,0.096296,HSIL,1.0,360.335632,83.686974,404.563599,134.189209
41613_42167,ASCH,0.034184,HSIL,1.0,506.076904,136.759552,606.318604,288.818756
46477_16631,ASCUS,0.013941,HSIL,1.0,382.695740,66.556549,500.002136,278.045868
33709_46423,HSIL,0.883285,HSIL,1.0,93.681473,385.839844,142.976364,423.781677
7565_14199,HSIL,0.094624,HSIL,1.0,247.645844,508.956116,286.677643,558.258362
44045_20887,HSIL,0.541936,HSIL,1.0,284.099792,396.941986,462.256592,556.773926
26413_39735,HSIL,0.428396,HSIL,1.0,447.805298,55.616581,521.769714,115.403076
26413_39735,HSIL,0.107135,HSIL,1.0,445.647278,1.000000,572.318176,123.455734
24589_19063,HSIL,0.150055,HSIL,1.0,390.710510,81.579849,422.860840,140.251160
9389_11159,HSIL,0.072486,HSIL,1.0,432.228790,308.811829,488.966156,370.582947
47693_22711,HSIL,0.062802,HSIL,1.0,534.000549,24.907072,579.674988,64.050163
20941_9943,LSIL,0.023902,HSIL,1.0,378.531067,151.934402,524.602356,254.826950
36749_25751,HSIL,0.295611,HSIL,1.0,159.335800,555.056885,198.861649,591.041504
27629_18455,HSIL,0.741612,HSIL,1.0,12.044052,101.767029,64.550018,166.863068
34317_19063,HSIL,0.096826,HSIL,1.0,583.923523,476.594666,607.539978,525.329956
39181_10551,ASCUS,0.027137,HSIL,1.0,157.849030,75.516121,236.242035,157.931305
17293_12375,HSIL,0.092554,HSIL,1.0,380.170471,378.644257,426.210693,419.794159
11213_25143,ASCH,0.971206,HSIL,1.0,214.179443,357.251160,440.870544,583.810425
30669_16023,ASCH,0.053129,HSIL,1.0,2.683001,129.929123,53.998672,216.722000
45869_29399,ASCH,0.609768,HSIL,1.0,1.000000,43.111084,572.705444,549.884705
42221_17847,HSIL,0.101584,HSIL,1.0,8.733680,416.199371,27.681377,437.570709
49517_17239,LSIL,0.005770,HSIL,1.0,1.000000,1.000000,608.000000,608.000000
37965_45815,HSIL,0.063649,HSIL,1.0,516.614807,539.262024,548.178528,575.768738
30669_14807,LSIL,0.012762,HSIL,1.0,559.217041,49.631535,601.957031,103.581161
32493_31831,HSIL,0.073865,HSIL,1.0,465.092438,528.395935,516.206909,569.463562
37357_6295,HSIL,0.098029,HSIL,1.0,479.225250,63.613167,525.950073,94.876411
