x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
11412_30782,ASCUS,0.101571,ASCUS,0.81690836,168.186646,276.153381,289.746338,403.560608
20532_38078,ASCUS,0.680727,ASCUS,0.632086,75.679245,231.751953,263.132202,428.736267
40596_7070,ASCUS,0.087620,ASCUS,0.96748054,213.601212,400.869415,478.617798,575.671753
40596_33214,ASCUS,0.873046,ASCUS,0.99431205,281.901367,43.475479,432.686829,206.338058
40596_33214,ASCUS,0.143379,ASCUS,0.99999154,344.882660,1.000000,449.205292,105.857132
7764_33214,ASCUS,0.134125,ASCUS,0.92602175,88.590302,319.486237,290.764069,459.094757
15668_22270,ASCUS,0.781317,ASCUS,0.932414,310.997467,448.211670,448.269440,608.000000
15668_22270,ASCUS,0.433396,ASCUS,0.9710835,288.670410,322.523895,472.334595,455.438690
13236_30174,ASCUS,0.771135,ASCUS,0.9998117,109.058891,378.039185,285.231506,511.692688
17492_31390,ASCUS,0.033433,ASCUS,0.99961394,254.422012,506.454651,475.178589,607.296570
38772_17406,ASCUS,0.021971,ASCUS,0.9842717,143.705017,307.815918,319.165894,540.512695
38772_17406,ASCUS,0.160939,ASCUS,0.9643815,502.576477,25.519699,601.686829,283.881897
19924_10718,ASCUS,0.445193,ASCUS,0.99945503,1.000000,31.149994,419.116577,451.429504
21748_44766,ASCUS,0.111706,ASCUS,0.99617237,273.641541,97.228477,446.091492,337.363037
20532_22270,ASCUS,0.414026,ASCUS,0.9917247,253.538422,351.588867,461.880646,507.421692
33908_31998,ASCUS,0.053724,ASCUS,0.99996316,417.084412,365.454407,552.484131,478.404846
33908_31998,ASCUS,0.062591,ASCUS,0.99792117,159.766510,95.525200,282.318665,202.483643
41204_30782,ASCUS,0.063901,ASCUS,0.9758887,253.916321,383.963776,412.624695,538.717773
50324_25918,ASCUS,0.997106,ASCUS,0.9998853,45.203293,287.952972,218.623642,440.596405
30260_41118,ASCUS,0.974460,ASCUS,0.99982387,264.532166,260.690857,418.876221,372.585388
38772_21054,ASCUS,0.999376,ASCUS,0.9999894,163.667679,292.717133,323.846619,372.099701
28436_16798,ASCUS,0.247364,ASCUS,0.99753785,1.000000,126.420227,247.168884,366.596100
30260_25310,ASCUS,0.005614,ASCUS,0.52950156,298.435364,38.195343,550.577148,234.733612
27220_10718,ASCUS,0.052048,ASCUS,0.99995935,108.199951,70.235924,238.009216,244.060272
29652_8286,ASCUS,0.057962,ASCUS,0.9923307,359.695557,416.206451,545.760681,536.236267
32692_41726,ASCUS,0.997660,ASCUS,0.9807544,6.106140,344.020294,164.205978,527.414917
24180_11326,ASCUS,0.793716,ASCUS,0.97473145,73.768753,398.591034,242.108597,541.182251
27828_14974,ASCUS,0.354440,ASCUS,0.9885493,232.106750,530.445862,286.991455,599.829773
27828_14974,LSIL,0.008967,HSIL,0.96106887,276.266418,7.896751,373.553406,178.972443
36340_44158,ASCUS,0.989171,ASCUS,0.98359907,232.132141,201.060211,337.763245,306.401978
36948_23486,ASCUS,0.761635,ASCUS,0.9217609,283.313049,122.992584,429.062012,287.510742
27220_11934,ASCUS,0.988354,ASCUS,0.9997371,295.931763,155.047913,416.394226,318.922699
18100_34430,HSIL,0.106037,HSIL,0.6296066,572.061401,514.486511,601.035034,549.179749
37556_15582,ASCUS,0.983893,ASCUS,0.9995198,150.958557,298.330994,340.702942,432.836365
32084_19230,ASCUS,0.113574,ASCUS,0.65447944,446.226257,84.980721,605.254333,213.943024
21140_32606,ASCUS,0.364194,ASCUS,0.99992657,550.212830,27.959656,608.000000,173.578506
33300_49022,ASCUS,0.989166,ASCUS,0.99029773,411.550232,90.072823,561.685730,243.223572
40596_42942,ASCUS,0.075910,ASCUS,0.99384993,329.417114,461.383545,479.017517,522.206848
51540_21662,ASCUS,0.053119,ASCUS,0.5239742,12.885887,177.602570,206.925903,296.904297
31476_23486,ASCUS,0.184468,ASCUS,0.9998896,384.215179,29.376011,600.708191,141.646088
15668_10110,ASCUS,0.150275,ASCUS,0.98413384,31.747948,71.470299,249.708954,211.492432
15668_10110,ASCUS,0.076548,ASCUS,0.79922,79.530273,182.169342,217.681000,276.433441
16276_50238,ASCUS,0.052460,ASCUS,0.9468423,534.115295,243.650879,608.000000,389.351379
40596_39902,ASCUS,0.104647,ASCUS,0.99367034,252.294998,408.180969,427.727173,561.685364
38164_47198,ASCUS,0.299948,ASCUS,0.9886904,477.423309,34.256905,608.000000,199.729340
38164_47198,ASCUS,0.169602,ASCUS,0.90612423,87.045868,50.014698,274.890747,166.556992
13844_29566,ASCUS,0.343182,ASCUS,0.94635415,437.128754,160.606720,603.221619,431.818024
51540_24094,ASCUS,0.992549,ASCUS,0.99964607,227.700287,395.641113,440.196686,529.488220
36948_22270,ASCUS,0.138037,ASCUS,0.99480975,201.923279,243.840103,352.721680,406.418030
36948_22270,ASCUS,0.978223,ASCUS,0.99904865,441.916718,283.919495,606.597778,430.039734
45460_26526,ASCUS,0.197646,ASCUS,0.99997365,171.686768,117.949738,517.601990,286.373260
26004_27742,ASCUS,0.541024,ASCUS,0.99963164,444.166626,368.025146,607.273682,505.311035
18708_41726,ASCUS,0.051510,ASCUS,0.49292573,328.957214,49.605904,549.627014,287.398224
25396_49022,ASCUS,0.996332,ASCUS,0.71677184,158.990051,214.800217,361.725159,401.589783
10804_43550,ASCUS,0.067604,ASCUS,0.8378348,439.298553,302.639465,601.290039,550.585388
41812_31998,ASCUS,0.297787,ASCUS,0.99991035,188.173050,222.029160,308.676147,411.754028
33908_22270,ASCUS,0.115622,ASCUS,0.99940264,382.696075,415.556946,601.958130,522.314819
43028_39902,ASCUS,0.865212,ASCUS,0.9983329,133.237991,20.858109,231.434311,214.528839
29652_5246,ASCUS,0.251328,ASCUS,0.9964574,277.226135,260.744141,501.362366,389.010803
41812_49022,ASCUS,0.960612,ASCUS,0.8381322,182.591522,303.892975,292.842682,444.182343
29044_16190,ASCUS,0.998667,ASCUS,0.9998987,411.153168,98.789246,572.516968,294.036652
25396_30782,ASCUS,0.464702,ASCUS,0.95281976,28.880089,51.563194,189.752777,200.963837
32692_21662,ASCUS,0.201322,ASCUS,0.9808717,195.193359,221.198944,309.835876,365.002167
32692_21662,HSIL,0.088409,HSIL,0.5331792,585.365601,527.267151,607.125000,558.606873
26004_33214,ASCUS,0.931300,ASCUS,0.8341724,37.558502,202.451691,196.216278,414.499847
41204_24702,ASCUS,0.986426,ASCUS,0.9749297,268.221741,286.351257,477.012634,444.207764
30260_10718,ASCUS,0.995484,ASCUS,0.99993515,99.176559,7.064285,214.365616,233.356262
43636_36862,ASCUS,0.482473,ASCUS,0.9328526,376.135895,359.905029,561.475830,514.481323
28436_27134,ASCUS,0.014170,ASCUS,0.9960945,294.689362,338.406738,525.188232,574.182068
42420_13150,ASCUS,0.939211,ASCUS,0.99957985,384.252594,120.682304,555.929199,305.277649
35124_9502,ASCUS,0.995248,ASCUS,0.9966815,21.022667,465.628784,195.096527,587.346313
49716_36254,ASCUS,0.176232,ASCUS,0.802394,209.749908,212.533600,330.026459,371.668182
32084_35646,ASCUS,0.052662,ASCUS,0.9651859,54.764469,362.926544,177.809296,560.086304
21748_36862,ASCUS,0.009638,ASCUS,0.9387643,172.076859,236.423599,455.491882,586.984802
22356_13150,ASCUS,0.056180,ASCUS,0.99616253,396.108063,448.816040,558.494873,602.101440
