x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
52332_52226,ASCUS,0.363199,ASCUS,0.42987415,40.922195,77.698730,198.190567,354.383972
52332_46146,ASCUS,0.029042,LSIL,0.99874216,11.003464,202.906738,295.758118,554.736694
52332_46146,LSIL,0.331812,LSIL,0.99989104,130.166199,239.161377,273.618866,516.448547
17676_23042,LSIL,0.337554,LSIL,0.9999943,392.679688,185.686096,561.072571,352.124451
7340_78978,ASCUS,0.056993,ASCUS,0.59517026,1.000000,1.000000,608.000000,608.000000
10380_20002,ASCUS,0.005104,SCC,0.9585347,375.003357,1.000000,469.001892,408.258362
27404_7234,HSIL,0.940008,HSIL,1.0,66.010460,481.261932,122.027733,536.441101
27404_7234,HSIL,0.151105,HSIL,0.9999982,78.924385,494.993347,187.654236,602.743347
27404_7234,HSIL,0.068389,HSIL,0.9999949,100.757187,503.295593,262.026489,594.521423
45036_32162,HSIL,0.151518,HSIL,1.0,190.180099,125.990265,346.806519,220.201721
74220_57090,LSIL,0.994373,LSIL,1.0,104.211426,102.107971,327.212616,366.439453
78476_26690,LSIL,0.740302,LSIL,0.80789214,293.765503,324.758270,584.030762,558.874695
12204_31554,LSIL,0.265995,LSIL,0.5487011,185.822083,11.758133,472.503174,259.042908
4908_72290,ASCUS,0.128534,ASCUS,0.75933677,1.000000,71.015305,608.000000,531.343994
20108_10274,LSIL,0.993116,LSIL,1.0,83.784317,303.383301,283.030212,517.099670
48076_66818,LSIL,0.998930,LSIL,1.0,303.198303,91.453903,475.570496,269.404663
9164_77762,ASCUS,0.108367,ASCUS,0.9499447,1.000000,17.044464,608.000000,595.893188
14028_77154,ASCUS,0.226015,ASCUS,0.774122,1.000000,8.393494,608.000000,602.636902
68748_32162,LSIL,0.057300,LSIL,0.9993987,207.440079,171.521408,527.728333,514.943359
45036_64994,LSIL,0.996406,LSIL,0.8564829,240.137909,32.226433,426.963409,186.515778
45036_64994,LSIL,0.148589,LSIL,0.9998621,157.459427,86.854172,269.076599,194.063980
74220_8450,ASCUS,0.054948,ASCUS,0.72232366,1.000000,1.000000,608.000000,608.000000
52332_22434,ASCUS,0.007126,LSIL,1.0,234.463318,310.606140,431.489929,419.012390
21324_71682,LSIL,0.066473,LSIL,0.9999608,215.189789,268.819092,588.726074,594.672119
36524_40674,LSIL,0.804142,LSIL,1.0,492.722198,24.793365,608.000000,285.160492
40780_50402,LSIL,0.168178,LSIL,0.99999845,97.200928,23.136963,368.809357,315.476929
65100_57698,ASCUS,0.349481,ASCUS,0.57746583,162.040253,263.272461,376.616302,386.658264
8556_78370,ASCUS,0.270996,ASCUS,0.82294494,1.000000,15.384613,608.000000,592.591187
6732_77762,ASCUS,0.076816,ASCUS,0.992851,1.000000,15.993927,608.000000,592.685547
5516_72290,ASCUS,0.055584,ASCUS,0.8576382,35.766113,1.000000,574.293579,608.000000
8556_68642,ASCUS,0.055472,ASCUS,0.39087823,17.053528,15.116730,591.316284,588.657471
37132_18786,ASCUS,0.286643,ASCUS,0.9995999,181.558243,69.328072,325.820740,145.424683
12204_61954,LSIL,0.059111,LSIL,0.7563858,35.409134,184.475464,511.647827,558.400391
12204_78370,ASCUS,0.055535,ASCUS,0.9512552,1.000000,47.800003,608.000000,554.005920
54764_62562,ASCUS,0.486231,ASCUS,0.97902817,254.310730,98.062836,425.894775,233.392578
