x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
22655_54245,ASCUS,0.789425,ASCUS,0.999582,357.662598,346.785431,487.022766,466.044342
22655_54245,ASCUS,0.400506,ASCUS,0.9999968,516.594482,294.507721,600.159058,401.190704
57919_25669,ASCUS,0.880446,ASCUS,0.8982579,126.638412,101.677773,252.237503,245.607269
41503_25669,ASCUS,0.773563,ASCUS,0.9960985,50.030109,354.609314,167.951904,488.647034
41503_25669,LSIL,0.287144,HSIL,0.9962598,40.591892,352.789886,166.267670,490.779510
55487_23845,ASCH,0.006973,HSIL,0.99343807,368.061127,485.054291,455.255402,550.139893
25087_37221,ASCUS,0.684924,ASCUS,0.96099764,448.411316,211.816895,536.131042,295.147736
25087_37221,ASCUS,0.041715,LSIL,0.7549609,498.902954,204.785004,598.421631,285.603180
33599_28709,ASCUS,0.021412,HSIL,0.9679567,94.774567,546.092773,171.862762,604.409302
14143_39045,ASCUS,0.081801,ASCUS,0.9131565,176.149170,444.209778,247.354584,525.705139
31167_28709,ASCUS,0.215347,ASCUS,0.9953863,474.061462,257.018219,572.779236,341.175751
43935_45733,ASCUS,0.313015,ASCUS,0.9988508,419.270508,110.579269,598.181030,300.705872
51231_27493,ASCUS,0.080712,ASCUS,0.988123,23.136528,419.888367,83.381409,488.023254
51231_27493,LSIL,0.909054,LSIL,0.8001643,1.000000,257.281799,274.230957,500.244324
39071_43909,ASCUS,0.010527,HSIL,0.99973065,155.144104,532.628540,224.303528,594.108887
28127_11077,ASCUS,0.990812,ASCUS,0.92004675,93.132645,303.662231,206.640884,409.906433
45151_25061,ASCUS,0.891951,ASCUS,0.99968994,427.647339,327.982910,493.088928,422.342651
36031_32965,ASCUS,0.023822,ASCUS,0.9999999,3.635042,251.286530,38.749786,320.726593
36639_9253,ASCUS,0.175543,ASCUS,0.9880802,224.955673,352.670044,310.616943,429.987366
36639_9253,ASCUS,0.054515,ASCUS,0.49356622,54.869293,59.250607,131.529083,139.223175
36639_9253,ASCH,0.160350,HSIL,0.9973521,160.333313,452.614990,231.144775,518.388550
20831_29317,ASCUS,0.895371,ASCUS,0.9999975,261.658142,345.380615,389.904419,495.926270
29951_40261,ASCUS,0.982038,ASCUS,0.99982196,165.842209,526.327026,262.266235,592.023438
41503_55461,ASCUS,0.633315,ASCUS,0.9681208,120.785843,435.936218,222.995743,550.290955
55487_24453,ASCUS,0.007502,HSIL,0.99969673,184.091141,7.217720,260.702698,78.373413
5631_26277,ASCUS,0.246766,ASCUS,0.9973787,194.048401,294.041138,281.952393,372.487305
5631_26277,ASCUS,0.094046,ASCUS,0.9997545,155.255997,175.350937,223.168625,251.353226
5631_26277,ASCUS,0.081987,ASCUS,0.99989974,208.080017,158.141846,278.891785,231.995026
32991_14117,ASCUS,0.007104,LSIL,0.9976636,515.463257,504.470093,585.690552,580.661133
50623_33573,ASCUS,0.855655,ASCUS,0.9982809,286.113953,202.115082,398.287354,368.236908
9279_39045,ASCUS,0.203863,ASCUS,0.9996244,349.412750,349.823730,446.593597,461.760742
34815_25061,LSIL,0.005962,HSIL,0.96794885,1.000000,1.000000,608.000000,481.103638
34815_25061,LSIL,0.115958,HSIL,0.9957975,1.000000,17.376068,436.148132,466.617706
35423_26885,ASCUS,0.006008,ASCUS,0.9998184,345.733917,272.232941,420.137848,343.543488
46367_29925,ASCUS,0.140999,ASCUS,0.67621464,301.903259,296.121643,409.546448,402.384216
46367_29925,ASCUS,0.127875,ASCUS,0.99108607,36.217293,425.439728,134.289581,497.616425
57919_40261,ASCUS,0.245877,ASCUS,0.69438213,284.923401,6.050129,398.713135,86.212509
56703_28709,ASCUS,0.017700,LSIL,0.48373437,319.413605,61.999313,526.214294,202.704117
18399_16549,ASCUS,0.955079,ASCUS,0.95606273,238.327759,304.167908,336.472656,393.135620
32991_26885,HSIL,0.654214,HSIL,0.9895717,502.199768,465.600891,596.145081,584.595886
48799_23845,ASCUS,0.063427,ASCUS,0.99982303,100.144852,158.515732,181.887283,284.543915
48799_23845,LSIL,0.412825,LSIL,0.9995709,123.589272,253.075836,253.249176,382.213715
49407_22021,HSIL,0.916125,HSIL,0.6351628,357.270721,368.596191,518.909729,470.625854
40895_15333,ASCUS,0.418496,ASCUS,0.9999999,377.128540,243.811707,530.314392,342.396912
37247_56069,ASCUS,0.204776,ASCUS,0.9912804,152.217804,167.861221,227.043793,254.206100
37855_47557,ASCUS,0.012200,ASCUS,0.99999166,100.646523,386.419952,198.283020,504.192657
8671_38437,ASCUS,0.097136,ASCUS,0.9942966,398.285156,321.101013,555.543884,473.394836
22047_26885,ASCUS,0.213994,ASCUS,0.99999285,62.490440,320.945679,173.648773,422.157471
31775_40869,ASCUS,0.635747,ASCUS,0.9999877,112.595154,204.915421,232.482239,348.541138
25695_11685,LSIL,0.955918,LSIL,0.9941116,210.768936,161.067932,372.221924,323.860382
50015_26277,ASCUS,0.106425,ASCUS,0.6096313,261.660553,9.697372,339.395844,176.482071
50623_29925,ASCUS,0.061547,ASCUS,0.9673852,213.813324,44.034172,322.607269,137.726898
28735_26277,ASCUS,0.156099,ASCUS,0.96251345,187.202972,386.315430,334.636627,552.674500
24479_23845,ASCUS,0.576280,ASCUS,0.65512407,509.802795,213.283813,575.270813,289.634216
15359_12901,ASCUS,0.009183,HSIL,0.9640421,417.614441,242.921906,521.029663,360.461761
35423_22629,HSIL,0.166724,HSIL,0.92501134,58.230194,521.905884,116.155487,576.751587
37247_53637,ASCUS,0.266328,ASCUS,0.81613415,257.248291,194.488083,358.824890,277.389465
37247_53637,ASCUS,0.273117,ASCUS,0.99162275,187.346527,270.420776,273.977203,343.355347
23263_38437,ASCUS,0.163188,ASCUS,0.9850317,52.629623,47.443871,179.920486,154.287659
37247_35397,ASCUS,0.080883,ASCUS,0.9998436,264.442932,352.080994,385.041931,442.510010
33599_39045,LSIL,0.084541,LSIL,0.9999999,18.935562,1.000000,339.332275,529.427734
33599_39045,LSIL,0.059844,LSIL,0.99999917,28.502869,192.289749,140.675903,297.409058
36031_15941,ASCUS,0.379867,ASCUS,0.97468454,254.346039,406.931458,346.892181,463.166138
36031_15941,ASCUS,0.991652,ASCUS,0.99999976,280.288361,333.911835,357.036224,423.736481
32991_27493,HSIL,0.433229,HSIL,0.898712,236.151001,529.014038,306.104004,587.158447
29343_40869,HSIL,0.098283,HSIL,0.60445875,458.685547,392.839172,507.116150,447.211060
36639_34181,ASCUS,0.094183,ASCUS,0.9971847,181.143784,282.709320,291.201233,385.567963
39679_36613,ASCUS,0.091185,ASCUS,0.94154143,206.774200,542.009705,297.147064,605.864563
39679_36613,ASCUS,0.175259,ASCUS,0.9973502,145.039001,535.976624,203.264954,599.226257
49407_39045,ASCUS,0.009491,LSIL,0.99999964,260.575439,14.080673,357.023804,172.996552
9887_23845,ASCUS,0.081554,ASCUS,0.99999833,212.904724,261.822113,272.143585,356.279022
42111_54853,ASCUS,0.491273,ASCUS,0.99859494,261.249664,345.021393,388.406097,430.611908
54879_32357,ASCUS,0.542883,ASCUS,0.5968033,476.703125,244.722839,572.860840,339.991882
54879_32357,ASCUS,0.350265,ASCUS,0.9788568,248.929306,202.531113,349.373535,282.719238
55487_22629,ASCUS,0.245331,ASCUS,1.0,544.570129,485.944885,602.815613,548.197327
7455_43909,ASCUS,0.174113,ASCUS,0.9984059,193.095459,20.684673,279.587402,98.277618
25087_15333,ASCUS,0.091801,ASCUS,0.9999368,61.331867,210.112854,125.759659,278.119446
22047_33573,ASCUS,0.012864,LSIL,0.97336733,301.644165,56.361816,608.000000,608.000000
32991_45733,HSIL,0.153622,HSIL,0.99986124,516.460571,278.828979,581.151245,335.384644
