x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
27318_51912,HSIL,0.374269,HSIL,0.9899502,47.625412,91.799042,557.658630,608.000000
12118_21512,HSIL,0.163688,HSIL,1.0,78.570816,51.757889,171.772720,101.927673
38870_56168,ASCH,0.010265,HSIL,0.9999962,381.410217,83.178635,559.629822,266.274963
30966_27592,HSIL,0.109448,HSIL,0.9997085,416.186157,17.311447,601.726624,185.683060
30358_44616,LSIL,0.054967,LSIL,0.9778106,83.751312,478.480438,246.722076,608.000000
10294_49480,HSIL,0.057688,HSIL,1.0,280.666473,236.687363,338.422577,300.667603
16982_48872,HSIL,0.133715,HSIL,1.0,91.314728,239.527893,174.642426,300.863953
27318_36104,HSIL,0.079105,HSIL,1.0,242.478165,216.429291,297.387268,258.292786
45558_31240,HSIL,0.559542,HSIL,1.0,202.207672,59.500893,486.197723,277.732788
45558_31240,HSIL,0.070170,HSIL,1.0,86.723190,1.000000,593.921204,319.560059
43734_51912,HSIL,0.077766,HSIL,1.0,386.876282,560.849487,471.363647,601.573242
15766_23336,LSIL,0.066910,LSIL,0.8940604,1.000000,361.187103,245.155899,553.403564
52246_29416,ASCUS,0.064008,ASCUS,0.5076509,142.137650,286.100922,300.661560,460.694000
20630_50696,HSIL,0.334210,HSIL,1.0,480.439056,452.735565,540.049561,497.511627
20630_50696,HSIL,0.089274,HSIL,1.0,50.893402,130.235443,91.877762,170.334595
6646_25768,HSIL,0.988148,HSIL,0.9999995,22.471024,152.516998,210.068878,321.826447
51638_13608,HSIL,0.299200,HSIL,0.97803646,242.118073,268.820618,327.427032,413.102905
7254_37928,LSIL,0.172830,LSIL,0.99735475,296.337463,67.436417,488.715942,299.850464
26710_21512,HSIL,0.954870,HSIL,1.0,370.789673,177.534119,487.675842,312.270020
9078_44616,HSIL,0.476098,HSIL,0.9999927,461.530487,131.481842,588.097595,310.188232
9078_44616,HSIL,0.070359,HSIL,0.9999559,511.086609,47.650707,569.585510,108.041336
29750_56168,HSIL,0.161654,HSIL,0.99783796,479.136414,17.806618,520.216431,105.865562
12726_17864,HSIL,0.010901,HSIL,0.9999993,1.000000,383.085938,608.000000,546.424866
46774_24552,HSIL,0.254930,HSIL,1.0,372.501801,343.272675,436.314911,406.646332
46774_24552,HSIL,0.199554,HSIL,1.0,387.676575,4.866749,454.201965,80.936417
27318_20296,HSIL,0.584880,HSIL,0.99986124,65.298157,503.671295,121.825790,561.998596
27318_20296,HSIL,0.107094,HSIL,1.0,65.490013,482.202484,182.806213,568.941528
22454_26984,HSIL,0.998490,HSIL,0.999985,185.563766,342.203857,335.043823,484.059937
26102_56168,HSIL,0.440345,HSIL,0.9999268,217.571533,108.372620,437.726501,419.219543
26102_48872,HSIL,0.053283,HSIL,0.96521586,153.467422,163.706879,288.776855,324.466644
22454_39752,HSIL,0.142429,HSIL,0.99920017,185.326614,294.866119,275.532806,373.817780
39478_14216,HSIL,0.802774,HSIL,0.9917481,163.573120,18.703171,276.992889,150.451523
39478_14216,HSIL,0.471740,HSIL,0.92304146,206.830780,474.726440,285.137390,558.046021
31574_35496,HSIL,0.110830,HSIL,0.9999999,217.496368,347.127197,269.547760,415.000000
7254_39144,HSIL,0.793997,HSIL,0.9998951,366.691742,202.418167,491.889435,320.087769
54070_35496,HSIL,0.296256,HSIL,1.0,106.811356,36.237984,162.053360,132.099579
10294_35496,ASCH,0.013118,HSIL,0.99999976,40.962124,290.348236,160.839737,425.414581
20022_16648,ASCUS,0.025746,LSIL,0.99999607,209.138351,7.092453,587.579102,475.910645
25494_31848,ASCH,0.046574,HSIL,0.9999981,24.295425,95.202110,114.743210,237.575134
29750_56776,LSIL,0.785246,LSIL,0.99938846,10.758430,357.599670,224.246918,500.135437
46774_44008,LSIL,0.220995,LSIL,0.99780303,266.081238,428.469971,399.396851,524.296814
26102_40360,HSIL,0.728976,HSIL,1.0,94.705399,288.190460,153.177063,331.164154
47990_18472,LSIL,0.012833,HSIL,0.99996245,583.950867,444.913696,608.000000,605.445190
15766_43400,LSIL,0.008485,HSIL,0.99596244,122.812492,2.381012,273.340424,234.784866
14550_41576,HSIL,0.182128,HSIL,0.9977362,261.318146,433.821899,338.736908,507.002380
36438_53128,HSIL,0.665334,HSIL,0.9999988,304.327637,307.117249,358.375549,362.204285
50422_36104,LSIL,0.994455,LSIL,0.99999845,321.552155,302.441040,504.730316,459.521362
50422_36104,LSIL,0.984709,LSIL,1.0,170.521606,286.386047,335.258667,428.977417
50422_36104,LSIL,0.836542,LSIL,1.0,228.463470,237.726379,389.764618,331.271667
50422_36104,LSIL,0.524876,LSIL,0.99991393,314.269043,210.384109,527.930115,328.054169
16982_20296,HSIL,0.055723,HSIL,1.0,390.980286,236.416351,466.993103,299.540680
21846_46440,HSIL,0.027995,HSIL,0.99161524,70.579735,32.397346,323.966705,106.612099
21846_46440,HSIL,0.285242,HSIL,0.99996984,419.913910,136.096466,534.918884,274.525909
21846_46440,HSIL,0.089388,HSIL,1.0,430.591919,247.336456,504.861023,304.867462
27926_17256,HSIL,0.253433,HSIL,1.0,386.132446,352.098297,442.928589,393.778290
10902_21512,ASCH,0.022225,HSIL,0.91321325,312.438965,1.000000,601.694153,533.974487
10902_21512,HSIL,0.493852,HSIL,0.9999927,338.652893,71.520752,577.886414,473.558838
10902_21512,HSIL,0.199187,HSIL,0.99575067,288.233276,1.000000,584.131165,608.000000
20022_16040,LSIL,0.055050,LSIL,0.9999999,283.053986,263.259338,471.560150,555.704590
29142_31240,HSIL,0.266302,HSIL,0.9999999,455.162994,112.972809,527.664734,166.242798
53462_34888,ASCUS,0.031262,HSIL,0.94325167,273.308807,191.270477,456.465424,329.836334
