x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
9487_27742,ASCUS,0.855501,ASCUS,0.99968493,485.447266,121.802185,597.138062,240.561218
9487_27742,ASCUS,0.284609,ASCUS,0.9999304,166.163361,398.515778,275.931580,494.098541
41103_37470,ASCUS,0.273050,ASCUS,0.9339954,257.836029,338.673767,331.675262,424.797180
40495_7070,ASCUS,0.860526,ASCUS,0.9607263,188.887817,45.858658,316.940063,169.990601
46575_14974,ASCUS,0.557658,ASCUS,0.9833112,114.268951,310.624268,278.688904,467.086426
8271_40510,ASCUS,0.956655,ASCUS,0.90992856,243.193665,60.190590,424.498108,204.737122
21647_39294,ASCUS,0.086072,ASCUS,0.99815637,488.551239,459.544159,606.228821,559.358154
13743_32606,ASCUS,0.689883,ASCUS,0.9629034,18.424751,7.418625,257.827515,234.569931
13743_32606,ASCUS,0.995541,ASCUS,0.999816,427.255127,72.060303,510.162842,242.903320
19215_17406,ASCUS,0.989527,ASCUS,0.98868257,280.279358,113.958458,402.272095,233.856873
39887_19230,ASCUS,0.796096,ASCUS,0.99650025,487.580170,161.475204,608.000000,282.262604
47183_13758,ASCUS,0.938155,ASCUS,0.9999852,86.123558,468.964539,182.847534,608.000000
49007_31998,ASCUS,0.012112,ASCUS,0.99907815,585.614929,235.947113,608.000000,366.804169
14959_41726,ASCUS,0.081382,ASCUS,0.6430636,526.435669,445.686218,572.187378,488.528625
33807_45982,ASCUS,0.786486,ASCUS,0.9977475,6.014881,413.562988,132.493729,507.687561
41711_28958,ASCUS,0.977699,ASCUS,0.9916647,424.846008,469.915100,499.519348,595.862732
40495_11934,ASCUS,0.998457,ASCUS,0.9679994,255.023178,182.288925,523.916870,274.528931
40495_11934,ASCUS,0.099505,ASCUS,0.60201466,171.318573,162.025543,608.000000,284.334656
30767_41726,ASCUS,0.497874,ASCUS,0.98021245,343.390747,313.519836,547.951294,433.262512
30767_41726,ASCUS,0.005083,HSIL,0.95786804,89.704338,136.731903,142.152878,208.596466
36239_31998,ASCUS,0.010625,ASCUS,0.99977094,200.516693,262.780365,456.688080,520.629517
2799_22270,ASCUS,0.995937,ASCUS,0.9973635,346.402832,301.057251,479.020813,416.435059
