x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
28936_31549,LSIL,0.584555,LSIL,0.99987507,390.437500,30.038940,561.358887,339.931824
58728_3581,ASCUS,0.027688,LSIL,0.8612973,141.911407,269.162567,331.258087,412.197540
58728_3581,LSIL,0.118764,LSIL,0.99705756,199.303741,198.564850,353.574554,292.688171
41096_46749,ASCUS,0.190257,ASCUS,0.5669731,190.133987,7.639961,297.954529,98.839569
41096_46749,ASCUS,0.006719,LSIL,0.86971426,44.345917,51.150887,608.000000,304.379578
30152_49789,ASCUS,0.046946,ASCUS,0.9939231,316.882324,40.536285,533.593689,263.190765
30152_49789,ASCUS,0.010163,LSIL,0.9998374,25.303123,114.271957,185.883667,413.838196
14952_7229,LSIL,0.831429,LSIL,0.79852337,196.975128,105.263947,358.343842,289.601990
15560_63165,ASCUS,0.049993,ASCUS,0.9158491,90.936569,355.251038,287.595154,472.211853
15560_63165,ASCUS,0.096378,LSIL,0.9385173,440.860565,506.441589,544.722656,607.189392
33192_31549,ASCUS,0.948719,ASCUS,0.66548973,443.822754,209.643814,589.422852,309.549683
11912_41885,LSIL,0.264154,LSIL,0.99993074,234.408661,119.761383,365.474152,290.244019
4008_26077,LSIL,0.175903,LSIL,0.91737866,216.042206,16.117691,400.619598,185.995392
4008_26077,LSIL,0.115061,LSIL,0.68452764,265.690247,72.842865,431.590698,225.094330
4616_52829,LSIL,0.768018,LSIL,1.0,154.558624,497.880981,282.769775,608.000000
49608_29725,ASCUS,0.025005,LSIL,0.99192506,406.502716,137.196304,595.449158,273.080017
41704_39453,ASCUS,0.008544,LSIL,0.7581509,214.018829,71.571136,323.996674,209.671783
21640_17565,ASCUS,0.006405,LSIL,0.8122682,355.603912,464.944611,534.068359,521.380310
55080_46749,ASCUS,0.291531,LSIL,0.8805647,382.300262,522.027832,522.985718,606.140991
59336_35805,ASCUS,0.010086,LSIL,0.92908084,103.772903,400.215179,288.336548,569.894226
59336_35805,LSIL,0.841190,LSIL,0.99270916,94.765884,398.016815,283.728088,571.896851
41096_40669,ASCUS,0.031311,LSIL,0.893766,1.000000,110.368378,608.000000,432.739777
41096_40669,LSIL,0.898601,LSIL,0.8324866,1.000000,180.839371,608.000000,425.072266
