x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
35831_34313,ASCUS,0.815579,ASCUS,0.8285324,327.200470,73.811279,415.946136,177.465271
44951_23369,ASCH,0.100235,ASCH,0.9455404,245.334808,96.144707,440.921234,336.006348
26711_23369,ASCUS,0.998910,ASCUS,0.9997609,172.337891,86.087318,283.834442,226.427277
18807_39785,ASCUS,0.433562,ASCUS,0.99999225,324.529297,259.687897,420.710571,322.909393
9687_23977,ASCUS,0.174369,ASCUS,0.5960994,49.820030,539.768677,123.299400,608.000000
32791_14249,ASCUS,0.105331,ASCUS,0.99998736,287.941986,298.481659,394.762543,415.794647
46167_23977,ASCUS,0.072225,ASCUS,0.9999989,459.278107,15.875923,528.245483,106.627968
22455_13033,ASCUS,0.060893,ASCUS,0.9841241,370.905640,60.619389,458.281494,121.375854
21239_40393,ASCUS,0.227970,ASCUS,0.7299042,19.090508,234.755188,166.551758,400.448181
21847_33705,ASCUS,0.230036,ASCUS,0.99999976,259.518890,22.107693,372.662079,147.746277
21847_33705,ASCUS,0.123817,ASCUS,0.67179507,363.621826,9.942451,608.000000,204.038300
20023_39785,ASCUS,0.338765,ASCUS,0.9998093,283.024231,361.930359,398.818054,496.409302
17591_41001,ASCUS,0.821140,ASCUS,0.837185,319.574402,301.305603,396.139465,380.886719
17591_41001,ASCUS,0.066413,ASCUS,0.8193025,150.488724,434.335938,241.512894,504.699463
13943_28233,ASCUS,0.980080,ASCUS,0.99080503,63.701096,126.164734,249.050552,283.349335
40695_18505,ASCUS,0.094541,ASCUS,0.9971661,497.632233,453.347412,586.159973,519.260559
12119_34313,ASCUS,0.757299,ASCUS,0.9993079,204.191422,469.867889,350.393555,548.964355
12119_34313,ASCUS,0.532395,ASCUS,0.82175875,5.770260,91.284027,80.940338,172.983032
12119_34313,ASCUS,0.345115,ASCUS,0.9968528,266.000946,512.067139,351.514191,572.863892
29751_24585,ASCUS,0.053836,ASCUS,0.9998467,239.191101,462.870544,363.002380,604.824646
24887_11817,ASCUS,0.030034,ASCUS,0.9955024,63.579674,493.465363,124.871010,588.768555
12119_37961,ASCUS,0.352226,ASCUS,0.99985254,308.786255,423.937439,391.353516,529.292419
38263_39177,ASCH,0.967034,ASCH,0.89743304,52.904259,375.222595,250.367706,605.372253
41303_17897,ASCUS,0.049955,ASCUS,0.9240748,5.849298,404.197754,53.015732,469.330750
