x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
44144_25297,ASCH,0.015837,HSIL,0.7789154,363.889587,384.603210,428.696167,470.308350
37456_34417,ASCH,0.057505,ASCH,0.9998455,424.648468,69.264252,608.000000,608.000000
46576_37457,ASCH,0.989436,ASCH,0.5330908,18.437943,233.429413,224.792633,556.968750
21040_13745,ASCUS,0.006402,ASCH,0.975896,516.229065,541.878113,595.827332,589.500793
21040_13745,ASCH,0.972250,HSIL,0.895043,99.955322,244.673737,391.788239,418.282196
15568_19217,ASCUS,0.188452,ASCUS,0.9999194,121.476128,325.203156,239.613129,420.398468
15568_19217,ASCUS,0.038892,ASCH,0.6878118,467.334778,110.783669,568.114319,200.843628
15568_19217,ASCUS,0.009214,ASCH,0.9773522,376.815674,30.614435,499.387024,89.289841
39888_33809,HSIL,0.096825,HSIL,0.9999989,399.750488,48.963600,457.399658,116.887886
10096_32593,ASCH,0.085905,ASCH,0.95568365,451.925842,1.000000,551.450989,117.216141
43536_37457,ASCUS,0.074487,ASCUS,0.9937552,350.242188,294.249969,459.384583,386.286407
10704_25905,ASCH,0.052178,ASCH,0.9431399,132.549561,252.983734,340.927673,364.549774
41712_33809,ASCH,0.070191,ASCH,0.99781847,1.000000,380.188019,77.047417,510.270111
25904_38673,HSIL,0.234318,HSIL,0.9991391,195.604462,358.770020,281.176971,431.314392
11920_33809,ASCUS,0.034111,ASCH,0.9994999,242.851501,387.609467,408.418823,595.389526
13136_20433,ASCUS,0.005981,ASCH,0.99872726,42.498856,273.913208,210.798584,459.472900
27728_46577,ASCUS,0.620351,ASCUS,0.99980384,486.342865,4.056660,567.461731,86.750275
20432_19217,ASCUS,0.011091,HSIL,0.8534218,531.019531,304.213776,597.675415,443.764008
24080_7665,ASCUS,0.007389,ASCH,0.718731,318.826508,110.871155,409.622650,217.368103
36848_18001,ASCH,0.068528,ASCH,0.89702016,499.298096,128.203659,608.000000,296.026367
35632_45361,ASCH,0.680585,ASCH,0.9993556,207.089264,135.228928,477.887970,329.885071
42928_39889,ASCUS,0.255562,ASCUS,0.999044,422.026825,274.382355,516.994263,406.289032
42928_39889,ASCUS,0.013881,ASCH,0.9999993,417.674957,349.765472,488.732941,409.646820
42928_39889,ASCH,0.996796,ASCH,1.0,60.285484,1.000000,237.498871,432.151672
10704_35025,ASCUS,0.084961,ASCUS,0.9999957,325.382721,325.489990,385.074982,438.707581
36240_41105,ASCUS,0.470695,ASCUS,0.94693494,473.638275,473.546448,607.244263,563.479187
36240_41105,ASCUS,0.359424,ASCUS,0.94871455,270.871490,475.694183,393.090790,608.000000
35024_19217,ASCUS,0.005734,ASCH,0.96803635,136.216507,300.726624,458.707886,477.466248
15568_41105,ASCUS,0.026936,ASCH,1.0,159.136719,347.129608,303.115601,506.404633
15568_41105,ASCH,0.963469,ASCH,0.9691159,170.803391,333.659302,302.872742,508.954285
41712_31377,ASCUS,0.005379,ASCH,0.9636736,519.053528,40.832386,564.428650,113.369324
26512_20433,ASCH,0.914966,ASCH,0.9999949,288.143982,70.117386,467.523926,432.687927
9488_27729,ASCH,0.995030,ASCH,0.9997106,1.000000,45.483383,139.635742,154.783035
35024_18609,ASCUS,0.013804,ASCH,0.99087256,233.035522,323.805695,385.488525,448.769684
16176_40497,ASCUS,0.160105,ASCUS,0.9980678,43.513641,15.476654,128.005524,91.199997
14960_39281,ASCUS,0.064281,ASCUS,0.99999774,222.733780,268.637573,297.100525,379.938232
32592_41105,ASCH,0.014688,ASCH,0.9972161,184.176788,136.816986,227.501495,161.205750
49616_33809,ASCUS,0.006000,ASCH,0.9999957,241.554245,388.553833,310.223480,468.027405
25296_44753,ASCUS,0.193989,ASCUS,0.9976788,122.988953,242.084656,224.053864,328.752625
25296_44753,ASCH,0.157046,ASCH,0.9998846,30.738445,76.016663,124.412399,188.975098
8272_28945,ASCUS,0.993915,ASCUS,0.9506271,264.065460,254.317444,431.676544,381.096008
41712_24689,ASCUS,0.046283,ASCH,1.0,187.976501,245.622711,316.996582,594.685913
41712_24689,ASCH,0.989029,ASCH,0.99997437,159.292114,293.454834,364.721069,529.282104
43536_19217,ASCUS,0.098271,ASCH,0.8387861,139.718842,59.656952,529.090088,496.578217
