x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
41913_7780,HSIL,0.769684,HSIL,0.998488,472.552765,336.924164,561.245361,456.928680
41913_7780,HSIL,0.078877,HSIL,0.953431,376.239349,60.440155,464.361908,174.429169
40697_8996,HSIL,0.254945,HSIL,0.999999,256.312805,56.868668,488.882935,192.742706
40697_8996,HSIL,0.139647,HSIL,0.987272,40.512100,344.639130,100.058609,433.578278
40697_8996,HSIL,0.116710,HSIL,0.999858,353.339294,74.302078,488.476013,160.066284
40697_8996,HSIL,0.053814,HSIL,0.990812,212.309845,50.795059,275.502777,106.103958
40697_8996,HSIL,0.050512,HSIL,0.973664,572.658936,40.830841,603.849976,80.752579
52857_18724,ASCH,0.005492,HSIL,1.0,70.060883,330.150208,119.380539,379.523254
49209_17508,ASCH,0.008295,HSIL,0.928336,243.530243,353.899414,391.460602,396.496033
13337_25412,ASCUS,0.031315,HSIL,0.999862,516.548706,488.526703,579.088989,545.560669
13337_25412,HSIL,0.304478,HSIL,0.999693,129.533585,406.574615,247.717697,452.281464
13337_25412,HSIL,0.079871,HSIL,0.999794,222.894104,11.840363,316.218079,77.983810
39481_50340,ASCH,0.031249,HSIL,0.997242,201.365601,397.283325,254.552917,444.703369
39481_50340,HSIL,0.818179,HSIL,1.0,184.596207,234.136002,254.658737,322.305603
39481_50340,HSIL,0.391504,HSIL,0.996563,82.529724,512.419312,153.853928,572.126587
39481_50340,HSIL,0.254803,HSIL,0.999728,84.101143,41.408226,166.482117,97.507698
39481_50340,HSIL,0.103458,HSIL,0.919672,152.153793,511.952332,197.296951,567.201477
39481_50340,HSIL,0.075866,HSIL,1.0,201.365601,397.283325,254.552917,444.703369
39481_50340,HSIL,0.059652,HSIL,0.999138,91.964249,447.853668,205.162125,586.366333
39481_50340,HSIL,0.059411,HSIL,0.999446,498.568848,525.237183,550.310425,604.393555
6649_40004,HSIL,0.134335,HSIL,0.985175,265.287292,145.121475,366.532410,230.780350
6649_40004,HSIL,0.069636,HSIL,0.999788,246.182007,305.442261,310.623413,357.030396
41913_10820,ASCUS,0.044905,HSIL,0.937116,69.437912,568.803894,149.496964,608.000000
41913_10820,HSIL,0.159007,HSIL,0.995237,57.648590,5.701710,208.095947,102.344589
41913_10820,HSIL,0.154705,HSIL,0.999895,545.434631,465.063293,603.281189,519.383423
41305_43044,ASCH,0.009358,HSIL,0.996186,467.804718,127.869781,531.120728,190.703918
41305_43044,HSIL,0.814823,HSIL,0.999759,466.746155,131.200439,532.003052,194.602997
41305_43044,HSIL,0.283323,HSIL,0.990715,64.540619,495.784210,108.827148,536.760254
41305_43044,HSIL,0.101444,HSIL,0.99578,65.905350,533.556702,108.926163,583.304749
49817_40612,HSIL,0.217585,HSIL,0.999434,359.297241,46.438789,432.623901,95.306328
49817_40612,HSIL,0.157948,HSIL,0.998846,177.382965,383.394287,280.908630,440.600647
49817_40612,HSIL,0.100873,HSIL,0.999895,457.070923,95.675423,529.441284,153.659637
49817_40612,HSIL,0.075152,HSIL,0.998487,237.308517,46.731533,285.467834,108.414108
49817_40612,HSIL,0.068307,HSIL,0.842578,235.546432,383.191010,270.997833,410.631195
49817_40612,HSIL,0.065711,HSIL,0.937439,268.164612,195.436768,383.227661,309.456726
28537_49732,HSIL,0.279947,HSIL,0.660288,530.237061,30.569904,582.524414,89.431900
40089_50340,HSIL,0.686225,HSIL,0.998433,403.789154,53.219093,470.551117,150.050812
40089_50340,HSIL,0.238506,HSIL,0.958217,164.350266,313.347687,211.427261,369.234344
40089_50340,HSIL,0.227028,HSIL,0.99324,245.658127,375.964325,355.560181,464.845123
30361_25412,ASCH,0.633388,ASCH,0.92399,182.134430,1.000000,374.864471,465.846375
30361_25412,ASCH,0.166154,ASCH,0.517729,1.000000,22.774765,560.735168,446.445557
12121_15684,HSIL,0.983562,HSIL,0.990576,324.996704,19.401169,500.260071,150.065674
34009_22372,ASCUS,0.040583,LSIL,0.875438,30.658104,39.875305,124.600288,96.208527
7865_17508,ASCH,0.010722,HSIL,0.999911,116.129509,447.548340,168.951721,507.189575
7865_17508,HSIL,0.893376,HSIL,1.0,136.392303,29.301361,301.922852,336.470947
18809_32100,LSIL,0.006788,HSIL,0.528281,258.111359,67.617706,466.457245,428.144623
5433_32100,HSIL,0.005066,HSIL,0.985169,306.547882,14.987518,456.116608,90.618057
5433_32100,HSIL,0.712770,HSIL,0.99998,238.670288,144.947784,544.653198,324.586731
5433_32100,HSIL,0.152087,HSIL,0.999982,399.401154,73.226997,458.795135,143.503143
28537_6564,ASCUS,0.017203,ASCH,0.999574,11.744583,6.374802,98.845779,120.150940
28537_6564,ASCH,0.010880,HSIL,0.958935,480.038574,186.138184,602.045044,383.603760
49209_32708,HSIL,0.083795,HSIL,0.99846,63.629395,354.688416,186.088669,455.836121
54073_26628,ASCH,0.030809,HSIL,0.657664,130.055069,120.890762,181.551071,190.527786
54073_26628,HSIL,0.267945,HSIL,0.999888,230.983749,305.524872,277.839569,374.638885
54073_26628,HSIL,0.182040,HSIL,0.996918,216.227783,243.310440,259.974213,291.059723
15161_23588,ASCH,0.021291,HSIL,0.985896,346.171356,69.876083,396.829254,117.123047
33401_47300,HSIL,0.285935,HSIL,0.99992,125.527740,159.004684,203.831909,207.235550
33401_47300,HSIL,0.084134,HSIL,0.984724,324.136230,121.601669,393.977600,190.987717
26713_30276,HSIL,0.182002,HSIL,0.982493,64.534012,455.941528,167.621078,563.802063
26713_30276,HSIL,0.066676,HSIL,0.993485,63.193340,473.057007,103.839859,545.846313
9081_30276,HSIL,0.230352,HSIL,0.924264,90.380630,516.258545,141.711182,566.251221
9081_30276,HSIL,0.051421,HSIL,0.963399,387.160675,159.990036,503.491852,250.656143
32793_49732,ASCH,0.009597,HSIL,0.992329,395.095978,191.583221,495.780670,295.920532
32793_49732,HSIL,0.639987,HSIL,0.61519,260.170227,197.362900,374.766968,277.037445
32793_49732,HSIL,0.182609,HSIL,0.699772,479.523773,289.746521,586.291748,409.973145
32793_49732,HSIL,0.130838,HSIL,0.999858,395.095978,191.583221,495.780670,295.920532
23673_16292,LSIL,0.027334,HSIL,0.668168,296.670105,78.129601,417.213806,174.732330
23673_16292,ASCH,0.005968,HSIL,0.999793,400.396362,514.942505,522.307739,608.000000
29145_40612,HSIL,0.381244,HSIL,0.999603,211.898895,259.128662,279.827026,324.021484
29145_40612,HSIL,0.277651,HSIL,0.999826,304.479401,115.905197,357.548004,169.934494
29145_40612,HSIL,0.136775,HSIL,0.997775,143.257721,343.079041,201.767609,400.544617
38265_41828,HSIL,0.281113,HSIL,0.997816,31.872757,22.578962,93.046211,65.357025
38265_41828,HSIL,0.066300,HSIL,0.996355,34.460606,16.574474,135.350952,105.489365
51641_18116,ASCH,0.132732,HSIL,0.992079,63.544460,37.050171,120.820877,100.886826
49817_41220,ASCH,0.037606,HSIL,0.999365,206.851746,179.690826,394.253845,309.779144
49817_41220,ASCH,0.005435,HSIL,0.807109,108.441238,447.057251,205.898972,507.784241
32185_40004,ASCH,0.032856,HSIL,0.998429,544.371277,97.012146,601.521057,168.929871
25497_53380,ASCH,0.086873,HSIL,0.998469,14.422928,370.611938,155.475327,534.922546
29145_17508,ASCH,0.009168,HSIL,0.999996,262.922333,252.368668,327.153046,334.544128
40697_50340,ASCH,0.009851,HSIL,0.99934,35.950333,380.658997,82.253754,428.973511
40697_50340,HSIL,0.597773,HSIL,0.996865,408.348022,371.258392,467.238220,438.084259
40697_50340,HSIL,0.185825,HSIL,0.999939,35.950333,380.658997,82.253754,428.973511
40697_50340,HSIL,0.147975,HSIL,0.999924,533.584717,413.510590,584.961182,462.193390
10905_15684,ASCH,0.011541,HSIL,0.998687,111.336342,485.732086,251.033325,597.646606
10905_15684,ASCH,0.336809,HSIL,0.494243,39.199310,460.180023,86.222931,524.722717
10905_15684,ASCH,0.030218,HSIL,0.999455,1.000000,503.338776,56.676003,560.640991
10905_15684,HSIL,0.159797,HSIL,1.0,111.336342,485.732086,251.033325,597.646606
10905_15684,HSIL,0.147431,HSIL,0.999982,39.199310,460.180023,86.222931,524.722717
5433_20548,LSIL,0.007509,HSIL,0.990942,13.597290,5.062807,76.539536,54.126328
5433_20548,HSIL,0.171531,HSIL,0.999993,397.094879,356.229248,509.442108,453.516357
5433_20548,HSIL,0.091753,HSIL,0.999806,3.088245,486.789124,53.468784,535.861084
32185_15684,ASCH,0.007395,HSIL,0.999445,300.051361,504.839874,412.554962,608.000000
32185_15684,HSIL,0.722492,HSIL,0.999999,185.969147,99.794373,241.958344,164.867828
32185_15684,HSIL,0.679102,HSIL,0.99963,435.771484,443.200562,519.668701,496.797791
32185_15684,HSIL,0.568135,HSIL,0.994686,381.465424,479.515137,431.380463,553.980713
