x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
47585_47806,HSIL,0.007390,SCC,0.9979943,362.769012,270.723877,479.441437,345.265503
31777_44766,LSIL,0.799302,LSIL,1.0,2.822304,88.103195,118.142342,314.736328
15969_32606,LSIL,0.533476,LSIL,0.9992939,359.970032,309.067505,545.303101,453.451904
15969_32606,LSIL,0.083553,LSIL,0.9999554,244.790161,303.502686,389.280151,473.761169
15969_32606,LSIL,0.051885,LSIL,0.9991566,174.230957,230.755783,283.768005,371.563599
42113_36862,ASCUS,0.618677,ASCUS,0.9701127,152.138123,28.731941,272.673492,173.288666
57313_30174,ASCUS,0.089549,ASCUS,0.97505796,333.319336,64.949783,413.530518,138.008621
41505_47198,LSIL,0.137092,LSIL,0.9964874,311.158234,393.107239,434.247406,514.083862
53665_34430,ASCUS,0.014744,LSIL,0.99675566,1.000000,1.000000,608.000000,501.745483
23265_35646,ASCUS,0.006162,LSIL,0.9972817,435.093170,517.872803,519.595825,596.976929
27521_19838,LSIL,0.993281,LSIL,0.9464297,119.772263,152.555893,378.970764,408.973877
14145_24094,ASCUS,0.381770,ASCUS,0.87601906,522.928223,300.279083,608.000000,415.354034
39073_35646,LSIL,0.705295,LSIL,0.7526484,307.845215,165.561920,454.367004,325.579102
20225_39902,ASCUS,0.330167,ASCUS,0.9986191,38.879517,49.038223,227.313934,218.911392
30561_41118,ASCUS,0.007765,LSIL,0.94753385,346.044983,342.771820,477.104004,450.348907
17793_39294,ASCUS,0.048812,HSIL,0.9914689,344.858765,235.306763,417.430420,303.681824
49409_23486,ASCUS,0.242664,ASCUS,0.99586934,146.591675,281.638672,343.884460,419.228516
37249_45374,LSIL,0.091428,LSIL,0.933889,426.300018,132.815826,558.579712,229.324066
45153_26526,ASCH,0.018755,HSIL,0.97724915,103.740089,109.716751,266.796600,388.148315
44545_10110,ASCUS,0.019060,LSIL,0.997621,411.472046,166.261261,557.287537,340.769165
50625_34430,LSIL,0.056169,LSIL,0.9999534,480.296844,11.927071,602.796936,142.890717
48801_28350,ASCUS,0.007432,LSIL,0.74807316,19.493942,31.584091,462.394775,390.124207
14753_34430,ASCUS,0.171882,ASCUS,0.9584644,66.350159,450.853271,230.724670,596.850586
19617_29566,LSIL,0.602926,LSIL,0.9986966,256.060394,342.575989,362.136261,514.705505
22049_41118,LSIL,0.309420,LSIL,0.9973074,371.308289,191.582794,503.468811,283.125366
38465_20446,ASCUS,0.021694,LSIL,0.98892295,113.008812,86.652809,344.965302,211.081665
57921_14974,ASCUS,0.009422,LSIL,0.97273815,133.267517,15.612320,307.510986,229.180893
54881_35038,LSIL,0.167924,LSIL,0.5547527,436.272888,409.333923,567.026855,543.814148
17793_45374,HSIL,0.780483,HSIL,0.99677914,59.171478,40.516052,560.368408,432.464661
45761_31390,LSIL,0.838153,LSIL,0.95318776,321.929535,9.408081,424.414459,177.583969
41505_44766,LSIL,0.095616,LSIL,1.0,487.622528,88.468536,608.000000,241.880005
48193_36254,LSIL,0.113782,LSIL,0.9987011,456.306885,85.518677,542.945374,144.575241
48193_7070,LSIL,0.129364,LSIL,0.9999716,397.755157,284.262268,549.551270,568.061035
37249_41726,LSIL,0.664693,LSIL,1.0,400.731018,441.617157,585.509094,608.000000
32385_39294,ASCUS,0.013619,LSIL,0.9940041,351.275085,242.135864,522.727478,409.847961
37249_2814,ASCUS,0.044047,LSIL,0.9859444,4.645836,79.528137,171.837463,384.826141
59137_17406,ASCUS,0.033883,LSIL,0.94934833,236.585892,434.595276,509.646667,537.947937
54273_28958,LSIL,0.200837,LSIL,0.9138185,455.436523,238.912292,594.591187,331.410400
57921_16190,ASCUS,0.587879,ASCUS,0.89667857,454.390228,287.627075,608.000000,458.572205
54881_12542,ASCUS,0.007276,LSIL,1.0,160.168854,396.201599,339.576019,608.000000
49409_19230,ASCUS,0.063962,ASCUS,0.6402256,98.073044,248.424896,265.539124,505.416412
25089_12542,ASCUS,0.006154,LSIL,0.532277,354.591217,184.075485,406.522552,292.507751
45153_47198,ASCUS,0.013620,LSIL,0.92379516,563.501892,201.240479,608.000000,383.808777
45153_47198,LSIL,0.814136,LSIL,0.8172196,1.000000,273.249207,147.088379,577.195679
35425_52062,LSIL,0.616942,LSIL,0.9883922,175.317001,79.503876,481.172852,232.283264
35425_52062,LSIL,0.063391,LSIL,0.99969184,60.573082,135.433624,188.734558,211.333588
50017_21054,LSIL,0.210767,LSIL,0.99997604,413.334290,440.145447,588.291138,608.000000
39681_49630,LSIL,0.055467,LSIL,0.8210322,61.738251,168.611725,173.024719,321.798462
29345_48414,LSIL,0.128005,LSIL,0.9997353,429.905579,342.859772,557.108276,466.964264
40289_45982,ASCUS,0.005591,LSIL,0.9974425,455.782104,37.968246,529.545166,97.076538
32385_50846,ASCUS,0.007864,LSIL,0.99308586,19.627861,451.906250,151.620026,565.268127
25089_8286,LSIL,0.062760,LSIL,0.8276688,311.999939,33.810120,434.494690,151.310654
29345_39294,ASCUS,0.028022,LSIL,0.9796622,476.844727,150.219391,558.331299,214.472321
36033_4030,LSIL,0.060734,LSIL,0.5028192,1.000000,1.000000,608.000000,608.000000
32993_32606,ASCH,0.041482,HSIL,0.71199054,1.000000,170.837906,607.004333,564.626221
25089_13758,ASCUS,0.039047,LSIL,0.99993706,155.277283,30.889816,400.669983,347.549988
23873_31998,LSIL,0.070216,LSIL,0.9907684,4.337635,319.007446,84.920242,395.824158
39073_50238,ASCUS,0.019615,LSIL,0.9995509,463.751526,43.336021,572.868713,171.419281
45153_49022,LSIL,0.890069,LSIL,0.99993694,115.568718,222.590271,232.203552,332.709595
37249_45982,ASCUS,0.880357,ASCUS,0.5110245,148.066437,428.161469,265.580597,527.946899
37249_45982,LSIL,0.182454,LSIL,0.8661923,152.819046,423.994385,270.559814,532.072083
18401_46590,ASCUS,0.032956,LSIL,0.7465955,276.372803,378.437775,405.086548,513.532349
29345_4638,LSIL,0.988966,LSIL,1.0,54.045135,7.401276,178.283997,144.862930
53057_17406,LSIL,0.190316,LSIL,0.96509737,396.634216,77.860184,496.033630,173.486130
25089_42942,LSIL,0.154364,LSIL,0.99600345,485.845917,231.352844,594.925842,369.232422
59745_33822,ASCUS,0.220319,ASCUS,0.989609,12.951317,12.887421,157.567383,189.785110
50625_44766,LSIL,0.975097,LSIL,0.99999535,380.368591,418.976746,544.222900,583.194885
50625_40510,LSIL,0.847646,LSIL,0.9999808,304.711334,180.005447,426.424164,326.296448
27521_7678,ASCUS,0.340647,ASCUS,0.66565675,177.231323,505.338043,279.302856,597.021362
51233_45374,ASCUS,0.005377,LSIL,0.9321383,312.437225,452.040680,358.016876,515.609863
34817_35038,ASCUS,0.009419,LSIL,0.99738115,73.108292,171.527176,206.294785,287.624908
40289_30174,ASCUS,0.938876,ASCUS,0.9191056,163.359436,72.640884,232.930450,241.395248
15361_37470,ASCUS,0.061692,ASCUS,0.76797724,28.586403,303.583466,173.560516,394.702667
57921_21054,LSIL,0.927934,LSIL,0.9521504,403.250122,500.254822,549.748230,595.433777
38465_18622,ASCUS,0.008608,LSIL,0.9988187,330.646149,224.173187,495.422882,408.623810
38465_18622,LSIL,0.711962,LSIL,0.9925212,332.050537,217.573303,494.438354,400.696289
43937_46590,ASCH,0.016916,HSIL,0.98463386,1.000000,1.000000,400.252625,608.000000
48801_28958,LSIL,0.169399,LSIL,0.9996474,140.616760,30.183556,301.994995,187.590881
9889_32606,ASCUS,0.030002,ASCUS,0.99880207,112.379677,209.622147,320.614288,606.971313
20225_24094,ASCUS,0.023051,ASCUS,0.6216385,32.297470,325.769897,88.732834,389.761841
42721_8894,ASCUS,0.427305,ASCUS,0.836143,281.774506,426.502808,478.933136,608.000000
42721_8894,LSIL,0.814376,LSIL,0.7438081,265.413452,424.217285,511.767822,608.000000
46977_21054,LSIL,0.494964,LSIL,0.99605954,1.000000,395.517700,91.215393,542.660767
27521_18014,ASCUS,0.075629,ASCUS,0.95819795,61.571907,51.929131,171.372559,198.560883
47585_33214,ASCUS,0.012061,LSIL,0.97263014,295.376526,269.942017,403.809998,366.520569
15361_36254,ASCUS,0.912317,ASCUS,0.54393476,67.624252,478.367706,167.346603,601.298584
53665_38078,ASCUS,0.016951,LSIL,0.5848466,9.966560,527.978821,145.071106,600.958923
23873_34430,LSIL,0.057617,LSIL,0.9882415,267.719299,535.082764,399.245300,608.000000
28129_35038,ASCUS,0.016250,LSIL,0.8030529,230.600830,1.000000,403.066589,138.844025
35425_39902,LSIL,0.416413,LSIL,0.76627517,199.012390,36.036186,336.291748,130.049164
45761_8894,ASCUS,0.017337,LSIL,0.9999975,119.113281,324.858093,224.973663,424.119934
15361_18014,ASCUS,0.015116,LSIL,0.96342665,473.973755,97.576149,608.000000,232.085114
15361_18014,LSIL,0.118866,LSIL,0.9868081,392.182861,169.647049,578.607117,319.397644
58529_25310,LSIL,0.986411,LSIL,0.523645,35.755302,157.262512,181.415802,333.657715
20833_46590,ASCUS,0.010662,LSIL,0.9317223,176.861893,237.659302,294.257812,363.692627
42113_15582,LSIL,0.884534,LSIL,0.8082252,242.726318,144.315338,359.990967,263.395630
24481_13150,ASCUS,0.060673,ASCUS,0.62982225,485.961670,65.233597,550.603394,152.194214
22049_16190,LSIL,0.998418,LSIL,0.9997008,105.760948,225.449097,318.934021,374.679749
23873_38078,LSIL,0.099379,LSIL,0.77290374,22.358025,456.550476,163.667999,608.000000
30561_48414,LSIL,0.993623,LSIL,1.0,420.506958,232.953430,566.262268,399.822510
27521_16798,LSIL,0.076650,LSIL,0.91097,1.000000,70.887177,80.311722,178.305847
34209_35646,ASCUS,0.195742,ASCUS,0.63113415,2.633545,451.577667,117.721039,582.352539
55489_33822,ASCUS,0.046650,LSIL,0.5278653,432.609802,214.731247,521.299316,339.158691
50625_23486,LSIL,0.345714,LSIL,0.9999999,1.000000,3.178833,608.000000,607.361267
42721_5246,ASCUS,0.025022,LSIL,0.9683828,38.394894,399.248932,130.490692,505.444794
14753_19838,ASCUS,0.018074,LSIL,0.99286216,1.000000,438.454498,119.082077,594.099365
54881_27742,ASCH,0.075349,HSIL,0.7668444,166.046341,30.098846,569.401245,608.000000
25089_31998,ASCUS,0.006124,LSIL,0.99986815,107.190186,228.213013,414.641052,427.784912
37857_7070,HSIL,0.119122,HSIL,0.9880316,112.205307,456.161926,140.526077,496.519165
18401_44158,ASCUS,0.063305,LSIL,0.9488297,44.172695,7.748505,112.952866,79.811333
9889_24094,LSIL,0.069697,LSIL,0.99666166,157.606400,455.724609,267.696625,544.072327
34209_19230,LSIL,0.063086,LSIL,0.9875542,420.291351,227.624634,562.000610,387.924011
