x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
18508_43435,ASCUS,0.206217,ASCUS,0.9799753,291.306885,523.199280,354.518188,593.558167
42220_30059,ASCUS,0.181365,ASCUS,0.7342812,6.027615,427.690765,52.980766,526.262390
33100_14859,ASCUS,0.149974,ASCUS,0.6545419,347.359009,415.489227,397.506470,458.921906
33100_14859,ASCH,0.142961,ASCH,0.9894421,347.359009,415.489227,397.506470,458.921906
31276_3915,ASCUS,0.274124,LSIL,0.9993617,465.391541,126.732323,584.422791,267.366150
28844_39787,ASCH,0.006011,HSIL,0.99875045,283.353912,178.957520,318.859406,233.242096
17900_13643,ASCUS,0.230544,ASCUS,0.99994314,477.225922,397.717529,574.638611,509.688843
18508_27019,ASCUS,0.099696,ASCUS,0.70730376,534.710266,397.695770,597.018860,460.691559
11212_37963,ASCUS,0.096049,ASCUS,0.9643097,439.153198,451.476044,579.444946,583.454956
41612_39179,ASCUS,0.083830,ASCUS,0.9937079,168.222015,38.019970,321.593628,116.215378
24588_31883,LSIL,0.969919,LSIL,0.99992454,388.183685,415.848816,565.971191,582.319580
23372_16683,ASCUS,0.008938,HSIL,0.9991635,4.257219,502.811401,33.735847,534.846313
33708_25195,LSIL,0.779537,LSIL,0.9968742,122.756363,435.137238,224.684372,565.185669
33708_31883,ASCH,0.053589,ASCH,0.6926522,21.975115,114.142166,65.485207,170.959763
24588_8779,ASCUS,0.967899,ASCUS,0.99084854,306.850433,429.607178,519.590088,570.149658
27628_27627,HSIL,0.072688,HSIL,0.9981026,539.793640,250.393585,574.977722,288.374725
5740_31275,LSIL,0.992342,LSIL,0.9471301,72.328766,467.668640,256.944946,596.365051
20332_44651,ASCUS,0.134368,ASCUS,0.95966065,60.208504,16.435806,141.864014,185.493469
15468_47083,ASCUS,0.050385,ASCUS,0.85535485,384.314331,92.790161,505.556335,187.736816
8780_24587,ASCUS,0.057492,ASCUS,0.50191563,471.455688,467.516693,542.253174,530.500244
30668_14859,ASCUS,0.008568,LSIL,0.6343713,9.109066,4.839844,131.087494,243.242630
30668_19115,LSIL,0.190550,LSIL,0.9296521,244.736267,57.286736,436.338074,194.537964
32492_10603,ASCUS,0.012061,ASCH,0.6367594,297.553802,283.521515,368.773651,446.954926
36140_23979,LSIL,0.060722,LSIL,0.9761562,267.848206,368.186737,399.532410,459.947968
34316_13035,ASCUS,0.611628,ASCUS,0.99854004,490.329163,402.925323,594.466980,503.767914
45260_17291,ASCUS,0.876703,ASCUS,0.5629743,187.064438,432.419617,366.047546,584.331909
47692_21547,ASCH,0.063951,HSIL,0.7577029,67.319069,376.892365,105.347435,418.100922
25196_25195,HSIL,0.157888,HSIL,0.87038743,187.335297,240.799698,218.147217,270.383484
25196_25195,HSIL,0.060603,HSIL,0.71348614,21.409878,376.580994,55.696606,413.147400
17292_25803,ASCH,0.065894,HSIL,0.73135114,453.879883,108.832924,512.392456,190.094818
20332_29451,ASCUS,0.888009,ASCUS,0.96243,447.433441,291.824646,525.230347,375.146484
44652_30667,HSIL,0.103632,HSIL,0.75711584,239.750946,568.948486,299.703156,604.411133
32492_26411,HSIL,0.953326,HSIL,0.9935049,543.696594,104.216843,600.745056,150.262527
38572_8171,HSIL,0.189792,HSIL,0.9899058,8.840754,411.664154,44.457176,448.755951
19724_48299,ASCUS,0.005822,LSIL,0.95740527,35.427238,363.862274,166.906219,608.000000
48300_37355,ASCH,0.014988,HSIL,0.851126,8.551640,33.930386,96.999008,103.105728
16684_43435,HSIL,0.396097,HSIL,0.6760307,434.638184,556.800110,484.439453,601.548157
28236_31275,ASCUS,0.067098,ASCUS,0.91291106,127.001465,96.060310,236.758087,203.571075
28236_35531,LSIL,0.086840,LSIL,0.80121815,253.882980,119.305969,393.526184,245.894379
27628_41003,ASCUS,0.632032,ASCUS,0.9008264,4.777573,441.320374,197.588989,593.671326
40396_34315,HSIL,0.830410,HSIL,0.7565531,527.659180,40.874737,565.061768,77.965881
40396_24587,ASCUS,0.076723,ASCUS,0.40724993,61.388611,202.453766,221.669373,336.567474
21548_15467,HSIL,0.128187,HSIL,0.9622061,1.000000,5.608503,21.287756,39.219246
48300_31275,ASCUS,0.484785,ASCUS,0.8910051,149.390442,448.579956,293.945221,600.673340
34316_28235,ASCUS,0.014365,LSIL,0.99086577,489.035858,475.071228,593.803101,605.131165
27020_28235,HSIL,0.349077,HSIL,0.98519796,95.305573,538.638184,132.983353,580.881836
11212_31883,ASCUS,0.951623,ASCUS,0.96296227,71.503693,29.618141,177.916183,173.353333
29452_11819,ASCUS,0.061052,ASCUS,0.97044486,462.133423,257.029572,523.284058,327.113129
29452_11819,ASCUS,0.147416,ASCUS,0.6152198,557.911743,295.687561,604.054688,354.918152
29452_11819,ASCUS,0.005166,ASCH,0.99768066,415.091248,198.376968,490.667297,275.187225
29452_11819,ASCH,0.407196,ASCH,0.9793139,397.452087,178.793213,588.981018,343.343323
23980_27627,ASCUS,0.013391,HSIL,0.9909451,151.007629,560.444092,195.407745,602.576172
17900_25195,LSIL,0.489286,LSIL,0.72108823,370.529358,305.905945,502.094360,487.217346
9388_13035,ASCUS,0.151175,ASCUS,0.40028659,4.491211,90.401138,88.175888,155.377823
37356_43435,ASCUS,0.008922,HSIL,0.4536654,461.246765,470.298523,557.781677,596.602722
22156_47691,ASCUS,0.009399,HSIL,0.945546,470.607147,5.796371,513.947021,65.878151
32492_45867,ASCUS,0.093765,ASCUS,0.72212714,6.092995,139.966064,163.980621,221.804718
32492_45867,ASCUS,0.014852,LSIL,0.9745691,88.179672,58.021912,257.983276,208.043640
30668_48299,ASCUS,0.763645,ASCUS,0.6686685,405.296021,359.867310,597.016418,529.140442
9388_40395,ASCUS,0.652755,ASCUS,0.87604713,297.824463,247.132751,590.611816,472.649658
2700_31275,HSIL,0.158320,HSIL,0.99982685,429.254517,74.742554,474.609924,112.003845
45868_31883,ASCUS,0.999495,ASCUS,0.9996892,407.431763,226.338547,564.537292,326.624390
31276_7563,ASCUS,0.551905,ASCUS,0.80770284,454.811218,20.113914,579.794495,149.131012
7564_25195,ASCUS,0.147339,ASCUS,0.80159605,534.269409,96.181335,608.000000,157.722519
44652_36139,ASCUS,0.801203,ASCUS,0.9387082,61.987747,41.777550,170.856491,161.977753
35532_28843,ASCUS,0.059836,ASCUS,0.60438746,354.136078,26.299221,488.503326,111.507996
6956_33707,ASCUS,0.017495,ASCUS,0.96869445,182.540558,34.720711,355.062592,200.130219
20332_6347,ASCUS,0.804991,ASCUS,0.62569505,95.417198,58.073219,267.032135,223.327362
31884_41003,ASCUS,0.110173,ASCUS,0.45506182,231.960938,415.866333,277.106537,473.490967
49516_30059,HSIL,0.114816,HSIL,0.9974929,528.598511,11.749446,569.825806,31.820446
22156_17899,ASCUS,0.888391,ASCUS,0.99408567,464.289642,407.033966,555.182922,594.994629
29452_27627,ASCUS,0.127114,ASCUS,0.8672358,360.419403,542.583740,418.162689,602.514526
13036_30667,ASCUS,0.010050,LSIL,0.9903205,21.398804,195.516891,198.586334,468.705688
42828_42827,ASCUS,0.044929,HSIL,0.9396159,443.655426,431.408539,490.715668,488.214569
47084_41003,ASCUS,0.006076,HSIL,0.99931324,328.595215,160.829697,403.053833,220.174149
47084_41003,HSIL,0.863429,HSIL,0.98178077,5.623085,100.653313,68.002060,164.919159
38572_23979,LSIL,0.270709,LSIL,0.8910703,343.355225,365.687347,498.528381,541.857178
17292_27627,ASCUS,0.937006,ASCUS,0.96855015,370.811523,389.155090,520.402161,482.228333
4524_24587,ASCUS,0.025387,HSIL,0.8218796,283.570526,466.574554,413.444489,568.489929
23372_44651,ASCH,0.079328,ASCH,0.8827787,498.910736,387.334900,552.176575,442.503967
5132_28843,ASCUS,0.197325,ASCUS,0.73043716,394.141541,147.633759,575.462952,278.974457
6348_33707,ASCH,0.015890,HSIL,0.946025,514.426208,402.684326,566.096619,470.439331
25804_17899,ASCUS,0.270360,LSIL,0.97004426,292.457947,24.823547,460.593750,256.289276
50124_19723,ASCUS,0.137795,ASCUS,0.5094154,182.660004,550.024658,291.737366,608.000000
14252_19723,ASCUS,0.070148,ASCUS,0.80023146,9.163559,77.701607,160.933395,236.598083
27020_46475,ASCUS,0.642788,ASCUS,0.8434775,437.608063,450.906677,499.302826,520.495056
29452_19723,ASCUS,0.005508,ASCUS,0.8818989,232.174316,468.012024,278.716339,515.102783
22156_45259,ASCUS,0.284983,ASCUS,0.7234041,218.739502,151.176575,399.714600,273.335907
22156_21547,LSIL,0.268641,LSIL,0.89178085,53.504402,1.000000,243.916382,135.492035
29452_43435,ASCUS,0.043126,ASCUS,0.99484336,124.650993,18.558144,204.063873,198.813812
48300_28235,ASCUS,0.020321,ASCUS,0.9847439,271.574188,171.244186,447.776154,389.749817
3308_25195,ASCUS,0.793983,ASCUS,0.6414925,19.578053,198.132172,134.863297,277.208984
20332_25803,HSIL,0.071035,HSIL,0.9999113,97.360329,445.159393,138.449799,495.281281
20332_25803,HSIL,0.052393,HSIL,0.8838284,137.463455,384.616089,174.875443,442.310974
6956_28235,ASCUS,0.043826,LSIL,0.47640273,146.537811,199.513016,263.116364,324.337555
5740_33707,ASCUS,0.008271,HSIL,0.99921274,491.305359,349.342743,540.412659,442.636322
48300_16683,ASCUS,0.630976,ASCUS,0.98841083,47.391766,262.160797,155.670212,374.088531
42220_8779,HSIL,0.065874,HSIL,0.97593474,214.850372,147.244003,271.828857,194.728958
19724_33099,ASCUS,0.193455,ASCUS,0.8284299,24.743179,338.863708,208.567963,487.139832
27628_48299,ASCH,0.916542,ASCH,0.7572741,427.590393,314.270325,575.465271,479.631287
36140_17291,ASCUS,0.190291,ASCUS,0.9992588,322.123108,180.229935,387.824280,263.947021
39180_34315,ASCUS,0.089968,ASCUS,0.43417302,266.232971,402.521942,462.458740,502.526031
42220_41611,ASCUS,0.061741,ASCUS,0.74286646,293.344666,169.806061,491.875305,424.586578
36748_36139,ASCUS,0.517760,ASCUS,0.6741784,513.706116,449.044189,600.914856,570.240173
6348_39787,ASCUS,0.005733,HSIL,0.9987747,300.139404,9.660095,518.851746,232.041504
25196_46475,ASCH,0.173799,ASCH,0.96176547,39.465328,52.906509,128.351654,164.386749
42220_17291,HSIL,0.977723,HSIL,0.9999629,29.578297,523.743652,77.288803,570.832397
24588_46475,ASCUS,0.031997,LSIL,0.77595556,12.914207,92.519669,157.782257,205.471024
27628_42219,ASCUS,0.951651,ASCUS,0.52730113,421.858582,425.383209,534.110901,543.339172
31276_37963,ASCUS,0.007223,ASCH,0.9943116,58.818050,163.834671,130.789566,226.432724
45868_13035,LSIL,0.808371,LSIL,0.99947995,17.222618,187.591858,134.525574,344.070007
8172_14859,ASCUS,0.008439,LSIL,0.47277805,72.534157,269.345856,163.930145,524.329834
32492_42219,ASCUS,0.972460,ASCUS,0.64986575,115.742584,418.577271,200.543884,502.705750
25196_47083,LSIL,0.220228,LSIL,0.9962754,323.071930,102.747925,457.615753,329.060516
26412_23979,ASCUS,0.009037,HSIL,0.92879045,197.663086,266.330048,372.466431,400.526093
22156_16075,HSIL,0.401777,HSIL,0.6780963,454.176086,535.149658,500.681396,599.106323
29452_12427,ASCUS,0.890425,ASCUS,0.66434544,380.632751,89.662537,480.374329,160.135040
38572_20939,HSIL,0.320186,HSIL,0.9995308,289.149414,145.814804,328.823608,184.759262
47692_17291,LSIL,0.726185,LSIL,0.57991,336.924103,406.473083,424.647552,580.200073
42220_22155,HSIL,0.372346,HSIL,0.93710166,565.102478,178.747849,601.678162,218.723312
22156_31883,ASCUS,0.044142,LSIL,0.9817824,224.377518,56.514633,400.474792,286.109924
33100_22155,ASCUS,0.999232,ASCUS,0.875528,306.247986,89.970619,423.303589,224.623810
6956_39179,LSIL,0.104700,LSIL,0.9843328,210.955017,140.009521,374.784668,269.251251
34316_6347,LSIL,0.194005,LSIL,0.8269191,31.759743,517.283691,107.151329,598.949707
13644_23979,HSIL,0.101709,HSIL,0.9980489,203.131348,190.069901,237.631805,224.592972
30060_3307,ASCH,0.073160,ASCH,0.79605466,295.232544,164.487915,466.511902,308.346802
41612_45867,HSIL,0.718882,HSIL,1.0,475.007385,335.593658,606.565125,438.513763
14860_22763,ASCUS,0.017329,HSIL,0.9995689,368.463745,365.496826,422.927673,428.728821
48908_34923,LSIL,0.057210,LSIL,0.9999676,507.888092,30.565842,605.180420,219.349899
30060_6347,ASCUS,0.484238,ASCUS,0.9999361,176.871246,382.426666,262.305145,429.769806
3308_29451,ASCUS,0.891051,ASCUS,0.9926031,140.247620,30.434475,366.413971,155.522491
31276_43435,ASCUS,0.439547,ASCUS,0.5711551,271.864441,41.365189,458.310852,193.328278
24588_48907,ASCUS,0.024751,LSIL,0.99264354,324.934998,376.182861,500.725891,547.142090
25804_43435,LSIL,0.532080,LSIL,0.989033,26.294724,16.148491,192.128708,167.999329
