x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
39175_9456,ASCUS,0.571440,ASCUS,0.99501616,260.681702,422.313171,469.648926,563.931396
6343_22224,ASCUS,0.050832,ASCUS,0.9996043,367.409424,278.361267,509.835754,571.206970
6343_22224,ASCUS,0.302511,ASCUS,0.9993462,418.970703,269.002960,516.529602,413.224335
5735_16144,ASCUS,0.301603,ASCUS,0.9992269,482.463013,325.896545,600.673950,468.514282
27623_3376,ASCUS,0.376748,ASCUS,0.99380565,228.049728,333.434937,341.415985,461.005615
27623_3376,ASCUS,0.102190,ASCUS,0.964809,177.315063,304.388733,350.761719,544.712708
31271_8240,ASCUS,0.061725,ASCUS,0.998728,307.192017,17.805748,502.854858,135.265930
45863_28304,ASCUS,0.854908,ASCUS,0.9999826,285.129211,384.759460,364.377502,553.450684
42823_17360,ASCUS,0.052814,ASCUS,0.72888654,347.838196,21.790688,527.227234,180.280518
11815_28912,ASCUS,0.911943,ASCUS,0.9976178,260.123840,158.032227,404.806885,251.430176
37351_30128,ASCUS,0.178297,ASCUS,0.99827397,366.229919,15.210953,587.801697,155.579941
31879_6416,ASCUS,0.064101,ASCUS,0.58097905,196.686951,264.219177,261.305939,464.716064
16071_27088,ASCUS,0.296035,ASCUS,0.999998,101.672668,225.580780,194.672607,325.235931
20935_21616,ASCUS,0.085289,ASCUS,0.9978957,1.236504,484.029785,136.940521,598.063354
30663_42896,ASCUS,0.020520,LSIL,0.99781287,33.929230,383.577209,178.226746,559.079285
28231_7024,ASCUS,0.608927,ASCUS,0.99997365,423.907867,5.574379,511.003021,164.705688
28231_7024,ASCUS,0.493098,ASCUS,0.9992612,215.013016,418.264374,304.951355,583.315674
50727_28912,ASCUS,0.104289,ASCUS,0.99977785,373.044037,110.264816,487.058136,300.296021
29447_13104,ASCUS,0.074175,ASCUS,0.95054066,218.773346,501.890991,463.071564,608.000000
31879_10672,ASCUS,0.195499,ASCUS,0.99996924,57.344002,148.738434,210.802612,380.169403
30663_14928,ASCUS,0.985968,ASCUS,0.9999912,78.965179,42.514702,186.524292,161.984161
4519_33776,ASCUS,0.217379,ASCUS,0.9989994,148.219147,284.065613,341.964874,429.427063
9383_24656,ASCUS,0.449627,ASCUS,0.99786633,230.634216,123.645920,386.243835,270.377502
10599_24656,ASCUS,0.514877,ASCUS,0.99965525,441.231567,257.536285,608.000000,376.000275
33095_28912,ASCUS,0.114100,ASCUS,0.92570406,14.672462,42.378220,154.792236,207.209518
30663_16752,ASCUS,0.071572,ASCUS,0.99986446,276.165649,1.000000,340.079102,86.687210
40391_14320,ASCUS,0.145743,ASCUS,0.9996275,273.247070,296.304138,379.071045,466.697327
15463_19184,ASCUS,0.113795,ASCUS,0.8853539,277.282043,362.057495,421.914978,527.152039
34311_11888,ASCUS,0.285841,ASCUS,0.8632687,184.733002,156.513199,353.912140,300.284180
11815_39856,ASCUS,0.088601,ASCUS,0.771913,107.281128,159.411591,287.112701,282.728729
33703_24656,ASCUS,0.091064,ASCUS,0.98726827,353.799255,272.122498,422.355225,344.589539
18503_7632,ASCUS,0.231207,ASCUS,0.93811893,261.408112,140.298141,405.367767,239.043594
19719_50192,ASCUS,0.089923,ASCUS,0.9711161,41.922554,296.581818,223.698944,416.814240
28839_3376,ASCUS,0.155484,ASCUS,0.9964167,34.707466,493.126312,262.616028,604.628967
11207_19184,ASCUS,0.916820,ASCUS,0.9990402,334.278351,46.603340,508.587860,189.687836
15463_40464,ASCUS,0.891770,ASCUS,0.9570922,384.666168,54.615906,583.964844,211.692627
13639_23440,ASCUS,0.255765,ASCUS,0.9994128,213.915619,103.285507,355.097321,161.495956
45863_17360,ASCUS,0.180512,ASCUS,0.996318,164.804260,357.157562,326.394165,516.316956
27623_21616,ASCUS,0.066202,ASCUS,0.9958835,300.620422,268.515106,509.838318,382.160492
27623_4592,ASCUS,0.622258,ASCUS,0.99802715,157.858368,390.731995,269.775391,482.707336
28839_41072,ASCUS,0.533695,ASCUS,0.96366405,42.854969,114.154785,115.421539,186.058350
17895_36816,ASCUS,0.393768,ASCUS,0.9233068,365.456970,226.779404,476.277100,327.234650
17895_36816,ASCUS,0.352788,ASCUS,0.9364396,326.851868,143.780472,451.977966,250.236923
17895_36816,ASCUS,0.057737,ASCUS,0.937092,430.329651,257.469452,539.109802,360.370514
46471_43504,ASCUS,0.695865,ASCUS,0.5268684,33.529884,206.210541,263.696564,316.647491
44647_30128,ASCUS,0.194558,ASCUS,0.9783917,279.555206,180.736603,449.776031,326.002533
44647_30128,ASCUS,0.131438,ASCUS,0.999418,355.927795,247.649109,469.615173,354.382935
37959_25872,ASCUS,0.088063,ASCUS,0.99936193,63.350540,123.172043,235.585587,287.004761
19719_25872,ASCUS,0.689555,ASCUS,0.97197634,140.292816,166.949402,334.063080,321.653229
19719_25872,ASCUS,0.062524,ASCUS,0.7607812,36.427567,140.619263,213.787460,285.884583
36743_42288,ASCUS,0.063237,ASCUS,0.9899996,205.071167,294.626740,350.928101,526.154419
31271_28912,ASCUS,0.998284,ASCUS,0.961797,353.986084,337.255310,472.904968,421.994080
31271_28912,ASCUS,0.095320,ASCUS,0.99981636,347.045563,26.546635,478.037811,127.223846
5735_33168,ASCUS,0.574534,ASCUS,0.9849437,177.758514,82.643929,353.080231,317.536652
5735_33168,ASCUS,0.147712,ASCUS,0.99816716,467.282166,134.165497,569.338196,291.352722
13639_8240,ASCUS,0.080212,ASCUS,0.99713814,132.676208,50.029533,261.899384,168.437866
33095_25264,ASCUS,0.355288,ASCUS,0.9989084,251.277374,207.453323,415.646454,345.596680
8167_15536,ASCUS,0.564476,ASCUS,0.9862679,369.207520,138.356506,439.587524,273.654572
8167_15536,ASCUS,0.189068,ASCUS,0.9991642,408.258240,422.960144,513.786621,529.041504
10599_33776,ASCUS,0.144666,ASCUS,0.77246267,45.318733,168.039551,236.562012,321.907440
35527_17968,ASCUS,0.222629,ASCUS,0.951188,395.435303,432.356506,492.380859,554.047119
11207_23440,ASCUS,0.218799,ASCUS,0.9999813,268.013672,70.421967,398.482361,129.520630
15463_21616,ASCUS,0.652157,ASCUS,0.9986029,134.893417,238.402649,243.025375,347.270569
15463_21616,ASCUS,0.136772,ASCUS,0.99867463,204.144669,238.245361,316.925812,333.372742
40999_12496,ASCUS,0.029817,ASCUS,0.999928,1.000000,1.000000,608.000000,561.831360
34919_20400,ASCUS,0.966430,ASCUS,0.9670397,106.823746,185.658936,223.176346,352.495178
51943_33776,ASCUS,0.406494,ASCUS,0.9974381,13.788391,58.596954,392.565186,152.043335
32487_19184,ASCUS,0.206340,ASCUS,0.99383825,216.402908,225.314484,354.200439,330.894806
32487_19184,ASCUS,0.103986,ASCUS,0.795224,331.864319,265.586395,446.515930,369.310211
32487_19184,ASCUS,0.073690,ASCUS,0.99691284,134.271545,103.956207,276.069214,209.192810
6343_34992,ASCUS,0.837772,ASCUS,0.9995659,161.179199,470.421295,295.245911,579.475708
29447_11280,ASCUS,0.217071,ASCUS,0.99785113,227.418915,324.225983,359.308136,439.842926
34311_17360,ASCUS,0.681153,ASCUS,0.9997242,215.719940,56.755924,354.263580,129.675323
27015_29520,ASCUS,0.545577,ASCUS,0.999828,255.388367,213.218018,392.401306,310.786072
46471_24656,ASCUS,0.915377,ASCUS,0.9229937,276.163055,5.742027,518.172852,100.314949
46471_24656,LSIL,0.059999,LSIL,0.81937754,289.420929,7.291740,533.064758,97.958633
30663_19792,ASCUS,0.243198,ASCUS,0.89346945,119.720055,274.562622,289.464325,407.018250
8775_37424,ASCUS,0.073068,ASCUS,0.99877816,1.000000,406.425110,75.813599,516.322327
8775_37424,ASCUS,0.066775,ASCUS,0.9939526,252.327530,221.086090,413.673706,397.529938
32487_16144,ASCUS,0.594704,ASCUS,0.9889199,3.381660,143.437286,215.158875,299.054108
32487_16144,ASCUS,0.254331,ASCUS,0.70777285,359.361084,384.636383,513.638306,536.829346
32487_16144,ASCUS,0.193532,ASCUS,0.98617524,466.015045,212.915833,566.342346,371.689270
49511_28304,ASCUS,0.008403,LSIL,0.8722805,15.340706,40.764076,198.010712,295.731506
38567_25264,ASCUS,0.370296,ASCUS,0.96860194,146.148560,10.126328,261.177948,157.651413
34919_17360,ASCUS,0.349003,ASCUS,0.9575147,141.396255,312.447388,284.779358,465.982788
34919_17360,ASCUS,0.069118,ASCUS,0.7738617,27.200279,368.991577,174.741394,521.265015
33095_24656,ASCUS,0.996206,ASCUS,0.7981601,44.138016,297.038574,205.572845,465.780273
20327_21616,ASCUS,0.064296,ASCUS,0.8548215,403.396423,105.436470,487.341553,177.930389
33095_30128,ASCUS,0.392158,ASCUS,0.85445213,204.754837,316.728699,380.736877,476.493042
23975_20400,ASCUS,0.575737,ASCUS,0.99867034,167.467865,44.055878,290.631866,123.683380
22151_41072,ASCUS,0.552565,ASCUS,0.8915978,312.970856,408.055298,464.286163,562.500854
26407_17360,ASCUS,0.966140,ASCUS,0.99967873,355.095337,160.244904,452.395874,329.325287
3303_24048,ASCUS,0.544195,ASCUS,0.86576784,254.404099,321.083679,428.253479,457.875916
14247_22224,ASCUS,0.561037,ASCUS,0.999941,240.537704,99.882637,344.202026,246.678680
35527_39856,ASCUS,0.990534,ASCUS,0.9999496,294.700562,30.362579,405.261475,186.780945
20327_13712,ASCUS,0.074901,ASCUS,0.899485,370.349213,213.088104,535.034546,341.166901
21543_28304,ASCUS,0.741051,ASCUS,0.998054,212.464874,225.705948,309.209686,392.601868
19111_25264,ASCUS,0.149728,ASCUS,0.58690506,366.243195,55.115150,518.895630,279.623871
19111_25264,ASCUS,0.125244,ASCUS,0.9998746,481.495667,151.959808,549.836487,305.026672
19111_25264,ASCUS,0.083657,ASCUS,0.9835142,352.568420,120.557411,456.666748,224.749664
19111_25264,ASCUS,0.066976,ASCUS,0.9510409,416.873047,137.639801,502.198914,256.388641
40999_24048,ASCUS,0.084853,ASCUS,0.94631964,269.237762,226.744568,443.105499,374.245422
42823_8240,ASCUS,0.106286,ASCUS,0.9998487,3.007076,101.911095,104.298111,228.984680
31271_39856,ASCUS,0.362705,ASCUS,0.9624312,260.132507,224.311951,376.264465,378.432861
31271_39856,ASCUS,0.127680,ASCUS,0.95066714,471.347382,330.473145,593.325256,528.560547
6951_19184,ASCUS,0.191937,ASCUS,0.66607684,463.727570,31.305180,587.079163,140.053467
13639_38032,ASCUS,0.055367,ASCUS,0.8633212,344.869720,121.984024,529.385254,239.786697
17895_18576,ASCUS,0.899668,ASCUS,0.6399237,109.083420,411.791962,270.076843,572.734558
17895_18576,ASCUS,0.066579,ASCUS,0.9764466,155.170868,266.788483,255.759308,414.487396
17895_18576,ASCUS,0.053912,ASCUS,0.9907175,250.918732,280.062439,367.190521,402.360657
42215_34384,ASCUS,0.199864,ASCUS,0.94167465,204.505081,7.138184,365.451721,146.724899
21543_9456,ASCUS,0.055709,ASCUS,0.5153324,31.131546,180.920471,218.783615,308.434296
32487_28304,ASCUS,0.352496,ASCUS,0.99662685,506.252472,445.446686,606.910828,589.339905
3911_24048,ASCUS,0.076027,ASCUS,0.99966455,219.464890,244.226013,337.529602,388.867859
37959_44720,ASCUS,0.012464,LSIL,0.9808771,93.249908,52.402191,571.120361,386.226776
50119_18576,ASCUS,0.997035,ASCUS,0.9481453,335.343689,278.934631,426.899719,420.219482
31879_19184,ASCUS,0.077668,ASCUS,0.99915373,342.262329,411.271362,468.893433,513.233826
