x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
6448_35493,ASCUS,0.097530,ASCUS,0.9192742,235.049896,121.169113,446.171661,288.653503
45968_41573,ASCUS,0.750567,ASCUS,0.96924555,11.863335,452.651245,156.788391,599.023682
32592_12997,ASCUS,0.310721,ASCUS,0.9541863,1.000000,55.686508,180.480591,228.385269
27120_30021,ASCUS,0.959289,ASCUS,0.9972441,227.950333,49.460014,439.070679,215.437744
49616_33669,ASCUS,0.059271,ASCUS,0.99528533,31.157684,460.189941,218.097702,606.455566
30768_29413,ASCUS,0.301384,ASCUS,0.9862307,42.839607,331.730774,236.917389,508.243774
39280_12997,ASCUS,0.864444,ASCUS,0.99710983,82.608505,407.319214,278.507202,563.447266
16176_38533,ASCUS,0.869398,ASCUS,0.99791807,377.634735,227.793747,576.532593,329.565125
18608_15429,ASCUS,0.648346,ASCUS,0.6121707,25.499954,59.420151,215.878906,339.773254
15568_26981,ASCUS,0.875443,ASCUS,0.98854405,424.271332,295.246033,594.828735,466.178528
45968_42181,ASCUS,0.995839,ASCUS,0.9876329,280.680267,111.953499,450.559479,265.590027
44752_9957,ASCUS,0.994860,ASCUS,0.9101791,436.940491,10.472076,594.601013,144.484573
22256_34885,ASCUS,0.236300,ASCUS,0.9996419,82.490425,207.516373,214.037231,330.273102
28336_12997,ASCUS,0.621715,ASCUS,1.0,98.507812,344.573700,200.695923,509.959625
28336_44613,ASCUS,0.891426,ASCUS,0.98929495,60.952034,417.336426,173.631195,584.454834
29552_48261,ASCUS,0.058589,ASCUS,0.98464566,340.641815,3.254555,470.492584,116.483383
51440_31237,ASCUS,0.599901,ASCUS,0.98998874,52.588074,331.718292,152.505310,416.896576
14960_24549,ASCUS,0.191428,ASCUS,0.7053891,219.086365,452.453918,413.373047,598.264099
46576_20901,ASCUS,0.533297,ASCUS,0.99868447,70.848534,281.345367,242.810669,451.244415
16784_47045,ASCUS,0.081415,ASCUS,0.898287,154.877106,265.615204,317.721649,399.044647
48400_32453,ASCUS,0.997655,ASCUS,0.99870014,433.405914,147.031799,602.437134,309.596832
39280_5701,ASCUS,0.942916,ASCUS,0.69609916,431.310730,433.337494,600.284973,566.757935
42320_43397,HSIL,0.054540,HSIL,0.99919146,352.184998,393.303802,426.117371,463.213470
44144_39749,ASCUS,0.221201,ASCUS,0.9895913,77.146370,254.580276,253.965485,413.049683
41104_34885,ASCUS,0.426205,ASCUS,0.8799354,173.390503,299.633728,318.394135,511.431152
5232_25157,ASCUS,0.091744,ASCUS,0.9379715,2.623978,133.185089,116.925377,293.799072
44752_31237,SCC,0.306533,SCC,0.72316986,75.671654,75.866707,112.095375,191.841919
41104_23333,ASCUS,0.917583,ASCUS,0.99988675,373.064911,25.877846,482.347260,173.470856
47792_19685,ASCUS,0.683521,ASCUS,0.83063114,305.092896,217.570129,486.473755,435.484436
