x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
42605_21313,LSIL,0.146802,LSIL,0.99974567,552.609741,1.000000,608.000000,174.914398
47469_14017,LSIL,0.042799,SCC,1.0,370.292847,52.539673,424.310974,197.666809
74221_4897,ASCUS,0.026571,LSIL,0.98909515,277.721252,153.874115,472.093201,468.793182
66317_26177,ASCUS,0.397037,ASCUS,0.98835224,213.355148,238.381271,274.266907,315.285767
69357_29825,LSIL,0.948250,LSIL,0.99999356,348.330200,108.465279,557.705200,270.133118
79693_29825,LSIL,0.478472,LSIL,1.0,65.522278,137.960861,208.163330,551.562683
79693_29825,LSIL,0.136424,LSIL,0.99999785,67.714172,302.122162,177.775253,573.414307
79693_55969,LSIL,0.204741,LSIL,0.9988361,428.173401,296.334167,594.654114,465.601257
66925_30433,LSIL,0.544065,LSIL,1.0,68.452705,355.189941,267.731110,589.669434
73613_48673,LSIL,0.398593,LSIL,0.9999999,318.029388,284.729492,470.415070,608.000000
46861_24961,ASCUS,0.137151,ASCUS,0.5631662,108.523552,94.765251,316.536407,252.668732
46861_24961,LSIL,0.948167,LSIL,0.6185015,87.915787,90.557533,343.384338,279.364014
49293_28609,LSIL,0.093100,LSIL,0.99997294,243.034973,71.443497,492.591003,525.373108
49293_28609,LSIL,0.056778,LSIL,0.99831736,165.509811,1.000000,579.158081,388.486938
75437_48673,LSIL,0.863419,LSIL,0.9999999,431.133636,1.000000,549.557373,368.198547
37133_15841,LSIL,0.673819,LSIL,0.82848984,306.659668,366.354431,507.197571,608.000000
68141_43809,LSIL,0.285176,LSIL,0.5644319,10.206696,216.014038,112.361938,381.945312
37741_55969,ASCUS,0.023268,LSIL,0.99999976,1.000000,1.000000,608.000000,608.000000
80301_43201,LSIL,0.069209,LSIL,0.85821754,402.782806,175.657730,536.377136,301.077698
57805_15233,ASCUS,0.164293,ASCUS,0.99614525,84.059204,133.836731,199.019653,292.205566
36525_17665,LSIL,0.262561,LSIL,0.9836271,272.716156,227.326447,447.498932,460.442596
42605_22529,ASCUS,0.270590,ASCUS,0.9088865,72.919762,94.024239,210.191345,267.860535
4909_45633,ASCUS,0.369027,ASCUS,0.9827564,164.060242,45.285507,608.000000,551.379639
12205_15233,ASCUS,0.028643,SCC,0.99642354,382.921082,26.147537,596.689026,532.016541
34701_12801,LSIL,0.931215,LSIL,1.0,256.648865,72.812080,458.288635,240.827515
52941_19489,SCC,0.144879,SCC,0.99998343,237.964127,347.705536,330.064575,493.598663
46861_21921,ASCUS,0.005682,LSIL,0.9946784,320.987976,422.137573,408.416748,548.130432
57197_42593,ASCUS,0.007459,LSIL,0.9968784,4.924732,215.004257,116.140915,473.212585
77869_19489,ASCUS,0.009949,LSIL,1.0,390.078430,69.969620,551.514587,301.131531
69965_51105,ASCUS,0.827501,ASCUS,0.8205476,329.916656,333.269714,479.349518,507.481140
71789_47457,ASCUS,0.106477,ASCUS,0.951259,442.770660,456.291412,559.611572,578.541992
