x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
33401_8491,ASCUS,0.120151,ASCUS,0.9999999,212.019104,44.103794,266.387115,140.675018
47385_21259,ASCUS,0.013060,LSIL,0.64752936,396.091003,56.289711,461.030090,143.178741
47385_21259,LSIL,0.229334,LSIL,0.85897523,395.556702,61.645340,524.755066,187.982224
47385_20651,ASCUS,0.398361,ASCUS,0.52690536,327.094238,370.803284,436.180542,518.116028
51033_19435,ASCUS,0.005566,LSIL,0.99208367,122.189690,333.907959,177.273514,396.504761
51033_19435,ASCUS,0.007425,LSIL,0.8898646,402.990173,274.754242,504.929993,392.696320
51033_19435,ASCUS,0.018335,LSIL,0.991351,187.069946,254.249054,238.830261,346.443817
29145_8491,ASCUS,0.743504,ASCUS,0.746831,357.230011,92.983627,549.515869,237.078934
47993_17611,LSIL,0.504113,LSIL,0.95199406,403.980591,283.595703,533.648743,461.916748
41305_29771,ASCUS,0.750656,ASCUS,0.9716572,78.292282,251.025558,172.251053,351.651184
21241_14571,ASCUS,0.007002,HSIL,0.9863621,55.961716,350.004700,147.799271,492.845642
21241_14571,HSIL,0.442060,HSIL,0.9256259,319.981384,505.118347,380.823425,558.777649
12729_11531,ASCUS,0.041954,LSIL,0.96234685,203.224274,46.934547,394.550812,297.284027
44345_16395,ASCUS,0.548569,ASCUS,0.7093838,27.545044,1.000000,187.540558,285.948425
38265_21259,ASCUS,0.470872,ASCUS,0.66560096,209.858978,331.566132,344.102814,479.877472
38265_21259,ASCUS,0.141012,ASCUS,0.56457865,108.424210,192.884705,219.105240,279.338074
27321_7275,ASCUS,0.689378,ASCUS,0.95509684,478.963226,505.843323,604.264587,605.634216
46169_14571,ASCUS,0.778522,ASCUS,0.60290843,246.999146,168.541077,370.194031,277.907349
43737_13355,LSIL,0.336350,LSIL,0.6021209,59.346436,425.119904,174.590179,512.431519
34617_11531,ASCUS,0.005225,SCC,0.9500453,164.393417,329.469910,219.756668,528.294739
35225_13963,ASCUS,0.187316,ASCUS,0.9984534,514.760132,86.524849,584.206665,150.679230
31577_8491,LSIL,0.170885,LSIL,0.795112,494.699341,372.698090,604.860718,500.838531
54073_38891,ASCUS,0.109692,ASCUS,0.5264775,90.388618,119.041847,241.748047,207.975433
29145_15179,LSIL,0.139194,LSIL,0.5496719,172.046082,126.637405,285.961456,267.345703
42521_24907,ASCUS,0.019999,ASCUS,0.99999094,436.429138,449.375031,504.000061,535.433716
38873_23691,LSIL,0.087943,LSIL,0.99755895,435.716278,295.050507,504.220184,371.509613
27929_11531,ASCH,0.086531,ASCH,0.9611355,213.142899,337.250366,588.004089,608.000000
47993_10923,LSIL,0.750147,LSIL,0.9537888,432.813599,93.377487,568.323608,191.723404
29145_20651,ASCUS,0.008045,ASCUS,0.5683114,250.074142,55.319550,503.066040,284.512543
22457_9707,ASCUS,0.009061,LSIL,0.984394,383.668427,501.865204,570.330811,608.000000
34617_20043,ASCUS,0.072960,ASCUS,0.97218984,496.899017,10.148033,586.322510,128.084229
52249_16395,LSIL,0.190110,LSIL,0.75947756,400.517365,217.791260,520.826416,350.738647
52249_16395,SCC,0.162302,SCC,0.87538815,129.321533,414.663269,297.436005,569.262512
34617_18827,ASCUS,0.846345,ASCUS,0.74627966,187.872009,270.848145,286.443817,399.041504
46169_12747,LSIL,0.376628,LSIL,0.6051084,176.686935,149.385071,295.551086,246.742218
52249_17003,ASCUS,0.360618,ASCUS,0.96046937,54.031265,25.266464,227.749313,226.080627
52249_17003,ASCUS,0.067026,ASCUS,0.51769507,466.053497,502.582916,552.379028,566.239746
50425_16395,ASCUS,0.245660,ASCUS,0.86288506,193.089539,395.855713,313.818268,495.732056
32793_20043,LSIL,0.937753,LSIL,0.9984497,176.633270,222.836288,479.532379,594.755127
21241_13355,LSIL,0.240829,LSIL,0.99797136,237.381027,499.049042,363.220520,597.319458
21241_13355,LSIL,0.187246,LSIL,0.9240173,153.966888,449.748199,287.930481,535.354492
27321_4235,ASCUS,0.703942,LSIL,0.9987085,440.961212,460.625366,516.239807,537.261169
29753_54699,HSIL,0.583345,HSIL,0.99998844,188.639404,510.862854,232.459778,570.031677
30361_11531,LSIL,0.189841,LSIL,0.9205932,128.838684,387.229462,271.415131,608.000000
30361_11531,LSIL,0.055447,LSIL,0.8058194,109.114281,476.287018,171.238297,574.372131
41913_8491,LSIL,0.268830,LSIL,0.9967386,423.746216,12.079819,545.258484,140.051483
27321_42539,ASCUS,0.047882,HSIL,0.93572205,1.000000,48.773193,608.000000,608.000000
16985_13355,ASCH,0.692330,ASCH,0.90689427,386.850922,213.001282,584.287964,355.988831
38873_7883,LSIL,0.066912,LSIL,0.9720105,101.648804,43.731583,212.819794,141.101898
25497_15179,ASCUS,0.075926,ASCUS,0.44917127,76.314560,185.626892,221.408279,289.573303
40697_26731,ASCUS,0.679448,ASCUS,0.99865144,484.286530,57.844326,595.209595,178.037079
17593_13355,ASCH,0.029085,ASCH,0.9669388,249.285797,502.559021,322.733246,578.028259
52249_20043,ASCUS,0.237556,ASCUS,0.9347349,478.320801,395.660950,542.105103,494.522522
34617_13355,ASCUS,0.055958,ASCUS,0.99999964,478.115753,136.333099,586.320862,275.374084
29753_14571,ASCUS,0.028133,LSIL,0.56407905,117.686981,69.751503,246.569000,210.324829
20633_10923,ASCH,0.100356,ASCH,0.9481825,5.071136,349.136200,102.071243,524.233398
55289_19435,LSIL,0.348879,LSIL,0.58465356,48.443325,235.120209,139.484497,333.420685
15161_7275,ASCUS,0.663212,ASCUS,0.60906535,207.438004,9.992691,348.089355,193.685715
35225_9099,ASCUS,0.050907,ASCUS,0.95310944,1.000000,168.607971,89.594620,272.744537
43129_14571,ASCUS,0.006512,LSIL,0.99999344,243.109467,310.042633,423.488922,466.866669
43129_14571,ASCUS,0.118501,LSIL,0.99911565,69.066360,16.892925,197.150650,121.225342
43129_14571,LSIL,0.579165,LSIL,0.8775311,525.994202,299.187744,607.061340,447.671387
27321_15787,ASCUS,0.081951,LSIL,0.81097853,484.498962,53.198040,597.415100,162.122360
38265_13355,ASCUS,0.155316,ASCUS,0.75276667,505.082214,28.922298,591.818909,104.876038
41913_28555,ASCUS,0.457597,ASCUS,0.9999559,9.217434,142.788345,113.168411,252.362808
55289_30379,ASCUS,0.028392,LSIL,0.74337876,398.574707,108.610519,507.977417,235.130234
33401_3627,ASCUS,0.007963,LSIL,0.96500266,13.781128,335.273865,123.441437,474.787537
26713_14571,HSIL,0.042693,SCC,0.6805061,335.010559,389.305206,427.709961,437.787384
47385_18219,ASCUS,0.040328,ASCUS,0.5801355,368.384583,334.360107,506.131653,459.796204
47385_18219,ASCUS,0.473007,LSIL,0.8202979,337.018494,131.311859,428.489258,280.839935
43737_17003,ASCUS,0.059124,ASCUS,0.99209046,413.343964,489.883240,493.788727,562.189514
5433_46187,ASCUS,0.005990,LSIL,0.98750335,97.126953,498.123535,186.328125,554.654907
35225_18827,ASCUS,0.196562,ASCUS,0.9622208,84.721405,18.678410,134.058426,103.533356
35225_18827,ASCUS,0.012585,LSIL,0.95248306,494.440460,164.825119,568.318359,243.981400
38873_19435,ASCH,0.492976,ASCH,0.99995303,160.745605,402.632416,466.900818,607.112549
28537_55915,LSIL,0.019174,HSIL,0.99158937,438.184906,1.000000,518.176086,122.064476
