x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
42720_6871,HSIL,0.095427,HSIL,0.99999857,399.016357,7.710661,459.787659,52.429901
43328_6263,ASCUS,0.676718,ASCUS,0.586933,116.358841,193.232269,247.845657,434.734589
43328_6263,LSIL,0.855099,LSIL,0.96500057,418.830444,287.493225,582.779297,428.293091
43328_6263,LSIL,0.605826,LSIL,0.96309674,109.539978,197.336288,253.005402,451.343872
46976_31191,HSIL,0.050806,HSIL,0.99977165,420.953705,377.673004,484.888947,447.903717
12320_40311,HSIL,0.143788,HSIL,0.9999999,505.398865,345.775177,557.653870,401.137848
28128_28759,HSIL,0.320580,HSIL,1.0,295.823120,52.379585,584.382263,250.021240
28128_28759,HSIL,0.175885,HSIL,1.0,515.086914,241.842117,565.246460,293.729034
28128_28759,HSIL,0.063900,HSIL,0.99999774,427.763763,37.905567,475.947540,83.859909
42720_3831,ASCUS,0.021967,LSIL,0.5504086,1.000000,1.000000,608.000000,608.000000
33600_37271,LSIL,0.020465,HSIL,1.0,335.405396,94.995415,506.273804,236.434906
51232_18423,HSIL,0.051084,HSIL,1.0,95.641380,501.930298,137.043427,547.499512
32992_17815,ASCUS,0.005309,LSIL,0.9922652,102.503960,34.005051,239.436035,241.264175
32992_17815,LSIL,0.068620,HSIL,1.0,120.050232,35.562859,245.768494,241.511475
46976_39095,HSIL,0.137188,HSIL,0.9997782,287.363434,527.400879,332.091888,572.474365
43328_54295,HSIL,0.652471,HSIL,1.0,498.602203,148.660889,599.608459,246.265076
43328_54295,HSIL,0.117714,HSIL,0.98931843,170.893280,585.579895,209.878632,608.000000
22656_33623,HSIL,0.451279,HSIL,0.99937636,120.523254,237.295761,177.705109,280.991638
51232_48215,ASCH,0.018231,HSIL,0.9999999,278.516693,243.960129,416.790924,401.940613
51840_28151,HSIL,0.580860,HSIL,0.92485094,551.901672,76.869614,608.000000,155.011917
51840_28151,HSIL,0.509832,HSIL,0.99999726,1.000000,331.891663,313.733734,580.587341
51840_28151,HSIL,0.157005,HSIL,0.9999752,449.807220,326.774933,501.801971,404.095734
50016_19639,HSIL,0.147394,HSIL,0.997216,180.986572,29.655514,244.144257,77.937851
19616_17207,ASCUS,0.021727,HSIL,0.9999751,17.516022,382.396667,198.138687,539.972778
19616_17207,HSIL,0.943255,HSIL,1.0,416.532898,94.450127,505.225403,267.645538
19616_17207,HSIL,0.928480,HSIL,1.0,269.212524,296.803375,331.321594,387.504791
19616_17207,HSIL,0.131085,HSIL,0.99998,76.494881,152.152802,159.558990,212.084778
51232_40311,HSIL,0.292915,HSIL,0.9329575,54.162674,38.103497,100.505295,80.943130
51232_40311,HSIL,0.113187,HSIL,0.9999504,321.934357,504.355438,375.987274,559.440979
15360_33015,HSIL,0.073497,HSIL,0.9997812,432.467743,583.285156,489.211945,608.000000
14752_14775,HSIL,0.625115,HSIL,1.0,313.923767,490.259521,382.780701,542.401123
14752_14775,HSIL,0.134109,HSIL,1.0,303.274536,481.258209,426.332825,553.965332
