x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
44436_8291,ASCUS,0.847193,ASCUS,0.6611378,491.115387,112.390282,574.252441,186.708496
44436_8291,ASCUS,0.011158,ASCUS,0.9384991,395.019531,193.652969,461.327454,260.362732
44436_8291,LSIL,0.455499,HSIL,0.710708,443.727539,464.180695,588.243896,567.586426
14036_56323,LSIL,0.407361,LSIL,0.9929877,297.071594,254.745026,382.533203,410.976288
29236_49635,ASCUS,0.016465,LSIL,1.0,1.000000,19.558289,608.000000,596.028381
28020_10723,LSIL,0.090274,LSIL,0.9576782,377.634003,125.176735,462.442230,187.533630
28020_10723,HSIL,0.357175,HSIL,0.9999167,42.030693,171.433990,174.724518,285.353119
22548_15587,LSIL,0.062532,LSIL,0.9996649,436.822021,223.446732,604.926758,497.536438
18292_52067,ASCUS,0.005952,LSIL,0.6928473,46.662224,496.369110,109.887947,554.512024
18292_52067,LSIL,0.118611,SCC,0.99861145,46.662224,496.369110,109.887947,554.512024
46868_56931,ASCUS,0.024302,LSIL,0.6760377,241.216278,547.983582,309.177155,599.068176
42004_36867,ASCUS,0.043583,LSIL,0.9996202,1.000000,1.000000,608.000000,608.000000
29236_22275,LSIL,0.372558,LSIL,0.80343515,8.013062,1.000000,545.013855,608.000000
12820_22275,ASCUS,0.074593,LSIL,0.99992776,307.888000,95.022171,388.618835,151.582123
57204_44771,ASCUS,0.374507,ASCUS,0.9993123,541.297913,10.651329,604.987610,79.646500
38356_64835,ASCUS,0.012305,SCC,0.9795346,379.052155,204.184814,432.594635,286.655182
21332_30787,ASCUS,0.024681,LSIL,0.9999993,25.472076,53.283173,584.764160,549.852661
9172_33827,ASCUS,0.017283,LSIL,0.71132123,43.670532,2.404114,572.819885,600.000671
61460_43555,ASCUS,0.022178,LSIL,0.99047536,19.672638,1.000000,589.786987,608.000000
45652_50851,ASCUS,0.280857,ASCUS,0.95941484,485.161133,430.494171,553.383301,491.242218
26196_17411,LSIL,0.109711,LSIL,0.9999827,82.698624,1.000000,521.880493,608.000000
27412_61187,ASCUS,0.157925,ASCUS,0.99983156,408.345642,139.648560,500.573608,210.143127
49300_23491,HSIL,0.180985,HSIL,0.99868196,152.493774,13.748486,336.569153,140.475708
46868_12547,ASCUS,0.011756,HSIL,0.999796,304.090179,286.212769,377.174652,364.337097
46868_12547,LSIL,0.020421,SCC,0.9145267,216.796021,324.708649,287.581635,406.115448
48084_27139,LSIL,0.092930,LSIL,0.99971646,12.880127,6.983459,534.985352,603.651123
33492_15587,ASCUS,0.035572,LSIL,0.608776,336.724670,471.579742,422.861511,544.917114
37748_21059,ASCUS,0.017758,LSIL,0.99978465,1.000000,1.000000,608.000000,608.000000
37140_27747,ASCUS,0.016674,LSIL,0.9999745,1.000000,1.000000,608.000000,608.000000
6132_25315,ASCUS,0.031372,LSIL,0.44039348,173.733978,95.195862,608.000000,568.493652
12212_49027,ASCUS,0.006194,SCC,0.6595612,470.690582,256.222656,512.207520,303.917480
48692_53891,ASCUS,0.006974,LSIL,0.9968843,55.496826,1.000000,554.756104,608.000000
51124_32003,LSIL,0.210797,LSIL,0.9997222,3.885803,41.510681,608.000000,569.970886
54772_44771,LSIL,0.050635,LSIL,0.71895945,1.000000,1.000000,608.000000,608.000000
9780_20451,ASCUS,0.097909,SCC,0.95197135,203.038422,356.666138,287.429108,470.423279
9780_20451,LSIL,0.007765,SCC,0.9999999,201.061829,367.031860,289.699097,472.082642
52340_23491,LSIL,0.307766,LSIL,0.999998,42.565704,2.124451,568.949951,604.610291
28020_33219,ASCUS,0.010163,LSIL,0.9999968,457.135437,3.551373,563.554138,101.332062
28020_55715,ASCUS,0.014923,LSIL,0.9999982,66.873688,10.850128,543.952881,599.440796
37748_45379,ASCUS,0.110503,LSIL,0.9999902,262.985291,7.413990,356.018127,63.542858
22548_57539,ASCUS,0.009635,LSIL,0.99993706,28.833893,1.000000,581.778809,608.000000
14036_53891,ASCUS,0.425757,ASCUS,0.65270436,312.638092,9.082306,367.948456,64.224380
30452_44163,LSIL,0.332613,LSIL,0.99999106,41.041138,1.000000,572.547974,608.000000
45044_19235,ASCUS,0.009815,LSIL,0.9997392,102.993820,40.418213,503.982605,503.142151
37140_16195,LSIL,0.417948,LSIL,0.52996707,317.093140,27.080452,427.594177,144.827667
52340_41123,LSIL,0.080291,LSIL,0.9999994,1.000000,69.852859,608.000000,543.153442
12820_49027,HSIL,0.192441,HSIL,0.9689689,303.638000,568.459229,378.188904,608.000000
57204_14979,ASCUS,0.020625,LSIL,0.5927065,100.080566,1.000000,450.767639,608.000000
62068_49027,ASCUS,0.176535,ASCUS,0.9999672,1.000000,20.937546,69.180046,97.302872
9172_39299,ASCUS,0.104126,HSIL,0.9962297,158.582657,218.229462,217.283218,306.818146
48692_38691,LSIL,0.084485,LSIL,0.9993901,88.720398,40.875854,582.763733,558.747192
53556_14979,ASCUS,0.015369,LSIL,0.34297648,28.101685,1.000000,450.967957,481.152222
53556_14979,LSIL,0.288601,LSIL,0.8693364,28.101685,1.000000,450.967957,481.152222
62068_35651,ASCUS,0.014063,LSIL,0.96548647,1.000000,1.000000,608.000000,608.000000
17684_10115,LSIL,0.085607,SCC,0.94891256,230.810486,293.182739,290.188660,423.058777
53556_25923,LSIL,0.146294,LSIL,1.0,412.609283,155.358078,525.931641,254.748611
50516_59971,LSIL,0.073924,LSIL,0.9999994,197.993286,46.421875,603.250977,443.292480
29844_42947,ASCUS,0.007749,LSIL,0.99989784,75.525238,35.967010,595.194092,575.561646
29844_42947,LSIL,0.404585,LSIL,0.99994993,75.525238,35.967010,595.194092,575.561646
42612_58147,LSIL,0.846631,LSIL,0.9991097,459.481323,359.953430,559.041443,481.316711
42612_58147,LSIL,0.222989,LSIL,0.7496862,491.233887,396.757050,556.246460,475.045441
42612_58147,LSIL,0.050684,LSIL,0.99994946,444.814056,385.753387,508.022552,457.023407
25588_52067,ASCUS,0.014607,LSIL,0.8684001,13.863964,235.584732,110.184677,332.445160
24372_64227,HSIL,0.353633,HSIL,1.0,336.815002,393.662537,406.464050,463.290344
48084_16195,ASCUS,0.040363,LSIL,0.33149952,1.000000,27.949570,608.000000,506.091248
54164_21667,ASCUS,0.011530,LSIL,1.0,20.942474,1.000000,590.064941,608.000000
29236_58147,LSIL,0.091664,LSIL,0.9992976,434.495453,369.224030,537.755005,487.259552
5524_30787,HSIL,0.138800,HSIL,0.9637369,271.386536,25.033451,395.056580,145.166412
45652_27139,LSIL,0.247295,LSIL,0.9879832,17.722260,1.000000,587.834717,608.000000
4308_26531,ASCUS,0.034452,SCC,0.5853711,246.667358,448.196899,343.027283,520.060730
15252_18019,ASCUS,0.025570,LSIL,0.99851245,72.064789,1.000000,600.190063,550.631042
24372_48419,LSIL,0.222739,LSIL,1.0,81.358871,1.000000,538.004028,608.000000
28628_58147,ASCUS,0.007932,LSIL,0.9859634,31.097565,7.714386,580.100952,604.152588
19508_49635,LSIL,0.005688,SCC,0.9999993,242.546219,334.528687,340.808258,490.235657
19508_49635,SCC,0.934163,SCC,0.99892277,240.260254,252.375931,332.026672,350.532471
7348_40515,ASCH,0.005541,SCC,0.97677976,181.359619,291.988922,323.407928,405.962372
35924_49027,ASCUS,0.013194,LSIL,0.9999995,1.000000,1.000000,595.506592,566.796265
14644_29571,ASCUS,0.007167,SCC,0.9999995,555.790710,385.283752,608.000000,535.965210
4308_44771,ASCUS,0.115242,ASCUS,0.9979997,140.229202,157.440033,223.336868,301.715332
4308_44771,LSIL,0.005503,HSIL,1.0,140.229202,157.440033,223.336868,301.715332
4308_44771,HSIL,0.869512,HSIL,0.9998598,471.364716,530.468689,545.847656,582.943542
11604_51459,ASCUS,0.029931,HSIL,0.9741451,170.622040,536.054199,242.745453,593.655273
11604_51459,HSIL,0.115505,SCC,0.9999982,101.174072,336.879089,166.043915,393.642517
43220_43555,ASCUS,0.010911,LSIL,0.98779804,127.211090,170.138885,548.250610,562.925903
43220_43555,LSIL,0.151670,LSIL,0.98001224,13.514946,165.783386,125.495918,277.583801
57812_44163,LSIL,0.037074,HSIL,0.99236006,458.166779,150.656723,527.723633,227.390671
26804_55107,ASCUS,0.008980,LSIL,1.0,1.000000,52.570663,608.000000,561.891846
41396_30179,LSIL,0.467865,LSIL,0.9999975,20.595306,1.000000,598.298462,608.000000
10388_52675,LSIL,0.054261,SCC,0.9999254,307.358612,129.062454,408.100372,217.332321
10388_26531,ASCUS,0.007297,LSIL,0.9999678,1.000000,1.000000,603.825317,608.000000
17684_30179,ASCUS,0.006634,LSIL,0.7904966,48.429764,47.967606,506.569702,558.346436
61460_51459,ASCUS,0.477072,ASCUS,0.9990396,193.425507,56.287712,343.757782,146.884674
22548_36867,ASCUS,0.011886,LSIL,0.99921036,179.995773,57.874634,319.682739,309.315308
3700_39907,ASCUS,0.043020,SCC,0.99980885,390.838196,512.815125,466.038818,569.998230
18292_59971,ASCUS,0.113264,ASCUS,0.7576041,182.582642,89.883057,239.450073,156.106598
10996_27139,ASCUS,0.008235,SCC,0.9999989,195.260361,3.294857,327.794189,72.615021
26804_21667,LSIL,0.286345,LSIL,0.8921118,1.000000,36.518707,608.000000,510.903534
17684_27747,ASCUS,0.095593,ASCUS,0.9997539,301.985687,2.115772,395.109772,105.022247
52948_53283,ASCUS,0.007447,LSIL,0.72100735,317.239471,53.061028,381.328156,115.749947
31668_25315,ASCUS,0.008682,LSIL,0.9999995,7.304901,1.000000,608.000000,451.488281
59028_44771,LSIL,0.396463,LSIL,0.9999261,25.338074,1.000000,579.193237,608.000000
33492_49635,LSIL,0.160759,LSIL,0.9908798,87.800278,1.000000,597.653442,608.000000
45044_63011,ASCUS,0.048935,LSIL,0.7994601,1.000000,111.019348,605.255737,561.108337
45044_63011,ASCUS,0.005357,LSIL,0.99975485,267.989227,1.000000,380.922516,93.337738
38964_17411,ASCUS,0.008807,LSIL,0.8939862,92.963562,1.000000,608.000000,608.000000
38964_17411,LSIL,0.274267,LSIL,0.5685273,201.966995,34.000458,544.353027,452.339874
29844_32611,ASCUS,0.028162,LSIL,1.0,67.038147,40.293137,549.040588,500.352539
49300_38691,ASCUS,0.006864,LSIL,0.99998343,17.000061,39.723999,531.128113,567.351929
10388_18627,ASCUS,0.011289,ASCUS,0.9940844,292.310486,176.257324,453.916016,360.323608
10388_18627,ASCUS,0.173790,LSIL,0.99675214,217.384949,290.006134,291.342072,372.491608
20116_55715,ASCUS,0.010024,LSIL,0.90174544,59.643204,186.106598,269.449829,336.111420
10996_58755,SCC,0.718490,SCC,0.99677855,166.844681,85.705765,268.445648,410.586121
28020_53283,LSIL,0.078600,LSIL,1.0,63.386658,24.258484,608.000000,586.414062
42004_32611,ASCUS,0.005275,LSIL,0.978844,58.352264,1.000000,563.272827,554.943848
22548_59363,LSIL,0.430064,LSIL,0.37442362,94.700531,69.038559,575.028442,539.539734
41396_27139,ASCUS,0.008940,LSIL,0.99810284,1.486420,20.896515,608.000000,582.799438
28020_34435,LSIL,0.302472,LSIL,0.999762,1.000000,38.158096,564.782837,504.281799
27412_11331,LSIL,0.550560,LSIL,0.9991518,100.461884,1.000000,507.327545,566.195068
18292_19843,ASCUS,0.011462,LSIL,1.0,41.047226,1.000000,399.617920,608.000000
22548_42947,ASCUS,0.029152,LSIL,1.0,94.597656,25.193146,578.465576,571.566895
54164_47203,ASCUS,0.016388,LSIL,0.9997271,65.314896,279.231201,484.578430,525.434998
14036_15587,LSIL,0.050268,LSIL,0.9018019,133.916229,496.868927,191.270111,536.938232
14036_27139,ASCUS,0.008014,ASCUS,0.967704,304.915344,144.497543,457.072021,231.882248
66324_26531,ASCUS,0.011276,LSIL,0.99188024,370.979034,442.571045,470.112579,544.146301
66324_26531,ASCUS,0.015776,LSIL,0.99825567,289.831177,554.747375,375.154114,606.239807
66324_26531,LSIL,0.102813,LSIL,0.9993086,311.805298,480.201965,386.350586,556.911682
