x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
13945_39345,ASCUS,0.009289,LSIL,0.8851489,462.404572,98.389908,541.420227,264.116699
30361_7121,ASCH,0.005841,HSIL,0.9472734,9.925568,1.000000,465.148193,569.067017
41913_42385,LSIL,0.068439,LSIL,0.9974963,223.681961,477.205505,313.393738,603.792664
43737_24753,LSIL,0.324368,LSIL,0.73708063,434.005249,456.830963,537.206177,543.422913
15161_15633,ASCH,0.116157,HSIL,0.9800496,80.856354,1.000000,469.894806,466.708221
6041_38129,ASCH,0.024799,HSIL,0.9077266,13.769806,89.760773,608.000000,608.000000
7257_25969,ASCH,0.023565,HSIL,0.7528823,1.000000,115.628906,328.330933,499.201904
17593_24145,LSIL,0.194353,LSIL,0.832821,293.287964,414.157349,403.160889,520.459839
35225_51505,LSIL,0.484560,LSIL,0.7689421,234.149216,320.690918,319.522186,440.929626
35225_51505,LSIL,0.365068,LSIL,0.89310694,290.445099,179.965210,375.856537,293.610840
35225_51505,LSIL,0.256582,LSIL,0.9925532,223.095154,225.174500,316.375122,330.024658
41305_36913,HSIL,0.511115,HSIL,0.56334513,231.512680,240.541321,354.159515,377.022644
14553_41169,LSIL,0.249596,LSIL,0.4902006,121.608017,209.422913,410.587280,452.909668
47993_25969,LSIL,0.006624,HSIL,0.7754401,8.485497,345.855133,145.603119,433.354095
16985_38129,HSIL,0.256841,HSIL,0.99963295,15.270195,115.143272,71.883354,168.936478
14553_44209,HSIL,0.969381,HSIL,0.99630946,77.888916,21.479248,608.000000,607.575684
12729_33265,ASCUS,0.047393,LSIL,0.88026154,14.806263,191.621613,89.621948,362.390778
18201_15633,ASCUS,0.005448,LSIL,0.87670654,111.265900,369.956146,171.374268,439.619110
41305_38737,HSIL,0.687275,HSIL,0.9805204,222.073517,346.353546,375.877472,598.176758
38873_38129,ASCUS,0.021443,ASCH,0.5193172,1.000000,8.518280,500.652649,534.117920
10297_42385,ASCUS,0.007989,HSIL,0.99997354,5.544220,396.518616,102.983620,526.357910
23673_22321,HSIL,0.541888,HSIL,0.94442815,74.828659,347.969482,271.277771,509.995728
10905_39953,HSIL,0.260192,HSIL,0.9999968,107.966087,383.288940,176.452637,472.896057
20025_5297,HSIL,0.200381,HSIL,0.9997205,122.244995,310.121033,403.095215,472.363220
50425_19281,HSIL,0.102791,HSIL,0.9715845,111.119202,500.730835,168.430481,580.050415
9081_34481,HSIL,0.219039,HSIL,0.9996253,207.578827,427.581360,266.971588,482.212280
36441_4689,LSIL,0.011468,HSIL,0.8849093,12.362137,175.137756,156.664383,263.919037
30361_52721,HSIL,0.073054,HSIL,0.47150686,291.627075,73.797623,345.851562,145.952423
47385_15025,HSIL,0.834082,HSIL,0.93069685,53.281601,120.363663,507.715332,608.000000
21849_46641,ASCH,0.010874,HSIL,0.9949528,520.924988,301.833374,608.000000,608.000000
49209_16849,ASCH,0.006278,HSIL,0.86588943,380.549408,59.406097,566.144165,280.356293
49209_16849,HSIL,0.686378,HSIL,0.99729294,380.549408,59.406097,566.144165,280.356293
15769_18673,ASCUS,0.190717,LSIL,0.95276207,263.095123,93.907898,493.072357,595.551025
