x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
44045_19217,LSIL,0.433794,LSIL,0.9864639,296.005859,291.348633,418.160034,389.720215
11213_31985,ASCUS,0.006044,ASCUS,0.6760014,8.142352,202.042526,36.475979,241.226730
11213_31985,ASCUS,0.133443,ASCUS,0.5971038,74.928253,219.785767,124.153198,272.551422
25805_34417,HSIL,0.176700,HSIL,0.97763556,428.203125,502.141815,474.215027,546.805603
42221_31377,ASCH,0.094614,HSIL,0.99892163,1.000000,213.730850,90.906967,356.406860
33101_25905,ASCUS,0.286920,ASCUS,0.938194,198.541229,525.311279,262.272339,605.652832
17901_20433,ASCUS,0.182133,ASCUS,0.8548602,46.822968,388.997955,203.146515,580.742920
34925_28337,ASCUS,0.006696,HSIL,0.95263183,338.782471,219.743240,518.051941,365.775146
44045_24689,ASCUS,0.068850,ASCUS,0.7462346,238.439362,213.991180,330.390594,355.597992
10605_41105,ASCH,0.060853,ASCH,0.9900642,29.088310,5.160576,221.595215,181.536957
37965_9489,HSIL,0.173535,HSIL,0.999642,259.571350,533.326416,311.603577,580.328125
29453_26513,LSIL,0.091902,LSIL,0.9771952,381.764008,372.322754,572.886353,533.616150
41613_14961,ASCUS,0.770952,ASCUS,0.9333993,252.788712,218.582092,492.554443,334.742126
19725_45361,ASCUS,0.006134,HSIL,0.9995753,81.908195,3.869232,152.357666,85.620560
14253_31985,ASCH,0.064407,HSIL,0.9971825,548.492371,439.900604,596.238708,478.513580
39789_11313,ASCH,0.129026,HSIL,0.9999889,184.753754,478.097595,238.149200,535.766052
29453_51441,ASCH,0.045657,HSIL,0.943152,203.218292,220.984039,335.520660,332.542389
36141_46577,ASCUS,0.085688,ASCUS,0.656739,2.335049,57.770241,101.739655,178.494476
38573_42321,ASCUS,0.005110,HSIL,0.90247357,17.579153,292.818420,53.919868,341.730042
16077_23473,ASCUS,0.009289,ASCH,0.40465558,228.436081,140.259247,340.955078,237.107666
39789_45361,ASCUS,0.033055,ASCUS,0.67560345,461.234619,330.553192,556.286377,432.542450
40397_25297,ASCUS,0.013198,HSIL,0.99915934,99.649841,225.593750,136.827515,278.711334
20941_23473,HSIL,0.366798,HSIL,0.9997235,484.594330,45.046703,550.223083,94.345490
50125_23473,SCC,0.065730,SCC,0.9610167,197.878342,436.645020,229.991989,608.000000
25805_38673,ASCH,0.017828,HSIL,0.93058217,537.789978,345.591705,578.332214,384.702057
41613_16177,ASCUS,0.154934,ASCUS,0.61763,182.247101,157.876770,340.110748,299.418793
13645_9489,LSIL,0.060182,LSIL,0.54107386,106.097870,117.427979,262.291962,375.076752
27021_24689,HSIL,0.397410,HSIL,0.9999782,359.155243,478.093262,424.313019,567.488525
14861_33201,HSIL,0.053238,HSIL,0.9991105,32.888023,159.954742,75.223999,198.462708
40397_15569,ASCUS,0.009705,HSIL,0.99319965,424.613861,386.578125,529.970825,535.010010
25805_22865,ASCH,0.007007,HSIL,0.99993646,211.711639,557.314758,264.663330,594.001160
11213_38065,ASCH,0.695357,ASCH,0.9983734,198.811920,283.243317,337.925812,525.803101
44653_13745,HSIL,0.051780,HSIL,0.9978035,141.211884,422.610046,206.045197,499.348083
23981_36241,LSIL,0.811315,LSIL,0.99937004,218.464539,338.957703,383.198669,503.047852
33709_27729,ASCH,0.005654,HSIL,0.9998766,169.505829,546.742493,204.276245,579.014709
32493_49617,ASCH,0.010744,HSIL,0.771225,252.309814,306.607849,397.834656,455.500916
36141_10097,LSIL,0.054209,LSIL,0.5462742,134.197784,103.741188,299.217407,298.912811
12429_11313,ASCUS,0.005253,HSIL,0.9972801,149.147766,251.505020,245.977020,414.180969
4525_20433,ASCUS,0.733865,ASCUS,0.99961394,17.053864,205.060333,348.693542,357.519012
19725_11921,ASCUS,0.155488,ASCUS,0.9942526,233.351624,34.308807,401.977234,167.879288
30669_30769,HSIL,0.120285,HSIL,0.9105724,484.092896,328.135773,531.458740,369.861542
33101_50833,HSIL,0.219825,HSIL,0.9997782,443.710388,555.471802,511.960327,594.562744
8173_24689,HSIL,0.469919,HSIL,0.5460411,421.298431,515.119080,456.210419,550.374573
37965_49617,HSIL,0.088133,HSIL,0.9999826,154.111206,47.617943,220.144073,122.159264
19725_47185,ASCUS,0.914610,ASCUS,0.9027176,190.854156,403.245850,378.137177,549.350342
19725_47185,LSIL,0.055519,LSIL,0.4882843,185.149414,405.042023,370.333496,561.894043
27629_24689,LSIL,0.026734,HSIL,0.989892,463.510803,57.237457,606.077087,316.413452
25805_33809,ASCUS,0.403875,ASCUS,0.5068966,59.637451,22.374092,253.614014,161.968781
20941_47793,ASCUS,0.894414,ASCUS,0.7012556,305.576965,45.725510,519.597229,203.066345
32493_50833,HSIL,0.120166,HSIL,1.0,48.132683,440.082764,84.711998,483.429260
37357_48401,LSIL,0.662899,LSIL,0.99227375,13.558014,271.395325,193.885803,489.643738
46477_32593,HSIL,0.093671,HSIL,0.9955623,506.248291,559.524963,544.488037,602.430115
46477_32593,HSIL,0.073557,HSIL,0.99789125,502.537781,309.593536,544.246643,341.541534
45261_17393,LSIL,0.443549,LSIL,0.94080555,180.866119,35.030396,311.834839,243.883698
43437_18001,ASCUS,0.211057,ASCUS,0.6159405,99.362808,224.579132,310.975586,330.877167
41005_13137,ASCUS,0.034177,LSIL,0.9661018,490.810608,118.572830,607.770935,274.898987
23373_33201,ASCUS,0.005796,HSIL,0.9959798,416.381836,395.059570,476.263977,480.700928
16077_21041,ASCUS,0.018357,HSIL,0.785707,327.533539,215.132980,367.341644,247.189682
16077_21041,ASCUS,0.010882,HSIL,0.7149478,363.980347,275.039246,394.644226,326.739380
30669_23473,ASCUS,0.047641,LSIL,0.36556524,17.661659,356.438080,169.425598,533.544434
32493_22865,ASCUS,0.972173,ASCUS,0.6221129,289.331757,140.691803,471.091400,286.583832
18509_28337,HSIL,0.051693,HSIL,0.99997735,374.676941,76.697754,404.756836,110.517624
