x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
22256_49176,ASCUS,0.553053,ASCUS,0.9542721,79.821953,350.949036,172.629639,460.311096
31984_12088,ASCUS,0.479156,ASCUS,0.9998559,131.591919,319.426208,277.013428,460.743896
20432_42488,ASCUS,0.164326,ASCUS,0.999949,445.864563,249.309753,538.406311,331.888916
26512_41272,ASCUS,0.265712,ASCUS,0.9708938,129.603745,491.571655,216.981186,592.285767
8272_41272,ASCUS,0.509423,ASCUS,0.9194028,315.913574,293.765900,464.141235,481.936127
8272_41272,ASCUS,0.385461,ASCUS,0.99866915,340.998077,151.152176,448.772369,258.379303
34416_16344,ASCUS,0.957870,ASCUS,0.99583226,282.307861,128.342117,413.997803,253.114426
36240_44920,ASCUS,0.065014,ASCUS,0.99945265,174.059265,13.016098,280.728882,107.041985
38672_46744,ASCUS,0.995859,ASCUS,0.99965274,292.153198,6.948242,390.736572,99.271393
11920_33368,ASCUS,0.876922,ASCUS,0.9410126,471.312958,236.363083,566.795837,336.129700
11920_33368,ASCUS,0.130248,ASCUS,0.9996829,4.412067,50.778877,87.515778,147.740723
21040_7832,ASCUS,0.926845,ASCUS,0.97117203,26.595139,125.637703,217.039017,338.989746
30768_43096,ASCUS,0.354060,ASCUS,0.9996203,320.548828,159.949005,440.519714,276.752319
44752_18776,ASCUS,0.082389,ASCUS,0.99994254,1.000000,186.445450,107.943069,305.939240
27120_40664,ASCUS,0.999277,ASCUS,0.9278346,405.985535,138.690094,549.116028,288.871185
27120_40664,ASCUS,0.993296,ASCUS,0.9978574,74.286499,472.020630,208.466583,608.000000
18608_41272,ASCUS,0.988268,ASCUS,0.9809441,236.809189,346.361115,515.178711,568.956421
42928_10264,ASCUS,0.140867,ASCUS,0.9645725,6.861298,22.988525,98.766373,193.848114
20432_7832,ASCUS,0.828937,ASCUS,0.9999968,117.193687,364.510620,225.323059,478.264465
44752_25464,ASCUS,0.856221,ASCUS,0.9999999,91.663483,88.486961,176.620911,212.248444
32592_44312,ASCUS,0.078224,ASCUS,0.99547833,408.289917,67.536270,497.944519,198.507736
23472_28504,ASCUS,0.969204,ASCUS,0.99115187,165.245529,155.192596,288.065247,268.030640
16784_13912,ASCUS,0.914381,ASCUS,0.9991812,131.320465,287.220428,243.663544,391.327179
38064_26680,ASCUS,0.996002,ASCUS,0.9976961,123.372826,152.979019,272.931549,273.437653
22256_32760,ASCUS,0.825375,ASCUS,0.9975031,407.360199,119.604614,531.845581,257.220215
8880_25464,ASCUS,0.572810,ASCUS,0.9994097,263.985718,455.313751,465.543945,578.748779
26512_45528,ASCUS,0.243148,ASCUS,0.7993696,45.183136,43.407089,125.405121,125.878647
45968_32152,ASCUS,0.876546,ASCUS,0.99994814,339.174438,175.766373,470.007874,278.333740
