x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
39370_38237,ASCUS,0.731853,ASCUS,0.97639954,474.771790,447.402832,590.898621,588.752930
21738_65597,ASCH,0.006877,HSIL,0.523476,17.294342,539.076782,168.989868,608.000000
40586_50397,ASCUS,0.036816,LSIL,0.9400885,17.901695,319.126007,167.709564,390.598785
40586_50397,LSIL,0.715557,LSIL,0.81985277,9.861847,371.962097,130.649857,423.969055
56394_33981,ASCUS,0.776937,ASCUS,0.96820974,200.229065,42.537468,369.664551,191.652649
46666_64381,ASCUS,0.071343,ASCUS,0.7445796,7.601814,326.794678,99.118950,435.408203
58826_10269,ASCUS,0.059077,ASCUS,0.6593235,149.407806,239.512009,308.784485,395.907166
16266_47357,ASCUS,0.738285,ASCUS,0.73016274,29.381439,337.755249,175.900085,504.710876
16266_47357,ASCUS,0.819861,ASCUS,0.9994087,209.747208,1.000000,328.584320,140.873077
16266_47357,ASCUS,0.040694,LSIL,0.65283114,297.395844,9.993187,386.810638,111.350243
41802_60733,ASCUS,0.005368,ASCUS,0.9988091,6.136879,368.932098,169.906128,604.338501
41802_60733,ASCUS,0.077918,LSIL,0.9872295,519.685242,4.065964,607.918396,117.450089
46666_13917,ASCUS,0.076345,LSIL,0.90065473,413.944489,360.415314,540.401001,465.024200
46666_13917,ASCUS,0.038065,LSIL,0.9991947,393.250214,479.956696,495.139008,604.209167
53354_30941,ASCUS,0.185782,ASCUS,0.89251107,261.049805,129.395889,452.715088,248.918900
31466_27901,ASCUS,0.012973,ASCUS,0.9847558,334.998047,194.670578,481.854126,432.126099
61258_38845,ASCUS,0.421582,ASCUS,0.9797593,464.805328,213.945877,586.646240,354.060913
34506_52829,ASCUS,0.007764,LSIL,0.99942565,240.821655,278.434631,442.084412,541.651855
13834_35197,ASCUS,0.007222,ASCUS,0.57751006,33.428444,222.159607,201.483643,397.310303
13834_35197,ASCUS,0.230454,LSIL,0.9986552,55.561470,354.478516,242.243011,503.375061
13834_35197,LSIL,0.072748,HSIL,0.9830199,33.428444,222.159607,201.483643,397.310303
38762_66205,ASCUS,0.873381,ASCUS,0.79108006,12.442406,274.349640,142.301605,422.300873
28426_30333,ASCUS,0.021764,LSIL,0.9999894,404.750549,278.421661,483.526855,370.908783
28426_30333,LSIL,0.257625,LSIL,0.9194356,136.793121,325.228882,288.391754,421.958130
21738_44925,ASCUS,0.038547,LSIL,0.9350456,27.064011,256.252502,91.878418,345.217834
57002_40061,ASCUS,0.018676,ASCUS,0.8230459,521.784302,381.680756,608.000000,460.176361
57002_23037,ASCUS,0.037480,LSIL,0.9847223,363.327606,333.706726,490.424164,577.864075
23562_22429,ASCUS,0.013924,LSIL,0.9988757,317.630585,433.904297,395.757538,501.437805
43626_27901,ASCUS,0.210863,ASCUS,0.9389303,299.362427,232.221817,448.078186,322.710876
52746_58909,ASCUS,0.010790,LSIL,1.0,180.778290,361.901581,294.050293,480.813629
34506_22429,ASCUS,0.724691,ASCUS,0.80011725,422.195099,134.673401,597.004761,274.918945
63082_41885,LSIL,0.020685,SCC,0.8291925,351.614563,492.807800,442.476685,591.144958
9578_36413,LSIL,0.805435,LSIL,0.9861666,82.304749,165.722717,353.247925,391.094788
19914_52829,ASCUS,0.366533,ASCUS,0.9953406,259.122681,288.547638,356.865906,357.959564
