x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
14959_31882,ASCUS,0.271716,ASCUS,0.99607444,1.000000,555.598572,76.106430,608.000000
42927_31882,ASCUS,0.991728,ASCUS,0.9999511,4.733025,90.885979,131.553833,286.022369
7055_23978,ASCUS,0.997260,ASCUS,0.9804606,324.417664,285.604919,452.843689,398.077759
39279_34314,ASCUS,0.085441,ASCUS,0.999992,542.264160,84.799500,607.855591,162.416702
44143_20938,ASCUS,0.990064,ASCUS,0.9999964,2.742332,118.589539,90.374443,210.918335
44143_20938,ASCUS,0.443356,ASCUS,0.9955272,101.053986,35.999794,243.303650,212.895599
44143_20938,ASCUS,0.093753,ASCUS,0.9940461,406.648468,219.234222,482.003387,318.969208
21647_32490,ASCUS,0.058611,ASCUS,0.989514,8.378956,264.766998,67.583893,318.837250
30767_6346,ASCH,0.058122,ASCH,0.96989554,111.392212,2.651087,187.089050,42.763641
36847_39786,ASCUS,0.014129,ASCUS,0.99998975,1.727089,127.695076,118.774200,251.187286
16783_41002,ASCUS,0.830327,ASCUS,0.9970402,413.708191,397.523315,493.969055,524.118469
16783_41002,ASCUS,0.997057,ASCUS,0.9999751,157.713531,118.224915,231.241180,258.890350
14351_30058,ASCUS,0.999836,ASCUS,0.99997175,364.953125,149.830688,489.460815,278.977020
49007_25802,ASCUS,0.958767,ASCUS,0.7109164,311.349548,80.440582,403.713806,215.750580
5839_18506,ASCUS,0.520637,ASCUS,0.96251255,77.605164,539.023499,174.452133,608.000000
26511_37354,ASCUS,0.995596,ASCUS,0.99958175,507.982422,10.320282,605.698730,160.454208
50831_23978,ASCUS,0.828616,ASCUS,0.984236,478.369232,198.596405,606.289429,371.555817
50831_23978,ASCUS,0.095417,ASCUS,0.99998486,441.364807,507.997253,528.715027,604.921204
25295_47690,ASCUS,0.210994,ASCUS,0.89262867,570.725525,381.429352,606.846375,477.014191
25295_47690,ASCUS,0.310318,ASCUS,0.99478346,244.979492,313.854767,324.436523,397.297638
30767_26410,ASCUS,0.016359,SCC,0.73709667,351.752625,141.972107,462.480713,387.667908
17391_23370,ASCUS,0.969582,ASCUS,0.99700207,352.791504,105.694656,444.804260,208.387527
42319_12426,ASCUS,0.997104,ASCUS,0.99962676,480.880859,338.806213,550.544189,436.209167
30767_41002,ASCUS,0.998680,ASCUS,0.97054213,306.610718,80.524590,388.206482,218.222961
30159_28234,ASCUS,0.998824,ASCUS,0.9998272,413.423828,95.721443,491.846252,230.096466
39279_41002,ASCUS,0.997812,ASCUS,0.5160119,385.952026,139.077774,492.657715,225.066483
39279_41002,ASCUS,0.550221,ASCUS,0.9542048,306.418182,566.366638,362.522186,608.000000
3407_24586,ASCUS,0.016660,ASCUS,0.9987766,442.506042,347.972168,496.894043,393.966858
11311_25802,ASCUS,0.998496,ASCUS,0.9995591,333.637726,436.219116,508.953156,595.134644
12527_44650,ASCUS,0.070224,ASCUS,0.920881,537.814636,127.990021,608.000000,204.646057
30159_13642,ASCUS,0.154938,ASCUS,0.9618033,519.496216,477.953613,574.272461,540.765137
33807_37962,ASCUS,0.591797,ASCUS,0.9990376,1.000000,236.172989,39.247803,317.394775
30159_48298,ASCUS,0.053431,ASCUS,0.7960998,163.867355,248.324921,432.579834,405.765533
39887_36138,ASCUS,0.928229,ASCUS,0.977111,399.970276,399.105560,471.796570,479.034149
