x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
37355_22763,ASCUS,0.115462,ASCUS,0.9999993,537.733154,129.677734,606.544434,263.155731
37355_22763,ASCUS,0.053059,ASCUS,0.9999733,434.520905,460.391693,533.164673,604.796143
31883_28235,ASCUS,0.180284,ASCUS,0.9933227,443.188385,365.530792,573.512817,461.284088
21547_30667,ASCUS,0.253280,ASCUS,0.99999046,1.000000,256.042786,74.518517,343.701172
21547_30667,ASCUS,0.054809,ASCUS,0.9999999,481.956024,7.037334,586.212097,129.343796
12427_39787,ASCUS,0.555030,ASCUS,0.9999987,353.065186,295.644104,473.131714,402.974792
12427_39787,ASCUS,0.444041,ASCUS,0.9982253,474.349030,383.878662,572.137146,487.809448
12427_39787,ASCUS,0.052821,ASCUS,0.9975508,444.418365,37.762619,559.116272,134.388474
4523_26411,ASCUS,0.136315,ASCUS,0.9033024,165.336563,113.710876,274.763428,232.527405
4523_26411,ASCUS,0.094439,ASCUS,0.9997671,5.422592,337.772278,115.881470,439.702454
24587_3307,ASCUS,0.798719,ASCUS,0.9552416,58.605270,351.258270,237.681992,473.010956
24587_3307,ASCUS,0.991032,ASCUS,0.98354775,341.529846,214.155228,564.215210,356.152344
41003_36139,ASCUS,0.694983,ASCUS,0.99825364,350.414185,352.010010,475.491333,458.349548
41003_36139,ASCUS,0.651046,ASCUS,0.9833296,92.927826,62.853283,204.313446,185.245163
20939_42219,ASCUS,0.311041,ASCUS,0.90224755,5.236561,427.607025,71.652908,480.761688
34923_17291,ASCUS,0.083256,ASCUS,0.6260125,369.514221,305.838135,411.601501,378.392944
34923_17291,ASCUS,0.162048,ASCUS,0.9995202,249.290497,20.027798,339.015656,131.811859
34923_17291,ASCUS,0.069052,ASCUS,0.87427634,313.867004,377.848938,366.965942,429.547668
28843_40395,ASCUS,0.174733,ASCUS,1.0,322.142426,51.322578,439.666779,117.929497
28843_40395,ASCUS,0.066657,ASCUS,0.99780875,335.080719,6.475311,425.883209,64.635742
28843_11211,ASCUS,0.183307,ASCUS,0.93313545,298.630676,398.752502,478.991638,570.034241
20331_41003,ASCUS,0.887803,ASCUS,0.7894674,227.740143,2.230354,454.260406,133.814484
20331_41003,ASCUS,0.070596,ASCUS,0.99996483,172.663086,525.391418,240.159943,606.757996
37355_25195,ASCUS,0.015027,ASCUS,0.9993457,309.905151,297.186462,604.118469,522.157837
24587_23371,ASCUS,0.969858,ASCUS,0.9999485,182.919357,200.937485,246.819839,351.965454
20331_36747,ASCUS,0.996629,ASCUS,0.9801593,254.954330,133.843796,360.978851,259.812958
20331_36747,ASCUS,0.893029,ASCUS,0.99998987,388.658203,190.291412,468.362732,254.824310
20331_36747,ASCUS,0.680433,ASCUS,0.9998723,350.986298,160.878036,426.233063,235.383102
20331_36747,ASCUS,0.222820,ASCUS,0.9952178,215.365021,175.246552,292.406067,249.131378
31883_25195,ASCUS,0.007948,ASCUS,0.9648303,174.000793,141.310699,239.212067,284.427185
31883_25195,ASCH,0.259847,HSIL,0.86008626,174.000793,141.310699,239.212067,284.427185
23979_25195,ASCUS,0.472377,ASCUS,0.99999964,491.817322,512.726257,559.601501,583.696960
23979_25195,ASCUS,0.313134,ASCUS,0.9995553,46.100708,205.397064,137.903275,303.698914
11819_27627,ASCUS,0.901919,ASCUS,0.8847341,224.227386,272.283783,330.978302,441.139374
11819_27627,ASCUS,0.078194,ASCUS,0.99933344,395.717834,410.568634,511.611511,543.122803
13035_27627,ASCH,0.052628,HSIL,0.97713417,140.191605,472.398438,226.234573,549.542603
27019_27627,ASCUS,0.686254,ASCUS,0.9983784,395.664612,78.683090,445.222656,169.926651
27019_27627,ASCUS,0.563803,ASCUS,0.99553114,276.287903,409.319519,469.058594,543.438171
27019_27627,ASCUS,0.075126,ASCUS,0.93155396,27.545700,218.539001,222.290787,350.911499
27019_27627,ASCUS,0.061503,ASCUS,0.99990165,430.276337,73.505447,510.230133,147.045593
23371_41611,ASCUS,0.306386,ASCUS,0.999071,168.587662,75.330048,274.784851,177.323685
39179_34923,ASCUS,0.296839,ASCUS,0.9740615,329.315338,283.653259,386.357513,382.655151
39179_34923,ASCUS,0.933596,ASCUS,0.57262516,359.160095,255.038498,450.193909,362.292877
39179_34923,ASCUS,0.702558,ASCUS,0.99961853,272.653564,388.110260,378.970276,503.337799
39179_34923,ASCUS,0.066266,ASCUS,0.99921095,183.196930,136.414825,387.170013,258.355286
30667_47083,ASCUS,0.125598,ASCUS,0.9985581,332.573486,84.138458,444.874451,180.746216
30667_47083,ASCUS,0.123110,ASCUS,0.9935364,339.229401,149.778000,454.796478,260.558472
30667_47083,ASCUS,0.096222,ASCUS,0.9901579,242.881775,226.920990,343.927124,359.366119
30667_47083,ASCUS,0.065982,ASCUS,0.97932726,429.289642,36.586906,541.480469,150.957123
23979_10603,ASCUS,0.608005,ASCUS,0.6947769,253.630875,316.042847,411.870789,463.391296
13035_15467,ASCUS,0.042826,ASCUS,0.9999902,264.281982,95.664650,335.635315,157.104111
39179_33707,ASCUS,0.293975,ASCUS,0.99966216,415.499115,54.688725,473.754059,145.266571
39179_33707,ASCUS,0.348080,ASCUS,0.9984059,484.953735,16.368923,551.057129,76.542694
39179_33707,ASCUS,0.152863,ASCUS,0.9598228,372.375305,493.442902,457.160828,552.499878
39179_33707,ASCUS,0.109079,ASCUS,0.65911627,44.232338,448.273865,190.792236,602.898132
34923_28235,ASCUS,0.932301,ASCUS,0.99992514,79.239761,398.893951,141.774139,492.441132
34923_28235,ASCUS,0.916759,ASCUS,0.99997544,428.106659,223.737015,522.340149,298.302399
34923_28235,ASCUS,0.867419,ASCUS,0.9999467,11.273438,293.842468,96.074493,390.877014
34923_28235,ASCUS,0.551740,ASCUS,0.9999939,72.945038,316.897644,141.252518,393.400635
34923_28235,ASCUS,0.495668,ASCUS,0.99999964,510.414093,181.494690,588.862549,257.045532
34923_28235,ASCUS,0.277654,ASCUS,0.99656796,499.419617,73.005035,597.762878,178.616379
34923_28235,ASCUS,0.244580,ASCUS,0.9999175,105.045578,435.834442,180.209549,517.103271
34923_28235,ASCUS,0.229766,ASCUS,0.9712399,532.468994,106.222290,597.005737,174.413361
34923_28235,ASCUS,0.224028,ASCUS,0.99860424,472.688995,261.989716,575.895081,385.785065
34923_28235,ASCUS,0.216855,ASCUS,0.9679046,74.218216,156.032150,177.058029,220.061417
39787_30059,ASCUS,0.460266,ASCUS,1.0,421.552002,411.991730,516.078308,474.925751
39787_30059,ASCUS,0.156964,ASCUS,0.9673264,389.019684,359.067261,437.034210,436.017761
