x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
6141_6212,ASCUS,0.097254,ASCUS,0.999637,28.063751,1.000000,582.272827,608.000000
15869_35396,LSIL,0.009574,HSIL,0.992528,82.314186,247.334442,166.572662,385.758331
14045_18980,ASCUS,0.007201,LSIL,0.989988,1.000000,226.590912,373.376404,562.016724
38365_59108,ASCUS,0.026080,LSIL,0.806705,97.453102,25.942871,337.827545,471.140991
55997_25060,LSIL,0.025025,SCC,1.0,212.823257,108.287727,314.380737,329.299011
12829_3172,ASCUS,0.084726,ASCUS,0.999359,1.000000,1.000000,608.000000,608.000000
51741_43908,LSIL,0.005034,ASCH,0.989988,159.926132,192.409363,511.124023,608.000000
51741_43908,ASCH,0.007591,HSIL,0.452774,112.279800,182.455231,496.870972,608.000000
10397_23844,ASCUS,0.036188,SCC,1.0,529.296509,32.307968,579.059692,90.195946
58429_22020,ASCUS,0.134542,ASCUS,0.78506,1.511993,1.000000,607.171509,608.000000
18301_26276,ASCUS,0.008012,LSIL,0.782587,263.564484,445.518036,338.398651,508.097626
42013_36612,LSIL,0.020337,HSIL,0.999954,129.670166,81.394775,539.315918,463.968445
30461_56068,ASCUS,0.150965,ASCUS,0.980451,71.779884,5.528156,115.827324,67.690140
58429_20196,ASCUS,0.208185,ASCUS,1.0,79.512787,1.000000,588.881836,608.000000
35325_18372,LSIL,0.012033,HSIL,0.999997,1.000000,28.863770,608.000000,583.720337
32893_15332,ASCH,0.007467,HSIL,0.999699,280.901215,9.690689,480.954071,160.104416
18909_52420,LSIL,0.021501,SCC,0.99952,91.302872,540.984558,145.595093,606.515442
42013_26884,LSIL,0.134570,LSIL,0.921183,372.549927,160.870483,484.282471,313.627106
49917_42084,ASCH,0.026065,HSIL,1.0,429.107758,158.858154,473.642548,200.357727
49917_42084,HSIL,0.272330,HSIL,0.99997,378.517578,38.809296,428.534119,95.030411
20733_32356,ASCUS,0.008115,LSIL,1.0,348.551941,202.427261,591.627808,419.095703
54173_15332,ASCUS,0.069506,ASCUS,1.0,42.874664,1.000000,608.000000,608.000000
19517_53636,ASCUS,0.008584,HSIL,0.565607,338.898743,16.276140,394.287537,69.629768
19517_53636,HSIL,0.176972,HSIL,0.710968,237.699539,315.781189,300.557739,362.983276
48093_17156,LSIL,0.094035,LSIL,0.999947,124.073395,40.690437,237.319733,161.903778
24989_47556,ASCUS,0.214978,ASCUS,0.991269,126.300163,143.824005,315.688110,281.828430
12221_49380,LSIL,0.006160,SCC,0.50456,1.000000,175.686081,45.949955,297.670258
48093_31748,LSIL,0.011008,SCC,0.580349,162.775116,8.446312,305.503662,232.578979
54173_11076,ASCUS,0.273424,ASCUS,1.0,1.000000,1.000000,603.670410,608.000000
42621_17156,ASCUS,0.052177,ASCUS,0.909127,1.000000,1.000000,608.000000,608.000000
24381_8644,LSIL,0.267377,LSIL,0.996236,64.066467,226.489014,364.928345,581.469299
34717_43300,HSIL,0.207440,HSIL,0.998789,14.041649,355.536987,74.947960,409.910767
19517_9252,ASCH,0.006530,HSIL,0.698941,192.538712,76.805496,252.724045,141.929169
11613_31140,ASCUS,0.008467,SCC,0.999912,410.134979,251.335922,559.630737,399.424133
11613_31140,LSIL,0.029011,SCC,0.994707,341.621887,203.359283,436.356384,272.699707
50525_6820,ASCUS,0.307686,ASCUS,0.997018,2.935028,1.000000,602.572021,608.000000
22557_6820,SCC,0.104541,SCC,1.0,180.345642,313.924194,341.386902,384.262024
