x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
43635_24855,HSIL,0.653285,HSIL,0.99999654,20.638184,156.163895,284.786530,407.925293
33299_18167,HSIL,0.535534,HSIL,1.0,155.407898,498.573639,285.007080,601.515991
36947_32151,ASCUS,0.013434,SCC,0.9998964,137.442017,505.040497,273.140839,608.000000
7155_20599,LSIL,0.121603,LSIL,1.0,48.544357,375.162048,153.890686,515.052917
49107_27287,ASCH,0.007848,HSIL,1.0,347.270142,322.991119,593.799133,585.679443
22963_50391,ASCH,0.007599,HSIL,0.9958417,407.318787,383.382874,514.708679,505.673401
22963_43095,HSIL,0.128273,HSIL,1.0,241.562286,1.000000,608.000000,470.560791
27219_32759,HSIL,0.949772,HSIL,1.0,47.592224,476.464081,154.014465,590.754883
43635_45527,HSIL,0.564079,HSIL,0.52959234,454.062073,330.941467,566.909729,448.964539
49715_27287,HSIL,0.693938,HSIL,0.9130748,70.307442,2.019485,212.244904,150.660782
33907_37623,ASCH,0.007073,HSIL,0.99515015,172.274185,280.609283,413.039978,571.408569
29043_4791,HSIL,0.057193,HSIL,0.8614944,478.231995,110.756439,603.714905,251.960144
38771_33367,ASCUS,0.005747,ASCUS,0.93837184,328.760345,42.775990,400.324738,108.472305
38771_33367,ASCUS,0.103243,ASCUS,0.9946201,349.532623,6.259745,428.235016,52.451210
38771_33367,ASCUS,0.360818,ASCUS,0.9705455,430.587250,116.923660,521.223694,213.627975
38771_33367,ASCH,0.567656,HSIL,0.9999676,426.269012,116.101814,513.473267,214.678589
27827_38231,LSIL,0.005622,HSIL,0.9999378,10.268311,34.949509,228.567383,466.977478
14451_22423,HSIL,0.067040,HSIL,0.9822907,410.136108,78.047813,444.567139,141.668182
39379_43703,ASCH,0.040545,HSIL,0.9859206,133.722580,503.818970,211.656326,562.756592
29043_40055,HSIL,0.279307,HSIL,0.9997776,182.575821,507.907623,419.207092,608.000000
20531_48567,HSIL,0.197598,HSIL,0.99450785,101.699493,417.502319,176.497406,474.140381
41203_41271,HSIL,0.461577,HSIL,0.99998367,551.280457,254.231049,608.000000,442.703705
34515_4791,ASCH,0.030930,HSIL,0.67290103,129.069519,35.585190,265.865814,215.691055
34515_4791,HSIL,0.696891,HSIL,1.0,136.034409,50.306427,273.177063,215.066376
9587_32759,LSIL,0.019691,HSIL,1.0,27.539062,1.000000,587.365417,608.000000
32691_7831,HSIL,0.099041,HSIL,0.999899,17.768585,417.133911,150.424118,601.753479
47891_18167,ASCH,0.006566,HSIL,0.99981433,542.689880,544.526245,585.925598,587.783203
10195_19383,ASCH,0.011526,HSIL,0.99912053,23.239799,8.348000,162.166931,160.543823
27827_26679,ASCH,0.014931,HSIL,0.99127126,21.783012,1.000000,258.608337,407.763702
19315_38839,ASCUS,0.014106,LSIL,0.61995053,29.705116,411.821869,171.761078,591.128418
32691_15735,ASCH,0.023880,HSIL,1.0,81.028809,23.841934,352.134430,315.663513
25395_28503,ASCH,0.017677,HSIL,1.0,436.237091,103.139435,608.000000,364.356506
12627_31543,ASCH,0.026338,HSIL,0.9780728,317.288605,410.307617,544.650635,515.909363
43635_27895,HSIL,0.254803,HSIL,0.99920183,41.672302,453.338745,358.159485,592.778564
38771_17559,HSIL,0.237042,HSIL,0.9974492,56.624908,37.335281,308.381195,234.891098
44851_42487,ASCUS,0.063344,ASCUS,0.9998337,219.642273,257.144989,414.775208,376.604279
29651_27895,ASCH,0.009875,HSIL,1.0,197.815063,460.761108,307.685394,605.612183
