x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
47893_16022,LSIL,0.005352,HSIL,1.0,37.650436,320.374878,149.576050,428.082153
30869_24534,LSIL,0.666248,LSIL,0.9937158,252.259705,183.716476,366.431641,322.096497
6549_26966,HSIL,0.148839,HSIL,0.5927225,99.231094,395.960541,149.669754,446.967560
32085_6902,ASCUS,0.008281,HSIL,1.0,163.138641,157.468002,248.781372,213.949966
25397_4470,ASCUS,0.460695,ASCUS,0.9645078,473.303772,221.040588,578.239075,288.621399
17493_6294,ASCUS,0.049095,LSIL,0.9886723,10.237778,77.700157,141.450058,220.346863
17493_6294,ASCUS,0.021348,LSIL,0.8993237,20.210468,1.000000,102.417221,77.270027
18709_23318,ASCUS,0.011059,LSIL,0.9258041,178.813278,58.015911,282.791473,162.830261
9589_19062,ASCUS,0.010632,HSIL,0.8822561,282.277832,317.352631,350.087585,410.291718
36341_9942,ASCUS,0.051855,ASCUS,0.9973683,69.294907,183.562561,212.098831,306.743439
16885_6902,ASCUS,0.259853,ASCUS,0.99530953,429.392609,23.682537,541.259644,146.845978
16885_6902,LSIL,0.060234,LSIL,0.9316659,536.819153,3.962120,608.000000,182.136749
16885_6902,HSIL,0.190660,HSIL,0.99968255,116.206024,235.431580,214.492188,300.593262
21141_19670,HSIL,0.809917,HSIL,0.5481936,208.607056,57.926613,253.213654,111.658134
21141_19670,HSIL,0.580356,HSIL,0.9116899,165.576523,123.786125,231.924789,186.414490
21141_19670,HSIL,0.231001,HSIL,1.0,171.122665,461.903687,220.535568,522.416321
21141_19670,HSIL,0.104308,HSIL,0.93147916,150.597656,178.832977,209.249268,233.518219
43029_14806,ASCUS,0.008214,ASCUS,0.99639565,35.733803,235.866135,167.635406,317.959351
7765_25750,HSIL,0.181287,HSIL,0.9848,189.998947,477.145447,240.490799,527.054321
35733_26966,ASCUS,0.149788,ASCUS,0.59728056,13.280853,463.122681,188.669876,605.136841
44245_14806,HSIL,0.727991,HSIL,0.99487174,342.342682,240.232803,421.933441,298.711243
44245_14806,HSIL,0.062445,HSIL,0.99997234,491.110107,305.557770,542.677979,348.021637
44245_14806,HSIL,0.057290,HSIL,0.9988242,316.165466,262.461151,364.331116,309.998322
46677_20886,ASCUS,0.158542,ASCUS,0.9663467,267.980957,56.714378,380.572571,174.571350
25397_43382,LSIL,0.015489,HSIL,0.98010397,290.049988,330.187714,392.734741,416.295563
46677_22710,HSIL,0.119117,HSIL,0.9927187,210.713043,571.860535,278.692322,607.753723
9589_9334,ASCUS,0.019463,LSIL,0.9992932,272.852386,100.254173,436.865753,246.325745
9589_9334,ASCUS,0.015122,LSIL,0.9999244,308.832794,211.385544,452.414703,310.742554
9589_23926,HSIL,0.344717,HSIL,1.0,102.760231,125.513985,144.617279,175.720093
25397_34870,LSIL,0.998020,LSIL,0.99998844,315.442627,22.824532,493.766357,179.136169
24181_20886,HSIL,0.076259,HSIL,0.99999917,468.347107,552.046326,565.929260,608.000000
3509_21494,HSIL,0.624242,HSIL,1.0,405.554413,425.383087,456.549164,480.962494
12021_28790,HSIL,0.076536,HSIL,1.0,86.551727,53.461666,145.512451,130.935318
19317_45206,ASCUS,0.022709,HSIL,0.999997,344.241699,7.105688,403.885559,69.433784
37557_16022,HSIL,0.005328,HSIL,1.0,240.894577,425.075348,608.000000,608.000000
50325_20886,HSIL,0.055766,HSIL,0.9999404,367.925598,171.226288,446.510010,221.625427
24789_16630,LSIL,0.007846,HSIL,0.9936052,200.820938,55.803864,601.635010,434.809906
44245_28790,LSIL,0.049049,HSIL,1.0,247.983810,190.310104,308.908813,283.932648
37557_31830,ASCUS,0.208275,ASCUS,0.9154217,219.668549,232.588501,397.476837,368.312744
35733_28790,ASCUS,0.008178,HSIL,0.9999999,260.042053,395.856476,312.850708,475.526642
37557_12982,HSIL,0.052758,HSIL,0.6175525,39.492702,281.497284,100.404709,368.401031
29045_42774,LSIL,0.465301,LSIL,0.9999387,394.677948,30.363495,495.915558,125.391174
29045_42774,LSIL,0.185817,LSIL,0.9999957,404.899689,120.860657,502.191620,224.170410
51541_35478,ASCUS,0.866832,ASCUS,0.6236446,277.776825,397.110229,469.533356,540.450012
7765_20886,ASCUS,0.094960,ASCUS,0.5919699,127.867249,271.181274,186.666870,363.689392
7765_20886,ASCUS,0.347705,ASCUS,0.9709852,198.959274,455.968170,304.512024,545.614746
42421_34870,HSIL,0.445294,HSIL,0.97395486,164.423874,493.679047,226.359390,559.415222
48501_14198,ASCUS,0.018322,LSIL,0.99990726,476.823029,439.635925,586.572327,545.282654
26005_10550,LSIL,0.831693,LSIL,0.91563624,225.948853,435.060181,296.340149,507.226196
36341_38518,ASCUS,0.006495,HSIL,0.9983631,6.834335,570.293945,131.465576,607.705078
8373_21494,LSIL,0.072785,HSIL,0.49548507,163.719620,9.683365,260.790009,144.206955
41205_29398,LSIL,0.754595,LSIL,0.815412,216.924957,177.116043,370.034027,281.217743
47893_32438,ASCUS,0.714818,ASCUS,0.99988675,403.268372,143.965561,504.282043,249.509171
7765_22102,ASCUS,0.007414,ASCUS,0.7096304,250.308853,451.443481,366.697815,608.000000
17493_25750,LSIL,0.050753,LSIL,0.9832398,389.201172,62.791672,563.579224,203.751022
21749_40950,ASCUS,0.007858,ASCUS,0.98101014,431.182861,324.411774,525.582336,388.253143
29045_45206,LSIL,0.457720,LSIL,0.9959572,330.755371,537.572876,463.451538,608.000000
37557_11766,ASCUS,0.082720,ASCUS,0.7976883,325.566589,434.323853,451.756470,518.680664
20533_28790,LSIL,0.009752,HSIL,0.99989545,68.152634,544.935852,182.910645,601.676575
39381_13590,ASCUS,0.065902,ASCUS,0.9705174,37.286804,206.466324,148.995804,314.708160
32085_6294,ASCUS,0.864309,ASCUS,0.99106455,376.958130,216.840897,576.056030,367.050415
32085_6294,LSIL,0.158006,LSIL,0.6030394,370.729736,205.399231,554.555542,366.972595
47285_19062,ASCUS,0.011868,HSIL,0.99995065,50.500622,398.485107,168.347321,507.348877
35733_17846,HSIL,0.213100,HSIL,0.99999917,3.993137,530.654297,81.784363,584.058350
35733_17846,HSIL,0.054991,HSIL,1.0,50.884460,493.159027,119.337830,558.059814
38165_23318,LSIL,0.419895,LSIL,0.99999964,115.353752,153.035721,233.206207,275.538116
15061_33654,ASCUS,0.056289,ASCUS,0.99325997,43.263596,323.157715,126.058090,456.631348
16885_42774,ASCH,0.008235,HSIL,1.0,179.732468,241.359451,250.167923,299.218628
16885_23926,LSIL,0.148097,LSIL,0.89328015,89.561211,509.034912,206.517151,603.772095
22357_37302,ASCH,0.005774,HSIL,0.99999976,96.532791,315.955505,148.794266,377.635071
16277_12982,HSIL,0.053026,HSIL,1.0,273.686401,372.194611,326.575928,424.491547
49109_24534,ASCUS,0.068625,ASCUS,0.980863,102.570396,78.424553,259.427979,236.271210
25397_26966,ASCUS,0.063607,ASCUS,0.99996924,204.944855,321.876282,301.118011,422.205383
