x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
14253_28235,ASCH,0.019198,HSIL,0.8191392,25.616314,170.759872,128.719086,287.230988
28845_30667,ASCUS,0.880360,ASCUS,0.73175037,72.973450,131.180817,179.505615,279.860046
41005_42219,ASCUS,0.070099,ASCUS,0.74815416,220.606857,13.181179,333.321594,109.591248
44653_28235,HSIL,0.046755,HSIL,0.999964,286.886108,586.606079,345.306824,607.091187
40397_27019,ASCH,0.119710,ASCH,0.91912276,92.498131,463.005585,154.768524,525.766907
27021_12427,ASCUS,0.941909,ASCUS,0.48774284,275.737671,264.273590,359.333862,334.812897
23373_47083,ASCUS,0.005813,HSIL,1.0,1.000000,284.458496,493.388123,584.492554
37357_15467,ASCUS,0.056313,ASCUS,0.77652454,49.696930,472.867493,102.486084,545.856079
47085_25195,ASCH,0.014607,HSIL,0.99968684,79.530937,484.467529,170.078400,597.286499
44045_20939,ASCH,0.013923,HSIL,0.9951627,340.748413,55.321976,518.297180,210.102798
23981_37963,HSIL,0.868075,HSIL,0.9999616,561.411987,248.938110,602.198853,289.226624
23981_37963,HSIL,0.140321,HSIL,0.95962775,123.291794,272.370758,188.911972,326.863800
17293_42219,ASCUS,0.012431,ASCH,0.9748812,445.581177,484.459900,492.277222,595.318298
28845_27019,ASCUS,0.014755,HSIL,0.7751324,334.125610,159.776031,396.066223,220.892883
30061_17899,ASCH,0.016385,HSIL,0.9998715,188.965317,240.515472,252.528030,332.845856
44653_39179,ASCUS,0.293223,ASCUS,0.5720426,522.554565,347.313843,576.036621,395.907104
44653_39179,ASCUS,0.541508,ASCUS,0.5936464,417.799347,110.490768,504.606781,183.595627
13645_34315,ASCUS,0.998524,ASCUS,0.56078875,348.387207,332.340698,459.570129,447.326294
13645_34315,ASCH,0.826796,HSIL,0.9990645,485.877045,15.962860,532.544678,73.015602
16077_14859,ASCUS,0.012279,ASCH,0.67428726,53.881912,18.398804,375.721924,344.712830
49517_14251,ASCH,0.197232,HSIL,0.9996942,146.546112,273.500092,195.235413,312.811981
22765_11819,ASCH,0.005641,HSIL,0.9997317,144.332291,215.958527,232.547134,259.526947
35533_37355,ASCUS,0.895379,ASCUS,0.78448445,306.595215,110.887558,408.865051,159.737473
35533_37355,ASCUS,0.183184,ASCUS,0.8333771,322.577271,56.283302,455.542542,128.570831
47085_30667,ASCUS,0.226349,ASCUS,0.4465841,438.762299,574.273804,516.639709,607.004028
30669_42827,ASCH,0.754336,HSIL,0.9999653,216.410400,488.480347,291.821899,531.056335
20333_33707,ASCH,0.012145,HSIL,0.999828,530.111633,109.523758,562.754822,153.711563
19725_42219,ASCH,0.655609,ASCH,0.9466506,231.474991,377.319519,286.943909,449.565552
11213_19723,ASCUS,0.396324,ASCUS,0.9277647,201.458771,98.555611,303.967255,216.298157
14861_16075,ASCH,0.015733,HSIL,0.9979746,179.241470,313.770477,229.950455,369.255402
23981_46475,ASCUS,0.036011,HSIL,0.9739536,63.616726,385.766632,135.780151,440.255707
28845_14251,HSIL,0.642284,HSIL,0.9999943,531.859070,44.104759,584.115173,96.293129
40397_30059,ASCUS,0.930157,ASCUS,0.78775275,307.660583,526.151733,394.501282,583.633301
31277_37355,ASCUS,0.012125,ASCH,0.83421797,208.321045,391.696777,298.124329,513.052673
27629_49515,ASCH,0.039364,ASCH,0.4974604,438.652496,47.859226,564.233093,153.488129
13037_23371,ASCUS,0.818928,ASCUS,0.80218375,415.996033,129.981750,522.546570,247.272491
13037_23371,LSIL,0.005317,HSIL,1.0,413.855103,124.658447,524.392456,240.878448
45869_39787,HSIL,0.367739,HSIL,0.977466,253.023773,288.746887,367.495880,331.382568
44653_33707,ASCUS,0.017282,HSIL,0.99800986,17.659893,190.083298,85.339127,267.399628
25805_33099,HSIL,0.052228,HSIL,1.0,451.493439,556.777466,515.080933,603.447388
46477_31883,ASCUS,0.999681,ASCUS,0.76394576,206.641647,405.157471,348.100952,485.853516
30061_28843,ASCUS,0.323752,ASCUS,0.83547103,89.883636,10.370075,208.520416,96.954086
30061_28843,ASCH,0.248958,HSIL,0.9826748,58.007736,51.298370,113.765488,117.830231
24589_17899,ASCUS,0.996837,ASCUS,0.6369077,40.203812,259.746674,179.459106,392.353912
27021_3307,ASCH,0.862474,ASCH,0.8448697,93.059021,157.747772,219.862579,299.249573
28237_39787,ASCUS,0.029423,ASCH,0.67512995,19.388863,4.798008,150.454742,65.366898
20333_5131,HSIL,0.224201,HSIL,0.9724152,319.641815,253.823196,413.101959,316.236725
33709_26411,ASCUS,0.030882,ASCH,0.9994617,70.965263,4.454803,129.902390,49.339348
26413_13035,HSIL,0.019037,HSIL,0.9995492,460.453979,428.944183,524.655701,480.905731
44045_41003,HSIL,0.149208,HSIL,0.9999064,534.930420,487.874542,562.302124,515.770996
5741_27627,ASCUS,0.005770,ASCH,0.96756864,224.619720,74.660179,328.425079,159.588562
5741_27627,ASCH,0.710916,ASCH,0.9486979,236.349655,84.769516,304.783234,136.008575
43437_32491,ASCUS,0.017925,ASCH,0.62137955,196.117035,281.445496,326.585785,367.904663
36141_14251,ASCUS,0.055979,ASCUS,0.9993418,542.260071,142.173828,603.625305,238.381165
35533_4523,ASCUS,0.810311,ASCUS,0.99618226,370.512299,120.073471,471.658112,209.688065
35533_4523,ASCUS,0.009597,LSIL,0.55088,446.790833,167.292099,570.203247,274.941193
43437_15467,HSIL,0.247703,HSIL,0.99424815,332.516876,25.307411,383.420013,129.575867
15469_16075,ASCH,0.018722,HSIL,0.9670834,380.814392,44.520573,430.780640,110.848740
43437_39787,ASCUS,0.118183,ASCUS,0.7696269,196.852753,541.200867,292.366974,603.676208
41613_39787,ASCUS,0.417297,ASCUS,0.87283,332.633606,213.192947,398.304749,309.136536
39181_6347,ASCUS,0.995697,ASCUS,0.99165887,429.471832,390.416687,605.827026,562.932434
39181_6347,ASCUS,0.299612,ASCUS,0.992434,242.387177,305.673065,359.139801,390.629791
39181_6347,LSIL,0.009168,HSIL,0.9214125,413.438354,377.918671,608.000000,550.553955
14861_20939,ASCUS,0.200680,ASCUS,0.691282,573.909912,499.166290,605.195312,549.554871
14861_20939,ASCH,0.812859,ASCH,0.6309154,543.788513,445.064941,602.172913,506.773132
31885_5131,ASCH,0.005757,HSIL,0.99773633,312.469543,331.933929,401.838623,477.771637
33709_14251,ASCH,0.008330,HSIL,0.998874,100.263092,417.918091,197.968475,533.693970
46477_32491,ASCH,0.403418,ASCH,0.8344962,426.520569,529.811523,509.403076,570.374268
20941_5739,ASCH,0.480951,ASCH,0.99999726,385.417206,380.638947,593.411438,595.843811
31885_24587,ASCH,0.041893,HSIL,0.99982077,36.804104,404.008545,74.808868,439.143127
48301_31275,ASCUS,0.607431,ASCUS,0.99640924,379.002289,54.819298,513.562866,166.912872
48301_31275,ASCUS,0.024456,ASCH,0.9969215,548.956360,524.009033,580.819641,560.151855
21549_22763,ASCH,0.221532,HSIL,0.99956864,556.637756,447.237610,605.530334,493.683350
41005_6955,ASCUS,0.374788,ASCUS,0.908287,320.455017,442.818542,441.517761,542.497681
13037_24587,ASCH,0.122795,HSIL,0.7360991,463.319122,354.352783,506.810211,392.641113
48909_6347,HSIL,0.134953,HSIL,0.9012698,307.402100,203.113281,391.101562,267.206879
47693_36139,ASCH,0.734367,ASCH,0.7519016,196.896088,218.290588,356.126740,400.126587
35533_23371,ASCH,0.007637,HSIL,0.9976203,9.984600,20.794266,79.616852,99.821823
35533_23371,HSIL,0.081232,HSIL,0.31139207,420.755096,58.596275,455.820587,110.274788
35533_23371,HSIL,0.069478,HSIL,0.99999964,587.881592,463.511963,608.000000,522.502991
27021_3915,ASCUS,0.014021,HSIL,0.9890543,135.433014,339.886688,482.729584,535.765381
17901_39179,ASCH,0.112290,HSIL,0.99724716,76.466003,381.120575,128.675034,447.694061
21549_45867,ASCUS,0.235110,ASCUS,0.9286855,102.273018,345.231384,226.486511,416.886169
30061_2699,ASCUS,0.832228,ASCUS,0.6183119,484.939728,510.773926,582.116333,606.517212
26413_5739,ASCH,0.006986,HSIL,0.9999924,393.405792,475.769958,435.163788,528.375061
28845_48907,ASCH,0.005539,HSIL,0.9999387,504.877411,492.445068,563.816162,555.686157
50733_34315,ASCUS,0.054167,ASCUS,0.42466792,14.111101,157.999756,73.822617,235.118103
45869_28235,ASCH,0.055802,HSIL,0.9984713,17.730783,17.145668,73.662994,62.493828
39789_41611,ASCH,0.434280,ASCH,0.67986506,76.845505,484.120728,126.917465,535.091370
39789_41611,ASCH,0.282907,ASCH,0.8546494,56.914970,518.688904,95.372871,563.176208
49517_30667,ASCUS,0.951097,ASCUS,0.4223323,155.161896,363.011261,238.135529,481.006012
48909_22763,ASCUS,0.018761,ASCUS,0.5932211,526.779785,218.301208,573.593872,285.394897
48909_22763,ASCH,0.233236,HSIL,0.999985,526.779785,218.301208,573.593872,285.394897
41005_13035,ASCH,0.571439,HSIL,0.9809214,98.901764,1.000000,565.786987,484.690674
41005_13035,ASCH,0.044806,HSIL,0.99203426,1.000000,112.551315,394.170990,504.416260
27629_39787,ASCH,0.010858,HSIL,0.9987777,473.053345,462.432312,532.985352,503.884033
17901_34923,ASCUS,0.955735,ASCH,0.70202327,277.730835,322.716522,351.200012,405.492645
32493_42219,ASCH,0.080185,HSIL,0.8905001,396.329498,104.324165,443.014130,161.762268
28845_28235,ASCH,0.049310,HSIL,0.99578875,405.475586,136.535995,502.178345,183.555435
21549_16075,ASCUS,0.186910,ASCUS,0.72894204,330.006439,112.251373,414.990204,188.288696
27629_4523,ASCH,0.033532,HSIL,0.99999654,1.000000,287.639648,490.382904,585.493896
28845_8779,ASCUS,0.007399,ASCH,0.7559453,108.141556,324.480072,207.910141,376.441071
20333_8779,ASCUS,0.996863,ASCUS,0.56765324,142.593933,407.466522,237.480804,608.000000
31277_3915,ASCH,0.069155,ASCH,0.6911478,335.487640,437.544098,423.262726,485.563507
31277_3915,ASCH,0.006360,HSIL,0.9999999,470.940887,93.642670,547.611511,172.170959
48301_29451,ASCH,0.143493,HSIL,0.9947088,135.149017,328.597504,427.133514,521.974060
22765_21547,ASCUS,0.041093,ASCUS,0.42213863,282.033905,80.478111,340.102509,149.548370
22765_21547,ASCUS,0.012161,ASCH,0.8817318,310.882202,1.000000,418.295288,44.801048
25197_48907,ASCH,0.903174,HSIL,0.9608256,278.110291,118.711487,436.820190,290.273376
22765_46475,ASCH,0.012297,ASCH,0.54752105,553.226929,62.045593,608.000000,139.623230
22765_46475,ASCH,0.271035,HSIL,0.99997926,95.680603,399.248657,200.668793,474.558716
41005_21547,ASCH,0.020033,SCC,0.99991834,506.323303,353.217621,559.821716,422.434052
17293_13035,ASCUS,0.033592,ASCH,0.7522574,230.194504,265.775360,608.000000,546.977295
17293_13035,ASCH,0.189678,ASCH,0.9782601,109.817253,283.523346,156.412109,334.448090
