class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1043,14,21,12,1,1007,14,12,12,1,814,10,6,6,0,644,5,3,4,0,548,3,2,1,0,468,3,1,1,0,411,2,1,0,0,369,1,1,0,0,315,1,0,0,0,255,1,0,0,0,206,0,0,0,0,81,0,0,0,0,1031,16,11,32,1,1031,16,11,32,1,1031,16,11,32,1,1031,16,11,30,1,1027,16,10,27,1,1020,16,8,24,0,957,14,8,23,0,895,14,6,20,0,810,13,5,14,0,688,11,3,12,0,334,7,0,5,0,115,3,0,3,0,114.3728209,118.2716579,14409.47056,69.048493,82.356292,92.535339,101.325607,109.35704,118.531433,128.798157,142.783447,161.64447,69.048493,82.356292,92.535339,101.325607,109.35704,118.531433,128.798157,142.783447,161.64447,106.322171,134.1153924,146.0821946,155.4363081,163.6289031,172.3437299,180.4821903,202.6987809,226.4837018,5384.331195,8573.311565,10062.31454,11470.91734,12660.65634,13736.62372,15176.70162,19102.59011,24000.72383
1,594,40,3,1,0,546,39,3,1,0,415,30,2,1,0,312,20,2,0,0,257,17,1,0,0,220,13,1,0,0,194,11,1,0,0,163,7,1,0,0,137,3,1,0,0,106,2,1,0,0,70,1,0,0,0,17,0,0,0,0,559,72,5,1,1,559,72,5,1,1,559,72,5,1,1,557,72,5,1,0,557,71,5,1,0,548,70,5,1,0,513,67,5,1,0,475,64,4,1,0,422,60,2,1,0,352,56,0,1,0,180,43,0,0,0,75,34,0,0,0,169.9352661,173.2373992,44486.28757,76.4749411,94.907898,105.6476304,116.6303348,130.502472,149.204236,169.1675231,191.1049686,259.6700668,76.4749411,94.907898,105.6476304,116.6303348,130.502472,149.204236,169.1675231,191.1049686,259.6700668,128.6176596,152.069848,166.239232,177.4123255,190.5209296,217.1782971,233.6834444,260.8781037,360.9429458,7152.893312,10663.51528,12479.54917,14434.67238,16626.9892,22079.00488,25654.8706,30908.37996,55320.1771
1,1749,18,2,0,2,1693,18,2,0,2,1311,12,2,0,1,981,8,2,0,0,805,3,2,0,0,670,3,2,0,0,559,3,2,0,0,474,2,2,0,0,403,2,2,0,0,324,1,0,0,0,224,0,0,0,0,41,0,0,0,0,1732,32,2,2,3,1732,32,2,2,3,1732,32,2,2,3,1732,32,2,2,3,1728,32,2,2,3,1713,31,2,1,3,1644,28,2,1,3,1581,25,2,1,3,1487,22,2,1,2,1345,17,0,1,2,865,9,0,0,2,415,4,0,0,2,150.426936,151.3338429,26091.26849,86.401978,100.930847,114.135132,126.51123,141.351822,154.634819,168.562744,182.903259,202.594605,86.401978,100.930847,114.135132,126.51123,141.351822,154.634819,168.562744,182.903259,202.594605,148.6102757,162.2401607,171.8957653,184.0976806,208.6275081,220.6615025,230.4835424,247.9519899,291.0056698,10157.48195,12036.01609,13716.15675,15505.77617,19920.95654,22906.26681,24940.36611,28672.33971,37592.55452
1,450,10,10,17,3,402,7,6,17,3,303,1,4,12,1,230,1,3,6,1,179,1,2,5,1,149,1,2,3,1,125,1,2,3,1,108,1,1,2,1,93,0,1,2,0,67,0,1,0,0,45,0,0,0,0,8,0,0,0,0,431,13,6,23,17,431,13,6,23,17,430,13,6,23,17,430,13,6,23,13,429,12,6,23,11,423,10,6,19,11,405,6,5,18,11,391,6,5,18,9,369,5,5,12,8,340,5,4,10,5,249,4,0,2,0,163,4,0,0,0,139.2878651,130.62396,26699.84191,64.1193217,76.8774594,88.1275943,97.238072,105.2313385,116.4881166,128.2346952,150.5290784,208.8721437,64.1193217,76.8774594,88.1275943,97.238072,105.2313385,116.4881166,128.2346952,150.5290784,208.8721437,99.75634914,113.0622586,132.7399585,147.1476479,158.4305114,171.0782769,179.6505804,204.9380113,286.148667,4685.583045,5931.461438,8510.569348,10174.27501,11484.98994,13438.93415,15162.37003,18200.6023,35676.50448
1,504,42,10,5,2,457,40,8,5,2,385,36,6,4,2,298,32,5,2,1,247,28,2,1,1,221,22,1,0,1,193,15,1,0,1,165,9,0,0,1,145,6,0,0,1,109,2,0,0,0,75,1,0,0,0,22,0,0,0,0,475,62,12,10,4,475,62,12,10,4,475,62,12,10,4,475,62,12,10,4,474,62,12,9,4,474,62,12,9,3,458,61,11,6,3,444,59,9,6,3,425,56,8,6,2,387,51,7,5,1,270,43,3,2,0,142,38,1,0,0,149.4711366,151.2263971,37866.42338,69.8215786,82.3670046,92.0090336,101.1363772,110.426544,120.204212,133.0226564,163.2407258,235.87547,69.8215786,82.3670046,92.0090336,101.1363772,110.426544,120.204212,133.0226564,163.2407258,235.87547,104.2100062,117.0543511,136.3961483,148.2420821,158.4930272,172.2206645,188.72074,231.2411246,328.2469051,5342.610628,6651.976724,9084.498355,10382.77738,12043.06359,14268.92404,17198.00939,25431.81323,50524.97829
1,66,50,1,61,2,33,38,0,60,2,21,29,0,40,1,15,22,0,22,0,11,19,0,15,0,10,17,0,9,0,10,15,0,6,0,8,13,0,5,0,5,11,0,5,0,4,8,0,5,0,3,5,0,3,0,0,0,0,0,0,32,58,0,87,3,32,58,0,87,3,32,58,0,87,3,32,58,0,87,3,32,57,0,87,3,32,55,0,85,3,30,52,0,83,3,29,48,0,82,3,27,34,0,77,1,24,28,0,71,1,15,16,0,52,0,7,3,0,40,0,120.4952575,125.0326089,19508.47874,49.8400209,61.597418,79.1138122,98.1035458,108.392151,120.4259278,143.1041689,169.0822024,192.9728354,49.8400209,61.597418,79.1138122,98.1035458,108.392151,120.4259278,143.1041689,169.0822024,192.9728354,75.04788979,86.65851322,113.9571754,145.9621833,169.0613221,182.2506435,218.0281405,231.6897446,263.1616152,2637.620173,3402.55219,5752.493288,9763.966885,13489.51665,15618.34559,21517.54288,26169.55525,32590.91589
1,154,113,28,235,18,65,72,2,206,18,43,53,1,141,14,27,38,1,85,6,20,31,0,63,6,15,27,0,49,6,7,23,0,40,6,7,16,0,33,4,5,13,0,26,3,4,11,0,14,2,2,3,0,8,2,0,0,0,3,1,62,129,0,292,65,62,129,0,292,65,62,129,0,292,65,62,129,0,292,65,61,129,0,290,65,59,127,0,289,61,56,118,0,276,54,48,107,0,262,49,38,99,0,245,45,26,85,0,221,41,10,46,0,164,26,4,24,0,127,16,126.6243642,129.9403084,24067.34563,50.501297,60.7852416,71.2400698,85.7075748,102.4867935,117.3185424,134.7712418,165.7696062,206.6549134,50.501297,60.7852416,71.2400698,85.7075748,102.4867935,117.3185424,134.7712418,165.7696062,206.6549134,79.46071656,90.41792217,102.1811017,120.4759697,152.6084641,166.6342443,189.5092409,241.9242107,324.7792214,3062.200153,3963.7886,4921.474762,6373.510995,10895.67994,12906.8769,16331.57847,26855.65775,47237.96585
1,423,378,25,589,11,139,294,3,564,11,102,237,2,387,8,69,186,2,250,5,51,157,1,171,4,35,135,1,130,3,25,120,0,91,2,17,97,0,65,1,12,78,0,45,1,9,46,0,30,0,3,24,0,13,0,0,2,0,0,0,127,504,0,753,42,127,504,0,753,42,127,504,0,753,42,127,504,0,753,42,126,504,0,751,42,123,501,0,743,41,108,482,0,723,37,95,464,0,706,35,83,440,0,680,33,69,389,0,637,29,24,280,0,504,18,9,187,0,377,13,120.8303519,116.2953364,20660.27276,43.431137,49.659332,59.077713,72.306274,101.819641,122.219971,142.3801575,164.815003,198.873028,43.431137,49.659332,59.077713,72.306274,101.819641,122.219971,142.3801575,164.815003,198.873028,63.36126592,71.46083077,84.02747504,102.6402017,154.1525318,175.6524686,209.9055554,233.4396837,285.1518133,1941.535671,2490.21284,3435.30248,4879.427198,10913.52861,14852.70385,20610.86565,26152.70281,36975.75446
1,739,708,536,4157,19,180,304,41,3986,19,125,216,19,2962,17,73,150,5,2029,10,51,117,1,1566,7,40,90,0,1230,7,26,82,0,978,6,19,61,0,776,4,10,48,0,586,1,6,27,0,383,1,3,16,0,195,0,1,0,0,8,0,167,370,1,5524,97,167,370,1,5524,97,167,370,1,5524,97,167,370,1,5522,97,167,369,1,5512,94,165,367,1,5458,89,155,347,1,5313,84,148,337,1,5155,77,138,320,1,4936,68,124,283,0,4587,57,78,220,0,3494,28,37,159,0,2409,15,94.23129188,92.99420257,15428.79967,45.0984984,50.484143,54.9464482,59.067149,64.582946,72.1193358,87.2183348,115.1768676,163.486137,45.0984984,50.484143,54.9464482,59.067149,64.582946,72.1193358,87.2183348,115.1768676,163.486137,66.44613309,73.78952642,79.53877162,85.17662982,91.52421943,99.70707575,120.3150338,164.8026606,228.3163496,2109.986573,2648.802604,3086.17522,3528.620047,4055.546127,4750.387657,6381.292795,12750.55377,24957.31562
1,259,126,26,151,2,158,86,3,150,2,127,66,2,108,1,100,51,1,84,0,81,40,0,70,0,69,32,0,58,0,60,22,0,45,0,54,20,0,39,0,40,17,0,31,0,27,14,0,25,0,16,9,0,18,0,2,2,0,5,0,158,152,0,246,8,158,152,0,246,8,158,152,0,246,8,158,152,0,246,8,157,151,0,246,8,154,147,0,245,8,142,131,0,241,8,131,111,0,233,8,118,92,0,226,7,102,74,0,205,7,41,48,0,153,6,13,31,0,119,5,160.9891586,157.9407618,44770.43528,55.4372556,66.8201728,78.7793885,98.6691772,116.357254,130.965883,155.8862244,194.668555,371.3211365,55.4372556,66.8201728,78.7793885,98.6691772,116.357254,130.965883,155.8862244,194.668555,371.3211365,81.49709944,95.29239527,115.1912257,146.996823,162.3463167,182.8048158,220.4915707,266.8611508,484.6848052,3228.950809,4341.910013,6113.783423,10001.01454,12393.83753,15954.14797,22612.27122,32073.85264,101966.8371
