class_i,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,ASCUS_c_09999,LSIL_c_09999,ASCH_c_09999,HSIL_c_09999,SCC_c_09999,ASCUS_c_099999,LSIL_c_099999,ASCH_c_099999,HSIL_c_099999,SCC_c_099999,d_05
1,688,11,3,12,0,334,7,0,5,0,115,3,0,3,0,23,2,0,1,0,4,1,0,0,0,163.6289031
1,352,56,0,1,0,180,43,0,0,0,75,34,0,0,0,22,28,0,0,0,3,25,0,0,0,190.5209296
1,1345,17,0,1,2,865,9,0,0,2,415,4,0,0,2,167,1,0,0,2,53,0,0,0,0,208.6275081
1,340,5,4,10,5,249,4,0,2,0,163,4,0,0,0,72,4,0,0,0,23,4,0,0,0,158.4305114
1,387,51,7,5,1,270,43,3,2,0,142,38,1,0,0,72,35,0,0,0,24,35,0,0,0,158.4930272
1,24,28,0,71,1,15,16,0,52,0,7,3,0,40,0,4,2,0,29,0,1,1,0,20,0,169.0613221
1,26,85,0,221,41,10,46,0,164,26,4,24,0,127,16,4,10,0,93,15,1,3,0,74,10,152.6084641
1,69,389,0,637,29,24,280,0,504,18,9,187,0,377,13,2,139,0,289,9,1,102,0,223,0,154.1525318
1,124,283,0,4587,57,78,220,0,3494,28,37,159,0,2409,15,19,105,0,1592,7,7,68,0,1053,3,91.52421943
1,102,74,0,205,7,41,48,0,153,6,13,31,0,119,5,6,17,0,87,5,2,10,0,63,2,162.3463167
1,215,333,0,579,15,145,226,0,410,12,80,131,0,262,9,33,70,0,172,7,9,27,0,114,5,133.5465333
1,402,1095,0,27,2,201,777,0,22,2,84,522,0,17,1,34,346,0,13,0,11,230,0,10,0,186.3376634
1,226,518,0,365,14,79,301,0,288,9,22,159,0,206,6,2,87,0,141,6,0,46,0,111,3,180.660854
1,166,446,0,70,8,64,278,0,46,5,26,167,0,26,3,6,103,0,15,1,1,63,0,10,1,181.8556163
1,78,525,0,26,52,32,372,0,14,34,12,240,0,11,25,5,153,0,4,15,2,101,0,2,9,228.9431577
1,48,270,0,35,2,17,167,0,26,2,4,96,0,18,2,0,58,0,12,2,0,30,0,8,2,186.9493233
1,4,3,0,16,4,3,2,0,7,2,1,1,0,3,1,1,0,0,1,1,1,0,0,0,0,105.1133508
1,50,176,0,71,2,22,108,0,44,1,4,65,0,27,1,2,47,0,14,1,1,29,0,9,0,191.575594
1,117,380,0,166,7,63,286,0,138,7,35,205,0,105,4,10,149,0,78,2,5,108,0,62,0,191.2878322
1,144,286,0,351,54,77,204,0,186,33,38,141,0,86,22,20,89,0,36,14,7,59,0,16,7,147.6014585
1,83,616,4,84,16,33,496,1,64,13,12,386,0,43,12,2,314,0,28,8,0,260,0,16,7,221.0717457
1,172,38,0,220,13,67,19,0,102,8,25,7,0,50,4,3,3,0,23,2,0,2,0,16,1,170.6951988
1,73,162,0,49,38,32,92,0,33,23,17,44,0,17,15,9,28,0,8,10,1,17,0,5,4,173.8683613
1,184,261,0,73,37,100,178,0,49,30,47,119,0,34,20,20,85,0,23,16,10,60,0,19,11,184.4686486
1,171,266,0,73,71,100,167,0,46,54,51,122,0,33,39,26,78,0,17,21,12,55,0,8,14,185.5942916
1,140,264,0,252,54,65,157,0,140,34,29,93,0,82,19,6,63,0,48,9,1,45,0,26,5,162.379475
1,20,18,0,10,8,7,9,0,7,8,3,6,0,4,7,1,5,0,0,5,0,2,0,0,4,223.3440017
1,435,347,0,161,12,219,191,0,117,9,87,111,0,66,3,30,68,0,42,3,10,50,0,23,1,191.4269865
1,291,281,0,43,14,123,160,0,33,9,58,84,0,22,9,26,59,0,20,6,7,37,0,14,4,208.3042029
1,474,633,0,12,14,308,444,0,6,9,200,307,0,3,6,111,216,0,1,4,52,165,0,1,2,233.2457664
1,87,125,0,641,8,36,67,0,521,5,11,29,0,404,4,1,12,0,305,3,0,4,0,224,3,112.7594423
1,26,146,0,30,59,11,100,0,8,37,7,64,0,4,26,4,41,0,1,9,1,29,0,1,6,179.3184269
1,121,238,0,9,10,66,126,0,5,9,26,61,0,2,9,14,39,0,2,9,4,23,0,0,7,172.3570072
1,1160,464,0,26,35,644,269,0,15,25,304,160,0,9,18,110,98,0,3,12,44,56,0,1,5,164.1262459
1,312,55,0,1,3,265,37,0,1,2,225,17,0,1,2,185,9,0,1,2,136,7,0,1,1,821.6688376
1,52,265,1,19,3,14,157,0,15,3,4,98,0,7,1,1,64,0,3,0,0,38,0,3,0,219.687718
1,103,268,0,22,2,41,150,0,10,2,11,86,0,2,2,3,42,0,1,1,1,27,0,1,1,184.7694098
1,255,370,0,127,17,115,149,0,53,12,37,80,0,23,8,8,43,0,5,7,1,31,0,1,5,197.6507025
1,20,498,0,445,60,6,350,0,318,42,4,234,0,179,26,2,153,0,112,17,0,110,0,79,11,155.6593767
1,203,1544,0,11,6,78,1021,0,7,4,27,635,0,4,3,4,399,0,1,1,1,250,0,0,0,176.7127397
1,20,84,0,115,77,8,43,0,41,59,2,28,0,15,41,2,20,0,5,32,0,14,0,3,21,93.98581199
1,32,304,10,837,17,12,186,1,440,14,0,106,1,164,12,0,65,0,52,8,0,37,0,20,5,103.5756963
1,75,851,0,88,6,31,597,0,71,4,12,410,0,56,4,1,300,0,39,1,0,204,0,31,1,191.7813449
1,250,1368,1,93,6,94,815,0,42,3,26,491,0,16,1,6,299,0,6,0,2,212,0,4,0,159.8687085
1,92,120,1,270,77,47,65,0,144,51,11,28,0,58,30,4,16,0,23,18,0,6,0,10,10,142.0655047
1,298,750,5,32,3,112,518,1,23,3,37,361,1,16,2,12,223,1,11,2,2,152,0,6,0,181.1211135
