class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1099,32,12,15,2,1039,29,6,15,2,845,18,3,8,1,691,10,0,4,1,623,8,0,3,1,560,7,0,3,0,509,5,0,2,0,459,4,0,2,0,413,3,0,2,0,351,1,0,1,0,272,0,0,0,0,97,0,0,0,0,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,4,1063,44,10,31,4,1050,43,8,31,2,984,39,7,31,2,925,36,7,31,2,843,31,5,29,1,704,22,5,28,1,347,7,1,19,0,145,3,0,17,0,159.8118586,163.1002011,27832.70167,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,160.4071383,181.2191829,208.9068624,220.1226192,230.3111332,239.4945882,249.7689935,270.4098203,303.5550211,11724.9506,15527.58555,20512.68088,23353.82212,25691.2947,27637.64634,29824.0344,34197.86594,43341.88046
3,2172,23,125,44,0,1957,19,98,41,0,1731,12,76,20,0,1499,9,57,12,0,1341,8,50,7,0,1233,6,44,6,0,1162,5,38,5,0,1087,2,34,5,0,1014,1,30,4,0,920,1,21,3,0,790,0,15,2,0,424,0,4,0,0,2034,21,206,86,17,2034,21,206,86,17,2034,21,206,86,17,2033,21,206,85,16,2028,21,202,85,16,2011,21,197,83,16,1970,19,185,82,16,1928,16,174,77,16,1862,16,166,76,16,1777,15,138,68,13,1501,9,87,46,10,1156,5,43,28,7,125.8144129,124.1794658,18874.02738,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,103.8768577,119.6887258,138.9913257,147.5977217,157.9126098,170.3293269,186.1364002,217.0080401,263.2836418,5081.666054,6627.752456,9239.318595,10256.60659,11737.10504,13598.55924,16107.29883,21890.62454,31666.12729
2,1903,1611,120,310,1,883,1408,55,307,1,746,1185,38,245,0,616,958,23,186,0,529,813,16,151,0,475,688,12,130,0,417,574,8,111,0,359,485,6,98,0,295,378,5,84,0,240,280,5,64,0,172,141,4,45,0,29,18,0,14,0,751,2250,75,857,12,751,2250,75,857,12,751,2250,75,857,12,751,2249,74,856,12,743,2245,73,854,11,713,2228,67,847,11,622,2164,64,835,9,501,2086,60,821,9,399,1972,59,795,8,277,1796,53,768,5,85,1260,39,639,0,23,798,26,506,0,131.4803861,133.9479727,20945.48731,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,90.94601544,128.9858975,149.965657,163.290383,176.1760888,191.299422,221.8488216,242.0511154,283.1063988,3886.599415,7141.493991,10701.94417,12496.55085,14476.8733,16916.41217,23546.87479,27645.72296,36937.80064
4,4676,148,633,260,10,3314,69,350,237,10,2777,50,235,161,9,2270,33,160,101,5,2020,23,124,75,5,1783,17,93,52,4,1596,13,64,41,2,1438,12,45,22,1,1272,10,34,15,1,1076,6,18,5,1,830,3,9,3,0,307,0,0,0,0,3690,155,345,1282,255,3690,155,345,1282,255,3690,155,345,1282,255,3688,155,343,1282,254,3663,155,339,1279,252,3592,153,315,1262,244,3390,140,273,1220,228,3124,123,239,1167,212,2823,112,207,1110,196,2361,102,163,1002,179,1207,58,76,636,124,474,30,34,343,68,111.7869537,114.4687319,16617.74837,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,78.9290443,95.77125773,109.825545,132.2874059,146.309864,161.6956516,177.1491134,208.4730426,249.8645111,2989.560349,4328.039922,5698.034686,8125.267915,9913.810367,11876.97841,14250.6898,19237.90863,28969.40171
2,347,65,31,86,1,292,60,9,84,1,243,39,7,40,1,204,29,6,21,1,174,23,3,11,1,155,18,2,8,1,139,16,2,7,1,129,12,2,4,1,116,9,2,3,1,102,7,1,3,1,72,2,1,2,0,25,0,0,0,0,294,84,10,138,4,294,84,10,138,4,294,84,10,138,4,294,84,10,137,3,294,83,10,136,3,284,83,10,135,3,262,79,10,132,3,240,75,9,121,1,202,72,9,114,0,158,67,8,100,0,65,42,5,46,0,17,23,2,17,0,149.8016336,147.2781754,33467.51176,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,57.86298984,87.4945958,139.0654295,162.7797111,179.6859956,202.1695169,230.3586656,261.3906156,364.4083045,1559.077194,3714.963304,9296.02687,12564.37062,15203.14118,19854.2027,25534.18017,32414.09217,56669.8136
2,406,231,4,21,5,258,224,0,21,5,214,196,0,14,2,163,162,0,7,2,140,140,0,6,0,122,130,0,3,0,107,114,0,3,0,88,104,0,2,0,77,89,0,2,0,63,63,0,2,0,38,40,0,2,0,9,9,0,0,0,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,259,351,0,42,12,248,345,0,40,11,211,329,0,34,11,185,302,0,33,10,147,281,0,32,8,108,251,0,27,6,39,165,0,14,4,14,107,0,9,1,187.7658481,191.4712831,49325.82931,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,136.2266472,162.4940787,178.5375062,205.2550467,227.4637936,243.8724424,264.1146992,316.8645064,544.9263227,8647.707912,11926.12047,15075.98788,18930.94264,24334.52358,28303.67017,33244.93029,48414.08284,137810.9189
4,674,11,651,190,2,377,2,357,183,2,326,2,275,115,1,276,1,195,68,1,232,1,153,45,1,206,1,114,37,1,186,1,96,30,1,171,0,75,22,1,154,0,50,17,1,122,0,30,9,1,95,0,13,3,1,42,0,1,0,0,401,4,425,672,26,401,4,425,672,26,401,4,425,672,26,398,4,422,672,26,386,4,408,666,26,352,4,387,663,24,295,3,352,656,24,247,3,312,638,21,194,3,273,614,17,138,1,208,573,15,47,0,108,429,7,9,0,62,265,2,109.0779449,103.0378596,19248.10948,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,58.583631,72.67038566,83.32721999,92.00882436,102.4348183,117.7199096,147.8449732,178.7000447,340.6129387,1631.14026,2537.037109,3265.52736,4009.441328,4871.287037,6330.120038,10130.50817,14847.1561,52918.06312
3,1080,207,274,313,4,755,96,206,298,4,597,67,153,198,3,455,37,103,115,2,363,24,90,79,1,314,18,76,54,1,268,16,66,39,1,225,10,56,32,1,181,8,43,25,1,142,3,29,13,1,97,1,16,5,1,18,0,4,1,0,784,148,388,520,38,784,148,388,520,38,784,148,388,520,38,784,148,388,519,38,766,143,385,506,37,725,130,369,488,35,675,110,349,446,30,614,97,317,418,26,552,77,287,370,24,453,56,249,301,20,196,21,165,139,12,47,5,91,57,7,121.7077382,124.0762864,24164.92573,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,82.18477325,96.29900768,107.0717748,118.1067859,141.0063715,150.4821651,165.6294184,185.9978084,314.0480019,3248.142286,4333.276741,5415.76946,6453.508382,9394.503631,10636.06835,12555.36407,16091.69407,43500.46301
4,1802,731,1126,4042,4,318,205,266,3416,4,246,138,141,2807,2,172,84,62,2090,2,142,53,35,1714,2,121,35,23,1393,1,104,29,16,1144,1,94,19,8,939,1,83,13,7,726,1,63,7,3,540,0,41,1,1,310,0,13,1,0,36,0,255,136,67,6796,451,255,136,67,6796,451,255,136,67,6796,451,253,135,67,6781,449,247,133,65,6734,444,226,128,64,6594,420,194,119,59,6266,378,169,108,54,5924,326,145,89,54,5477,281,106,71,47,4776,214,38,27,28,2628,91,11,8,19,1057,37,155.2731009,149.3151558,54716.80635,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,53.38552987,62.60107786,72.77404656,83.27889845,94.01294985,105.2176723,138.3775161,435.2572267,737.0974156,1357.627818,1890.492669,2549.262241,3310.206773,4223.022847,5216.648184,9047.373712,77335.76497,260418.128
4,2432,201,1148,214,4,1253,61,962,207,4,993,41,784,146,4,779,26,616,87,2,653,16,513,63,1,585,11,442,42,1,515,8,383,29,0,443,3,332,23,0,366,1,274,15,0,311,1,217,12,0,211,0,142,7,0,62,0,35,0,0,1288,80,2037,579,15,1288,80,2037,579,15,1288,80,2037,578,15,1288,79,2037,578,15,1282,78,2029,568,15,1245,74,2014,556,13,1182,62,1986,521,13,1102,50,1954,496,12,1018,39,1898,442,10,870,25,1806,375,6,476,6,1490,193,1,233,2,1198,88,0,153.1839562,149.8711084,34892.16551,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,86.08098696,100.0950821,112.663458,137.3743321,152.73369,171.7436653,227.4006391,310.7053234,501.7582361,3463.924102,4666.129682,5884.205314,8941.650351,10893.84525,13715.80267,23778.22487,43323.6327,105886.3519
