x_y,segment,det,classify,det,xmin,ymin,xmax,ymax
6688_32832,LSIL,0.026522,ASCH,1.0,61.738602,36.416565,543.537781,608.000000
7904_35872,ASCH,0.196543,ASCH,1.0,3.981018,141.729172,608.000000,584.831726
34048_42560,ASCH,0.188806,ASCH,1.0,1.000000,1.000000,608.000000,608.000000
34048_42560,ASCH,0.325810,ASCH,1.0,98.486053,42.513504,578.921997,393.231323
8512_37088,LSIL,0.008693,ASCH,1.0,5.195526,227.282944,483.443909,514.381165
15200_35264,ASCH,0.308645,ASCH,1.0,60.940521,192.755264,558.292847,539.019897
6080_35264,ASCH,0.364168,ASCH,1.0,67.900940,56.203369,549.163025,439.109650
18848_38912,ASCUS,0.005399,ASCH,1.0,265.789337,90.762817,486.010712,608.000000
37696_4864,ASCH,0.056411,ASCH,1.0,1.000000,28.772446,439.041016,320.056519
12160_7296,ASCUS,0.018521,ASCH,1.0,186.789459,386.672363,465.041046,589.080566
8512_15200,ASCH,0.051952,ASCH,1.0,95.694489,39.453491,608.000000,308.390930
13376_42560,ASCUS,0.017119,ASCH,1.0,45.898529,1.000000,576.416870,535.811646
3648_32224,LSIL,0.019844,ASCH,1.0,109.367981,56.615936,553.038208,552.308105
28576_10336,LSIL,0.013822,ASCH,1.0,1.000000,41.998657,361.084473,521.249695
24928_50464,ASCUS,0.005831,ASCH,1.0,167.479584,1.000000,564.994629,546.819275
19456_28576,ASCUS,0.027953,ASCH,1.0,1.000000,16.982758,608.000000,599.531616
34048_41952,ASCUS,0.045344,ASCH,1.0,8.806030,34.072235,476.094055,608.000000
34048_41952,ASCH,0.390296,ASCH,1.0,1.000000,1.000000,608.000000,608.000000
27360_34048,ASCUS,0.012823,ASCH,1.0,528.386169,140.710678,604.345154,454.383118
18848_39520,ASCH,0.063708,ASCH,1.0,236.469589,143.561996,484.909180,482.366943
21888_32832,ASCUS,0.012475,ASCH,1.0,52.879959,1.000000,495.831360,484.510040
15200_41952,ASCH,0.587738,ASCH,1.0,115.043228,274.314148,412.324951,541.927124
